,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p05.rsml,0.0,0.5487515375832717,3.330895009947887,10.141556711634506,19.7355631677813,35.76058476731225,59.70590876064109,84.7380603136655,115.96307697700097,150.0731747725532,186.37694449802098,225.97163361816789,271.5756095717715,322.7484854801131,370.02240281427237,394.6621396390203,2,HL,L,HL-L,hetero-high
p07.rsml,0.0,1.408013512838505,2.3709934250923945,3.9302179912716517,6.235437438577439,9.969629358283976,14.949069029026264,21.27508092899593,30.152069024074745,37.7197006799277,46.6183336717202,54.555300939627486,63.60397974033766,71.22114806217947,78.18348420291082,82.42106703926952,1,LH,L,LH-L,hetero-low
p08.rsml,0.0,6.487880832801422,10.419006605061655,13.829663984049462,21.111716142129115,27.45285555796385,35.468411990325606,45.90684845127543,56.41743329885607,65.53503620843644,73.34015248580907,80.29828210434138,88.31936486274452,99.13291522933493,111.33088478980187,118.14069664593714,3,HH,L,HH-L,homo-high
p09.rsml,0.8747277535753888,1.0423120607166019,2.7716150723642796,4.747548582088577,9.038588007055472,16.078135808111167,25.399714156003295,34.32754500737168,45.96485796710324,61.83280532813463,77.36159989092225,94.5889929353473,116.89364930631375,139.86919039000776,166.23981259463037,180.3000558208965,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,5.78826472571267,8.012894370739064,12.170151892393928,17.2411307025481,23.23206603644651,32.29146056173583,43.734190356549,55.621160946072905,68.82595311483986,81.31790951196109,95.41595131179203,111.60401960048083,127.8674730273234,146.62288968073213,155.7169016482375,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.6194879209841435,1.3668005270795156,2.2736185115844227,3.5533935878327974,4.914147789964851,6.702523381638564,8.288480218092545,9.46430306479575,10.897650351851988,12.150479720462823,13.41964909012208,14.041641230168066,1,LH,L,LH-L,hetero-low
p12.rsml,0.0,6.840900805297452,9.520770387477308,14.254223280217717,21.417511030584343,31.242515737247654,40.178485928073144,50.31380032295013,63.074985226014114,78.07100158234513,93.05774700340643,112.74790348268539,135.5722572665657,159.3524908183919,187.36001158314104,199.23277959711476,3,HH,L,HH-L,homo-high
p13.rsml,0.0,4.153902423312758,7.17152116420671,11.491910941329829,17.812588169547226,26.77885179837689,40.66902969834497,54.56184625086734,71.70838804152315,93.0501699508299,117.95622943166616,146.98380170397354,184.42606235176459,222.66888660405021,268.82176099605545,294.3015147636172,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,6.746591283262268,10.199089053431674,15.780773231495358,21.507132494158398,30.59513063077961,41.504049232292736,51.21932342862018,61.79995691067627,74.41082032666921,87.77518411084534,107.99304835352012,131.28924056361504,163.06472444974116,196.1157986498287,214.68698066661244,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.548773982145092,1.3096665276480768,2.943974502048826,4.410048664646102,7.01070442014458,10.695013742669428,15.887138955030746,20.2076695915751,24.470760466118797,28.41360048677304,32.38876758588796,35.5388077824606,38.94770633276337,40.38890294278258,1,LH,L,LH-L,hetero-low
p37.rsml,0.0,1.0305857340137958,3.094796828772455,6.776404986650863,12.607863530963945,20.06945948637141,32.175839390555176,43.654201033719424,55.67881600777774,69.31959519497772,84.8468590031213,100.31316339763889,116.6753833756745,133.01561563082728,151.23290164995137,160.72477865127692,2,HL,L,HL-L,hetero-high
p38.rsml,0.0,6.3981812315047595,9.12977224099036,13.01510694260978,19.203211953753854,26.57965039131594,34.78630017477682,46.85447974934211,61.268699242591524,79.51985588489212,101.2786305799609,125.34568050939039,151.60678703514102,176.21986193719232,204.47401033951186,220.5736353492629,3,HH,L,HH-L,homo-high
p39.rsml,0.0,7.89456865003007,10.752531870589854,15.51641581071249,20.78446870261129,26.626222821871195,33.593691101423836,40.847192735828905,49.26884776237079,56.93862848262166,64.14938510838635,71.51456160273166,79.53116101963687,87.83742705230966,98.14451348368965,102.20768444861604,1,LH,L,LH-L,hetero-low
p44.rsml,0.0,4.000590200161918,6.0510436567302515,8.896055915246869,13.476504790445146,18.16692767930713,26.938101451302803,38.01885124449971,49.5528071219844,64.91124443141678,80.74121940012911,108.87835505540316,133.6061113405052,165.31445784980397,201.11371692205353,221.83610969941304,2,HL,L,HL-L,hetero-high
p46.rsml,0.0,4.822370683490849,4.973593554918326,5.258432105679979,5.9235582392686155,7.248369740922335,8.98758663203042,11.758057800454425,15.184069064902781,19.54196039564002,24.084256889911426,27.44022646905156,30.92541776766457,33.477988466371166,36.08210099610052,37.61445000392671,1,LH,L,LH-L,hetero-low
p67.rsml,0.0,1.3406659480942758,4.1599598991858615,7.662748318500441,14.687489508417034,24.541534721832875,37.22353735201881,52.711265405220864,71.5517852835446,93.15444267440367,112.86726338831816,131.6099194301698,153.33719641269428,182.02704695558182,211.85270131222418,228.82118649399573,3,HH,L,HH-L,homo-high
p68.rsml,0.0,10.064881470009563,15.898115517096802,23.68547307241747,37.149105020132744,54.061760432097046,76.64356486704744,107.76309925011662,143.22239272410914,187.60892722736304,231.09197425838346,285.6428547161352,346.9672168235887,413.7265127378464,485.23331989430307,520.6011351629567,2,HL,L,HL-L,hetero-high
p69.rsml,0.0,0.4681446198046235,0.9503035666261008,2.8599698422471493,5.214244978384189,8.397252479501848,13.466742215380792,21.705558856746205,31.908467010423518,42.02713857236318,52.53790330456744,63.140241862601826,76.65314926908987,91.93413273288904,109.35263148228736,118.21875528488115,3,HH,L,HH-L,homo-high
p70.rsml,0.0,2.3750877197875653,3.4894262705492176,5.204541904437084,7.4048165138028335,10.483417496826485,14.63879180219177,19.442306084206198,25.66649412881174,30.65852876549115,36.203584598817585,40.0883456253204,45.6606419080865,51.27067303450614,56.874597613941745,59.125790057706794,1,LH,L,LH-L,hetero-low
p71.rsml,0.0,0.5410921576284033,1.1113340328556267,2.434125604463412,4.697535935868239,8.853285120416375,15.86493516752909,23.183085128256472,33.50150676082247,47.578388926393394,61.603531260483884,78.02563087918021,96.70892603347642,115.7605678936719,135.1323809947042,144.41496682551326,3,HH,L,HH-L,homo-high
p72.rsml,0.0,2.479585375774779,3.3961277065661695,5.715457647233792,9.335583211011445,15.611902593973069,24.35720718574365,37.78269290317175,54.26869489401677,79.12553113737187,106.18369084453863,144.56483498735358,191.3826098826602,237.86273595883083,285.9392104624143,313.2693270512349,2,HL,L,HL-L,hetero-high
