,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p05.rsml,0.0,0.0,0.12590772337930797,0.4364885227085535,0.8862027453905399,1.6391330515004319,2.730883964104677,3.823135536070042,5.147230169066401,6.51838419962391,7.82931204951101,9.05639632019522,10.35875690874428,11.767911441180141,12.972512450258678,13.52021795702921,2,HL,L,HL-L,hetero-high
p07.rsml,0.0,0.0,0.010451643566220331,0.03375249160184124,0.07480137631844241,0.16473985075331996,0.30585999655127155,0.49121619496675567,0.784578049114815,1.0422688491196601,1.3202463606987433,1.5811267586719577,1.8817656207851996,2.0832941263498137,2.2178608925682513,2.28787258074487,1,LH,L,LH-L,hetero-low
p08.rsml,0.0,0.0,0.0,0.03743838940100135,0.18114774924496013,0.32102974512504984,0.622294084885919,1.1580029040394524,1.623635572102757,2.0326252577489043,2.26509053035731,2.450297773833519,2.61159833812715,2.727625186188094,2.8575011656910805,2.912678326998406,3,HH,L,HH-L,homo-high
p09.rsml,0.0,0.0,0.07761925697404669,0.16695897318125877,0.3637059008165797,0.7289937394372387,1.2124511736588959,1.672436006118499,2.241243387312094,2.8995857207707245,3.504433535661574,4.1984075252485535,5.046850891778345,5.692569875612792,6.355448417137627,6.7311841247149475,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,0.0,0.045150518193784024,0.13571526723738034,0.2602291441879562,0.4490972008498736,0.7657002591149225,1.1805224025066414,1.639344936671137,2.0836803603947587,2.4622846803286764,2.7943932685710586,3.1274836641667387,3.3733813330253373,3.5790752823706296,3.663670774359597,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.038799722814318045,0.0856053520929045,0.14240111073487088,0.2225558910641239,0.30778255016873873,0.4197919613201277,0.514175573279291,0.5808222062303116,0.6334540048830726,0.683931448272829,0.7118073747689679,0.7234525740878713,1,LH,L,LH-L,hetero-low
p12.rsml,0.0,0.0,0.0,0.11084834060466704,0.2518881320984142,0.49474758822016607,0.7131860919231557,1.0522732913040156,1.4580613445725032,1.8908886815869859,2.2745224969782,2.608367629585017,2.9248386932604906,3.140164251473728,3.323860232219394,3.3863578320133785,3,HH,L,HH-L,homo-high
p13.rsml,0.0,0.0,0.06847292506723184,0.17336654475485322,0.3671598463677274,0.741565769842251,1.340788390048172,1.9331803480835128,2.65939941983431,3.4318191898549744,4.224188634989221,5.0743318327746945,6.017411031030728,6.840277743996499,7.66550429459363,8.102137789877093,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.047995344699769266,0.13266089448753016,0.23547656924776636,0.43492841557778367,0.7548585363506275,1.0069546785151557,1.2976954310147244,1.6859885731298883,2.0161441163581197,2.528384038265564,2.966798926827301,3.3601995864295455,3.699868813963238,3.896712652691537,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.02491132358214683,0.059451664467434474,0.13364026689358927,0.2001919786149179,0.3182474607603272,0.46857894987364995,0.6628306710280389,0.8139466241947843,0.9333910335300469,1.0056768576773858,1.04852639440089,1.0882952991736399,1.117323386700266,1.1271353804880215,1,LH,L,LH-L,hetero-low
p37.rsml,0.0,0.0,0.0,0.0,0.0,0.08085468029068461,0.4291602613342126,0.8171021130168679,1.323727499734391,1.789502373223403,2.448517502890546,3.01909452018722,3.6114419582277875,4.04712373660226,4.443498808805526,4.625761258367641,2,HL,L,HL-L,hetero-high
p38.rsml,0.0,0.0,0.011714856343733615,0.07326629561413067,0.16182348899857432,0.3288300000149776,0.5641007580382598,0.9083733441343215,1.3963331752810753,1.9377068207054968,2.347441144114412,2.830384994737482,3.2750070526228474,3.647549366115239,3.9998716214269474,4.185113104144739,3,HH,L,HH-L,homo-high
p39.rsml,0.0,0.0,0.01740475062563382,0.07637431271741815,0.163820286395764,0.30358762313331605,0.47248934878844623,0.6615098973431681,0.9068459727273761,1.108512340363447,1.291337572235131,1.4348229167129356,1.537223749791438,1.6317966157394945,1.7671068589415158,1.805071477912679,1,LH,L,LH-L,hetero-low
p44.rsml,0.0,0.0,0.016393616186621218,0.04974521414078491,0.1602492918916068,0.2548286823238388,0.5765806798684815,0.9092309960035618,1.3203615825340589,1.8679427583678718,2.358162009984935,3.1361779053051833,3.7452167489456305,4.512161552698946,5.316474337364562,5.800066333572508,2,HL,L,HL-L,hetero-high
