filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p05.rsml,HL,L,HL-L,1.8049382260897449,21.20934704610825,0.0,23.014285272197995,21.20934704610825,23.014285272197995,hetero-high
p05.rsml,HL,R,HL-R,8.7959985392716,14.506890798072227,0.0,23.302889337343828,14.506890798072227,23.302889337343828,hetero-low
p07.rsml,LH,L,LH-L,4.229669947418912,20.62182572973522,0.0,24.851495677154134,20.62182572973522,24.851495677154134,hetero-low
p07.rsml,LH,R,LH-R,0.0,27.9528238269089,0.0,27.9528238269089,27.9528238269089,27.9528238269089,hetero-high
p08.rsml,HH,L,HH-L,8.312416808129573,13.696237402557784,0.0,22.008654210687357,13.696237402557784,22.008654210687357,homo-high
p08.rsml,HH,R,HH-R,3.0539151596384824,13.299595824820415,0.0,16.353510984458897,13.299595824820415,16.353510984458897,homo-high
p09.rsml,HL,L,HL-L,4.07575555216268,16.77477002827475,0.0,20.85052558043743,16.77477002827475,20.85052558043743,hetero-high
p09.rsml,HL,R,HL-R,0.33516861428242617,12.041728093083172,0.0,12.3768967073656,12.041728093083172,12.3768967073656,hetero-low
p10.rsml,HH,L,HH-L,4.804194166682977,18.188262769714992,0.0,22.992456936397968,18.188262769714992,22.992456936397968,homo-high
p10.rsml,HH,R,HH-R,0.0,17.584706423990955,0.0,17.584706423990955,17.584706423990955,17.584706423990955,homo-high
p11.rsml,LH,L,LH-L,0.0,15.966297593124489,0.0,15.966297593124489,15.966297593124489,15.966297593124489,hetero-low
p11.rsml,LH,R,LH-R,0.0,19.49081983621302,0.0,19.49081983621302,19.49081983621302,19.49081983621302,hetero-high
p12.rsml,HH,L,HH-L,4.476345517002874,14.418192194968167,0.0,18.89453771197104,14.418192194968167,18.89453771197104,homo-high
p12.rsml,HH,R,HH-R,7.101280544119408,9.317410242180241,0.0,16.41869078629965,9.317410242180241,16.41869078629965,homo-high
p13.rsml,HL,L,HL-L,2.8171080370725305,18.422875885033946,0.0,21.239983922106475,18.422875885033946,21.239983922106475,hetero-high
p13.rsml,HL,R,HL-R,0.0,17.375423721884932,0.0,17.375423721884932,17.375423721884932,17.375423721884932,hetero-low
p34.rsml,HH,L,HH-L,6.207695737940269,15.865460330323643,0.0,22.073156068263913,15.865460330323643,22.073156068263913,homo-high
p34.rsml,HH,R,HH-R,0.0,18.632486112820153,0.0,18.632486112820153,18.632486112820153,18.632486112820153,homo-high
p35.rsml,LH,L,LH-L,0.0,22.029097744865762,0.0,22.029097744865762,22.029097744865762,22.029097744865762,hetero-low
p35.rsml,LH,R,LH-R,8.146088880107168,19.52669659912768,0.0,27.672785479234847,19.52669659912768,27.672785479234847,hetero-high
p37.rsml,HL,L,HL-L,17.183336764749683,7.481217952197966,0.0,24.66455471694765,7.481217952197966,24.66455471694765,hetero-high
p37.rsml,HL,R,HL-R,0.0,23.14066221927759,0.0,23.14066221927759,23.14066221927759,23.14066221927759,hetero-low
p38.rsml,HH,L,HH-L,12.444486290935597,13.487147888460186,0.0,25.931634179395783,13.487147888460186,25.931634179395783,homo-high
p38.rsml,HH,R,HH-R,6.6366436857078295,15.099980064165662,0.0,21.73662374987349,15.099980064165662,21.73662374987349,homo-high
p39.rsml,LH,L,LH-L,8.277985123129145,19.25730632352686,0.0,27.535291446656004,19.25730632352686,27.535291446656004,hetero-low
p39.rsml,LH,R,LH-R,5.45133073237235,16.9053719797351,0.0,22.35670271210745,16.9053719797351,22.35670271210745,hetero-high
p44.rsml,HL,L,HL-L,3.9230745503608224,14.456846939811662,0.0,18.379921490172485,14.456846939811662,18.379921490172485,hetero-high
p44.rsml,HL,R,HL-R,0.0,18.719392350213344,0.0,18.719392350213344,18.719392350213344,18.719392350213344,hetero-low
p46.rsml,LH,L,LH-L,5.818707810245803,10.028227908895921,0.0,15.846935719141724,10.028227908895921,15.846935719141724,hetero-low
p46.rsml,LH,R,LH-R,0.0,17.0675959428728,0.0,17.0675959428728,17.0675959428728,17.0675959428728,hetero-high
p67.rsml,HH,L,HH-L,3.2357523545376337,12.383776647415019,0.0,15.619529001952651,12.383776647415019,15.619529001952651,homo-high
p67.rsml,HH,R,HH-R,5.727201775033926,10.882565170629523,0.0,16.60976694566345,10.882565170629523,16.60976694566345,homo-high
p68.rsml,HL,L,HL-L,8.390291721084164,14.840167017868126,0.0,23.23045873895229,14.840167017868126,23.23045873895229,hetero-high
p68.rsml,HL,R,HL-R,2.577995534000538,14.13127697831271,0.0,16.709272512313248,14.13127697831271,16.709272512313248,hetero-low
p69.rsml,HH,L,HH-L,3.7969002874454896,16.875695142534074,0.0,20.672595429979562,16.875695142534074,20.672595429979562,homo-high
p69.rsml,HH,R,HH-R,4.755057282849434,16.3485698826831,0.0,21.103627165532536,16.3485698826831,21.103627165532536,homo-high
p70.rsml,LH,L,LH-L,3.8132379949206396,14.111296807626493,0.0,17.924534802547132,14.111296807626493,17.924534802547132,hetero-low
p70.rsml,LH,R,LH-R,1.5920236349700887,15.48787495414623,0.0,17.07989858911632,15.48787495414623,17.07989858911632,hetero-high
p71.rsml,HH,L,HH-L,2.516985264579554,17.816803504173784,0.0,20.333788768753337,17.816803504173784,20.333788768753337,homo-high
p71.rsml,HH,R,HH-R,3.792693566604144,16.788287300641393,0.0,20.580980867245536,16.788287300641393,20.580980867245536,homo-high
p72.rsml,HL,L,HL-L,1.8328170257829903,16.070462757689576,0.0,17.903279783472566,16.070462757689576,17.903279783472566,hetero-high
p72.rsml,HL,R,HL-R,3.293832394415196,14.515681868501153,0.0,17.80951426291635,14.515681868501153,17.80951426291635,hetero-low
p74.rsml,LH,L,LH-L,5.734108990574237,14.865163480141545,0.0,20.599272470715782,14.865163480141545,20.599272470715782,hetero-low
p74.rsml,LH,R,LH-R,2.182326821088721,18.85846663334735,0.0,21.040793454436074,18.85846663334735,21.040793454436074,hetero-high
p75.rsml,HH,L,HH-L,3.317271386320621,9.05960855080392,0.0,12.376879937124542,9.05960855080392,12.376879937124542,homo-high
p75.rsml,HH,R,HH-R,2.6182476806403647,13.048926818746484,0.0,15.667174499386848,13.048926818746484,15.667174499386848,homo-high
