,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p05.rsml,0.043451273336219245,0.30415891335353473,0.4779640066984117,0.5648665533708502,0.7386716467157272,0.9124767400606041,0.9124767400606041,0.9124767400606041,0.9124767400606041,0.9124767400606041,0.9124767400606041,0.9124767400606041,0.9559280133968234,0.9559280133968234,0.9559280133968234,0.9559280133968234,2,HL,L,HL-L,hetero-high
p07.rsml,0.12071708033081834,0.2011951338846972,0.24143416066163667,0.362151240992455,0.5231073481002128,0.6035854016540917,0.643824428431031,0.643824428431031,0.643824428431031,0.643824428431031,0.643824428431031,0.643824428431031,0.6840634552079705,0.6840634552079705,0.6840634552079705,0.6840634552079705,1,LH,L,LH-L,hetero-low
p08.rsml,0.3180567031945467,0.3180567031945467,0.4543667188493525,0.4998033907342877,0.545240062619223,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,0.6361134063890934,3,HH,L,HH-L,homo-high
p09.rsml,0.047960421723768396,0.19184168689507358,0.239802108618842,0.38368337379014716,0.479604217237684,0.5755250606852208,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,0.6234854824089892,2,HL,L,HL-L,hetero-high
p10.rsml,0.17397009858776083,0.30444767252858146,0.39143272182246186,0.4784177711163423,0.5219102957632825,0.6088953450571629,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,0.6523878697041031,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.1878957837596538,0.1878957837596538,0.2505277116795384,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,0.313159639599423,1,LH,L,LH-L,hetero-low
p12.rsml,0.26462674431204225,0.26462674431204225,0.47632813976167604,0.5292534886240845,0.6351041863489014,0.7409548840737182,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,0.7938802329361268,3,HH,L,HH-L,homo-high
p13.rsml,0.18832405969181637,0.2824860895377246,0.37664811938363274,0.47081014922954095,0.6120531939984032,0.7532962387672655,0.7532962387672655,0.8003772536902196,0.8003772536902196,0.8474582686131737,0.8474582686131737,0.8474582686131737,0.8474582686131737,0.8474582686131737,0.8474582686131737,0.8474582686131737,2,HL,L,HL-L,hetero-high
p34.rsml,0.2265194874958929,0.3171272824942501,0.36243117999342866,0.36243117999342866,0.4983428724909644,0.5436467699901429,0.5436467699901429,0.5889506674893216,0.5889506674893216,0.5889506674893216,0.5889506674893216,0.5889506674893216,0.5889506674893216,0.5889506674893216,0.6342545649885002,0.6342545649885002,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.09078901111445349,0.13618351667168024,0.18157802222890698,0.18157802222890698,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,0.36315604445781396,1,LH,L,LH-L,hetero-low
p37.rsml,0.1621760476077639,0.28380808331358687,0.28380808331358687,0.36489610711746884,0.48652814282329176,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,0.5676161666271737,2,HL,L,HL-L,hetero-high
p38.rsml,0.2699405657034108,0.3085035036610409,0.4241923175339312,0.4627552554915613,0.5398811314068216,0.5398811314068216,0.5398811314068216,0.5784440693644517,0.6170070073220818,0.6170070073220818,0.6170070073220818,0.6170070073220818,0.6170070073220818,0.6170070073220818,0.6170070073220818,0.6170070073220818,3,HH,L,HH-L,homo-high
p39.rsml,0.21790217879566567,0.2905362383942209,0.3631702979927761,0.43580435759133135,0.47212138739060894,0.5447554469891641,0.6173895065877194,0.6173895065877194,0.6173895065877194,0.6173895065877194,0.6537065363869969,0.6537065363869969,0.6537065363869969,0.6537065363869969,0.6537065363869969,0.6537065363869969,1,LH,L,LH-L,hetero-low
p44.rsml,0.21762878596291885,0.2720359824536485,0.2720359824536485,0.38085037543510797,0.4352575719258377,0.544071964907297,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,0.5984791613980268,2,HL,L,HL-L,hetero-high
p46.rsml,0.12620736497240748,0.12620736497240748,0.18931104745861121,0.3155184124310187,0.37862209491722243,0.5048294598896299,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,0.6310368248620374,1,LH,L,LH-L,hetero-low
p67.rsml,0.19206725117159165,0.3841345023431833,0.5121793364575777,0.5762017535147749,0.7682690046863666,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,0.8322914217435637,3,HH,L,HH-L,homo-high
p68.rsml,0.30132853073032795,0.34437546369180333,0.4735162625762296,0.7317978603450821,0.817891726268033,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,0.9039855921909837,2,HL,L,HL-L,hetero-high
p69.rsml,0.04837321967563841,0.04837321967563841,0.24186609837819203,0.24186609837819203,0.29023931805383046,0.38698575740510727,0.43535897708074567,0.43535897708074567,0.48373219675638407,0.48373219675638407,0.48373219675638407,0.48373219675638407,0.48373219675638407,0.48373219675638407,0.48373219675638407,0.48373219675638407,3,HH,L,HH-L,homo-high
