,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p05.rsml,1.0,7.0,11.0,13.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,2,HL,L,HL-L,hetero-high
p07.rsml,3.0,5.0,6.0,9.0,13.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,1,LH,L,LH-L,hetero-low
p08.rsml,7.0,7.0,10.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,3,HH,L,HH-L,homo-high
p09.rsml,1.0,4.0,5.0,8.0,10.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2,HL,L,HL-L,hetero-high
p10.rsml,4.0,7.0,9.0,11.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,LH,L,LH-L,hetero-low
p12.rsml,5.0,5.0,9.0,10.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,3,HH,L,HH-L,homo-high
p13.rsml,4.0,6.0,8.0,10.0,13.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2,HL,L,HL-L,hetero-high
p34.rsml,5.0,7.0,8.0,8.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,3,HH,L,HH-L,homo-high
p35.rsml,0.0,2.0,3.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,LH,L,LH-L,hetero-low
p37.rsml,4.0,7.0,7.0,9.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,HL,L,HL-L,hetero-high
p38.rsml,7.0,8.0,11.0,12.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,3,HH,L,HH-L,homo-high
p39.rsml,6.0,8.0,10.0,12.0,13.0,15.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,1,LH,L,LH-L,hetero-low
p44.rsml,4.0,5.0,5.0,7.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,HL,L,HL-L,hetero-high
p46.rsml,2.0,2.0,3.0,5.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,LH,L,LH-L,hetero-low
p67.rsml,3.0,6.0,8.0,9.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3,HH,L,HH-L,homo-high
p68.rsml,7.0,8.0,11.0,17.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,2,HL,L,HL-L,hetero-high
p69.rsml,1.0,1.0,5.0,5.0,6.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3,HH,L,HH-L,homo-high
p70.rsml,2.0,3.0,4.0,5.0,5.0,8.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,1,LH,L,LH-L,hetero-low
p71.rsml,2.0,3.0,4.0,7.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,3,HH,L,HH-L,homo-high
