,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,side,alpha,label,condition,condition-side,uniq-condition
p14.rsml,2.5229242499999884,5.974197249999991,13.585876874999986,19.889286562949994,31.10046325000004,37.44990062499997,46.95312312529999,68.05524443764995,96.38444374999986,126.794496375,142.0129171217,161.5022576249998,184.8521790000001,213.02327287500003,232.67852225,251.4218055000001,L,20,3,HH,HH-L,homo-high
p14.rsml,4.601177250000019,10.548850250000037,18.561514125000038,36.153332874999904,38.98830712499998,40.77713375,57.87591350000007,81.68844900000012,132.11416874999998,148.59196900000012,136.94978011555008,160.7057500552017,179.34088988130162,205.50676855520183,235.63679531145172,252.0896315614517,R,20,3,HH,HH-R,homo-high
p15.rsml,5.471796749999996,5.119180249999988,8.568893000000015,15.699235500000006,25.201938124999955,49.15489612499996,64.09663024999992,85.82233137499999,101.415469875,122.34154287499996,140.023076,167.23929687499992,199.0278303749999,232.38207475,269.7305591249999,287.01734900000014,L,20,2,HL,HL-L,hetero-high
p15.rsml,9.494121249999989,14.284868874999937,24.13005167984997,27.04354675929999,32.41575399999996,33.34098225,38.68405837499997,57.285358874999964,69.2790006250001,80.47379437500001,83.81897037500005,88.732197625,96.25962375000005,97.75407722737496,104.21634985404998,108.43191412499996,R,20,2,HL,HL-R,hetero-low
p16.rsml,1.4291889999999885,3.735238499999996,4.309410499999986,12.057612000000006,16.644747000000013,33.557857000000105,39.411915000000015,49.8312645,70.91648300000006,86.682029125,93.64776524999998,103.74180262500003,111.39170837499992,128.39921349999992,141.43120162499994,148.4515465,L,20,3,HH,HH-L,homo-high
p16.rsml,3.696232249999997,4.772804749999975,10.61126024999997,11.057491749999963,14.525927500000025,28.60718374999989,57.89619674999994,66.06254525000006,71.66384274999993,98.913609,110.07095674999998,124.27547275,140.83596624999996,155.2872526381999,170.9799962499999,180.91878874999983,R,20,3,HH,HH-R,homo-high
p17.rsml,2.0579697499999696,7.128782249999981,10.963876749999976,13.187232999999964,14.825495499999958,19.375184499999985,27.509547874999964,45.68646037499987,54.49407162499988,72.8402712499999,78.78248337499987,89.24786025,93.39656499999997,102.94997574999996,113.15869150000005,116.82527900000002,L,20,1,LH,LH-L,hetero-low
p17.rsml,3.5854544999999813,4.846136500000005,7.801250000000007,21.816975749999997,30.003607499999987,62.2508544999999,84.50938099999993,94.850718,107.61668350000008,126.31471950000008,150.63022467919996,178.71415549999992,231.73457099999985,269.37716249999977,307.4815879999998,326.9207427499996,R,20,1,LH,LH-R,hetero-high
p18.rsml,3.129861499999997,5.601297500000028,8.278686499999955,14.55323187500003,22.628305749999956,37.33912287500004,49.660417124999945,63.00367512500003,75.07220887499999,88.61517887499998,98.10852,115.265809125,132.59160525000004,174.5872942500001,204.82649949999976,227.63345387499984,L,20,3,HH,HH-L,homo-high
p18.rsml,9.971557750000011,12.242501624999964,36.12212787499996,65.70836849999998,74.78278249999993,142.63883512500007,157.13589800000003,172.19075025000006,183.79510962500004,191.4309731249999,197.78119062499997,208.317558875,251.7923648750001,264.91016675,287.430035125,296.98110550000007,R,20,3,HH,HH-R,homo-high
p19.rsml,5.158186500000026,8.10549875000002,11.469397750000017,13.591337750000028,18.47179975000004,31.35428003925,49.22419119619998,65.03984381379999,77.67236550000007,91.44001150000004,109.18005400000004,118.3761675,145.6963428397,177.1585862500001,198.551954125,213.99764900000008,L,20,2,HL,HL-L,hetero-high
p19.rsml,3.5199240000000165,12.836176750000003,15.430872499999971,17.940534624999955,24.396068999999947,34.74832775000002,47.08288412499995,59.321998915325,76.24391137775001,94.04640912499984,121.42645624999992,136.66385775,141.6387148749999,152.42082249999984,169.77314287499993,173.58795412499984,R,20,2,HL,HL-R,hetero-low
p20.rsml,1.9191074999999904,2.2654829999999837,4.624580999999958,10.333535750000005,17.037930000000078,29.126747000000087,53.42764075000008,65.04370200000004,83.38288050000006,107.85199416400012,135.6018860695001,181.64976587500007,191.87018350000008,237.4228480688002,268.8540843188001,279.13145106880006,L,20,3,HH,HH-L,homo-high
