,hit_hour,side
p14.rsml,164.0,L
p14.rsml,164.0,R
p15.rsml,,L
p15.rsml,,R
p16.rsml,,L
p16.rsml,,R
p17.rsml,,L
p17.rsml,,R
p18.rsml,164.0,L
p18.rsml,164.0,R
p19.rsml,,L
p19.rsml,,R
p20.rsml,152.0,L
p20.rsml,164.0,R
p21.rsml,,L
p21.rsml,,R
p23.rsml,,L
p23.rsml,,R
p47.rsml,,L
p47.rsml,,R
p48.rsml,,L
p48.rsml,164.0,R
p49.rsml,,L
p49.rsml,,R
p50.rsml,152.0,L
p50.rsml,,R
p51.rsml,,L
p51.rsml,168.0,R
p52.rsml,,L
p52.rsml,164.0,R
p54.rsml,152.0,L
p54.rsml,,R
p56.rsml,,L
p56.rsml,164.0,R
p77.rsml,,L
p77.rsml,,R
p78.rsml,164.0,L
p78.rsml,,R
p80.rsml,,L
p80.rsml,164.0,R
p84.rsml,152.0,L
p84.rsml,,R
p85.rsml,152.0,L
p85.rsml,,R
p86.rsml,,L
p86.rsml,,R
p87.rsml,,L
p87.rsml,164.0,R
p88.rsml,164.0,L
p88.rsml,164.0,R
p89.rsml,152.0,L
p89.rsml,,R
