,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.0,0.0,0.33516861428242367,0.45656128235792626,0.5779479523425686,0.6993406204180765,0.273577762831193,0.261191701847974,0.8028656322037978,1.4134602530662979,1.6567571397689576,2.3595290667513265,2.6519934959185636,2.6690664420260615,3.4575291014184977,3.678723734764599,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715000000000022,0.6551296029928604,1.0769058098032538,1.424344901907787,1.9118789874345623,3.0533704647516577,2.8669990410170567,3.8759364392386884,4.4582417880037175,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39117340737859496,0.6388804568054872,0.917454747597168,1.1092625660496798,1.636140597266617,1.599163743530617,2.1204107252408972,2.4414768697086693,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43629176017889637,0.5787110355597221,0.9986017951627417,0.8666721335267022,0.8669733677240782,0.697109158922621,0.9123403229682422,1.2742036319299455,1.376278519492776,1,LH,L,LH-L,hetero-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8876520996426451,1.1342373449522076,1.1244549069380552,1.446752016027877,1.4327724310964145,2.097797098887451,2.381117853379812,2.9435507562149454,3.4040822644580926,3,HH,L,HH-L,homo-high
p19.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.2791383007194391,0.7213981599554606,0.9411759014756514,1.3199977998216497,1.5273459555126736,1.7805234363592748,1.6642680682548674,2.328519294837784,2.7185401543189798,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867811248071667,0.45798813149717477,1.0415882547119681,1.3858566544675246,1.9025949490790406,2.4772329913357938,2.8670413218110857,3.953493329594597,4.457883995652866,3,HH,L,HH-L,homo-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680847073017922,0.4541458996774536,0.5266913349861679,0.4967200199173634,0.8202555021160595,0.9249182264376933,1.0270062905624515,1.1617975780233618,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268160368891496,0.7379066098805559,1.3319597742352993,1.529506288830479,2.376491290666446,2.9591873788632514,3.224955186678039,4.370306660962734,4.993129309153173,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22518464645707903,0.6443686494282869,0.7820708338196521,1.1482125290811243,1.7697814303952046,1.9793495197552762,2.8774124091847817,3.472811518040855,3,HH,L,HH-L,homo-high
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013445742854957,0.4662371043907035,1.0613464217537263,2.228955744237781,3.6821008280487257,4.33144146570749,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.19749999999999943,0.7002529214236337,0.5698768587396347,1.1267438328463826,1.136994238425602,1.1449324429851495,1.5015201722426255,2.2482565133320493,3.632084023822965,4.356870016581468,2,HL,L,HL-L,hetero-high
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35350344285494656,0.7466297784150724,0.8717416030058487,1.4566745504203422,1.6066747447851484,1.72307076574895,1.7451801253456274,2.3698955427128463,2.7437321424532515,3,HH,L,HH-L,homo-high
p52.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135000000000027,1.0434481106674476,0.8432307621066943,1.4612729734100633,1.6155254045092222,2.0344105155771155,2.31108366406896,2.52779107895644,1,LH,L,LH-L,hetero-low
p54.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388429281688026,1.1440370808081184,1.9127887541540551,2.3845672388495545,2.1207605006559374,2.810573071827703,2.8480950211741596,3.6008143353385624,4.140148799426551,2,HL,L,HL-L,hetero-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055861435713737695,0.37123982688066154,0.7711829586090282,0.8093476729137882,1.21911075309015,1.423809948448066,1,LH,L,LH-L,hetero-low
p77.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026333333333333542,0.31093880887528547,0.5100205841146435,1.0227379028411523,1.7083576795083835,2.1113655694387465,2.6267631281870267,3.4437087331101535,3.880299061478948,3,HH,L,HH-L,homo-high
p78.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22344574285494953,0.43587087006567454,0.5919239011747139,0.7195853313545314,1.1120531855853832,1.5666635226203014,2.1814420386567033,3.0749489199587563,3.6092256189631744,2,HL,L,HL-L,hetero-high
p80.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197499999999998,0.3949999999999996,0.4740000000000002,1,LH,L,LH-L,hetero-low
p84.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403820593474625,0.7553655608321017,1.2441279534064336,1.6893240043724127,2.225618269828499,2.95208567671169,3.545386040968191,4.147154823946954,3,HH,L,HH-L,homo-high
p85.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11326394934939576,0.9233610963091006,0.8100206347918266,0.9566024367082467,1.65106874521209,2.0768291853005203,2.9484043275290417,3.544320545515483,2,HL,L,HL-L,hetero-high
p86.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747288,0.39103004999616137,0.5207901917341691,0.706157234117673,1.106761825913667,1.526453349297032,1.9231193926159513,2.796676536017175,3.358812640501576,3,HH,L,HH-L,homo-high
p87.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17664937022247842,0.35329874044496323,0.4000951130774299,0.779426069915474,1.0765118198496928,1.2765593763884073,1,LH,L,LH-L,hetero-low
p88.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37106881100410444,0.579062163375928,0.9790918453074354,0.8822613430186665,1.2878173723776676,1.7478130060865753,2.3219031467324545,3.2328395554609957,3.752881512462389,3,HH,L,HH-L,homo-high
p89.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47703921930899595,1.0655247508113483,1.1926363550056593,1.5695856877713161,1.8976643366604968,2.439157287452098,3.404853216393059,3.9345515753603584,2,HL,L,HL-L,hetero-high
p14.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20207404927452396,0.5147027592605201,0.8988598368592168,1.5559624844713345,2.1728341084978497,2.2660419510097354,2.503067380958418,2.969453051142898,3.472251291346762,3,HH,R,HH-R,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.2161493702224835,0.289298287919231,0.6295021851631228,1.0508573639144885,1.5357893302770482,1.9537522336312485,2.1985316033233726,2.5520895935188723,3.1158502034728373,3.4308730240385725,3,HH,R,HH-R,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.019750000000000156,0.3221960107118194,0.7413028728717923,1.2441202853763234,1.395386482140426,1.8145261521936416,2.416224357928356,2.933081587764756,3.902744274130487,4.085022516497028,1,LH,R,LH-R,hetero-high
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09585478020885978,0.5438209145320182,1.1057572237492017,0.93865042346989,1.4339062103424305,1.7286895162904437,1.7712053482076915,2.2452973252108674,2.6215700537549127,3,HH,R,HH-R,homo-high
p19.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.17436143571373738,0.3758165438786887,0.8014616062344979,1.335564427848361,1.3425131662498608,1.7140720453607594,2.0148010305477015,2.182125715658943,2,HL,R,HL-R,hetero-low
p20.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.11776624681498986,0.5834976482465657,0.8411790779299372,1.3676988507943377,1.8428064792196879,2.530981543528223,3.1746506939042085,3.598884157617503,4.662322844485175,5.325823731516119,3,HH,R,HH-R,homo-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07120963769041287,0.7659909500757069,0.6800491016505291,1.0591894283953103,1.5018202835771932,1.897786881421471,2.6181117416179847,3.4247286180919843,4.402265709701004,4.854689002403909,1,LH,R,LH-R,hetero-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747288,0.6175696861846675,1.362854195617139,2.2173698479021082,2.932745273814962,3.834468145242445,4.6401132283901045,5.035113228390101,2,HL,R,HL-R,hetero-low
p47.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12568823035591042,0.4004419869305103,0.9483427508296783,1.4225956222850618,1.807348498494478,2.30484694456603,2.470291144436443,3.2067537936144603,3.7718793482731634,3,HH,R,HH-R,homo-high
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1957365718396943,0.48343984296857884,0.8892323257259873,1.292620372336229,1.9291028427787447,2.762944278074916,3.7744451444485208,4.357622141188812,1,LH,R,LH-R,hetero-high
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044689148570988144,0.3379210016350531,0.8430468195526885,1.4656341997219093,2.455425861420966,2.534199541331875,3,HH,R,HH-R,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747539,0.2070843071412134,0.35127042796619345,0.4954565487911735,2,HL,R,HL-R,hetero-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2070146790379893,0.7097899593647394,1.8637002557925635,2.962799751428148,2.537389753781334,2.6982151479508825,3.1783726808327986,3.961312889311447,4.414386563971255,3,HH,R,HH-R,homo-high
p52.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018913839596364,0.9600475057534765,1.0858158322326672,1.7294127220077276,2.248488325455093,2.3562235966276335,3.189955747568657,3.6386806896490675,1,LH,R,LH-R,hetero-high
p54.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17664937022247842,0.6020773899861076,0.886915940747765,2,HL,R,HL-R,hetero-low
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.3702607681977982,0.5291271137219891,1.4244631973374478,1.198590920662965,1.3788742812354164,1.6947279870824206,2.1977890477591404,2.39206215482404,3.3159884821871253,3.887418746684908,1,LH,R,LH-R,hetero-high
p77.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997205630049242,0.6289625075729568,0.8146750011559726,1.1816265138521278,1.4630478526814068,1.8424191616048993,2.7886491022730358,3.2625833130349156,3,HH,R,HH-R,homo-high
p78.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435285841000388,0.12126666260312047,0.21813474771079688,0.3514997854032737,0.4391483663549229,0.47638932349741303,2,HL,R,HL-R,hetero-low
p80.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.24091127078690988,0.7518841306937012,0.5614533120476114,0.9226660382430222,1.1448175047707465,1.5539200856577873,2.1850999575233847,2.2875442170865514,3.184126405774556,3.7142267825435855,1,LH,R,LH-R,hetero-high
p84.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06583333333333315,0.6033334294520111,1.120993569263076,1.124423115470862,1.7340556565158842,2.107579115855766,3.031755376828315,3.52273878305174,3,HH,R,HH-R,homo-high
p85.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p86.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630993321392925,1.0639642835042677,2.0775835208049505,1.0796213183993133,1.6245519063616445,1.3460022839085766,1.763490683012526,2.7230863398000587,3.0972692845408605,3,HH,R,HH-R,homo-high
p87.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21271400988181063,0.5986686845155578,0.6986560517350535,0.9739194857162687,1.5639798451107456,1.9318561368186455,2.281871413501389,3.294801139384492,3.7580578385305916,1,LH,R,LH-R,hetero-high
p88.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.15800000000000125,0.2975808239635546,0.4144461091074009,0.6596914493826749,1.3834735973064847,1.5507718614996546,1.6370178838904597,2.1228407328987284,3.0413049070751574,3.571129435715439,3,HH,R,HH-R,homo-high
p89.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.17775000000000035,0.32897287142747605,0.38483430714121125,2,HL,R,HL-R,hetero-low
