,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.0,0.09321123292870906,0.139703834859872,0.2376097646682042,0.33270035951167903,0.4684666241074915,0.6561185989089975,0.9471819303800031,1.2504662230005679,1.5781865844585254,1.7886250221240758,1.9902681449672375,2.178036918969448,2.366452692538336,2.568621152305622,2.7190175027676675,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.023320398060292333,0.09051603383179362,0.2467908648301991,0.4001322050010331,0.5746417986707515,0.7315783828560872,0.912338312985461,1.073470644835569,1.2695171260300926,1.480607179706605,1.6713693680882715,1.8755147523923705,2.0861538634602947,2.298480645111313,2.436276254625935,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.11151997428433441,0.2865741945533109,0.4884142186703566,0.6473058372456042,0.7808851276148928,0.8517034384705894,0.9138499041496093,0.9639429005880059,1.018249555132701,1.075779508081835,1.120422476418326,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.12978097712418332,0.1771471708182878,0.22318581172738186,0.29027585363548675,0.3416890071636237,0.43680725215077715,0.5181679133110004,0.5591950542366118,0.6037114809766837,0.60962300842407,0.6214898928040327,0.6337023815461261,0.6289624966824228,0.6456256722141469,0.6581896254895614,1,LH,L,LH-L,hetero-low
p18.rsml,0.0,0.06007474699647308,0.11121352193375457,0.1748047737041062,0.29018685959358154,0.42373955265262275,0.5591945944704622,0.7478444832966356,0.869778978165271,1.00873729315339,1.1224504252431275,1.2634577026487954,1.4153827329915685,1.534647900871126,1.7347924008845403,1.887895702565007,3,HH,L,HH-L,homo-high
p19.rsml,0.0,0.0712069728386729,0.08405945129804313,0.11222113330900652,0.1732569593326739,0.23921004981234523,0.3652213150902856,0.5302845861654775,0.7043444329342264,0.8783288996440087,1.0289664925078057,1.1991426269964145,1.3797566688727985,1.5542127400040222,1.709338152199713,1.8072842922479047,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.0,0.01962393094287823,0.06570248387468372,0.14124435576432462,0.23234834192784867,0.39305331424188616,0.6134919197203427,0.8756264384854158,1.1509318869527587,1.3759207952788557,1.6246220882977496,1.8516796720622355,2.0863137897589175,2.425126477441561,2.5907233957525455,3,HH,L,HH-L,homo-high
p21.rsml,0.0,0.1702612932227183,0.19546576706133406,0.22556610307389333,0.2664447328890224,0.324253720902659,0.40621274154507214,0.4828033731573538,0.5494491852078047,0.5927903926931032,0.6339954816508399,0.6591427611965381,0.6857641149821009,0.6991795420006087,0.7137393086766572,0.7299337660213444,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.09349815326224432,0.17170126454894277,0.2567912811075966,0.47538500724178195,0.655713504994488,0.9799234985631352,1.2808065604202488,1.5952694071488667,1.868082763001405,2.148999871089443,2.5321112141124704,2.8485960967584805,3.15427330310366,3.3256317957013324,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,0.15387842454967826,0.22501743681669936,0.47936183203445454,0.7517889893166991,0.9907170122553027,1.2119804681940336,1.5189798509575059,1.7588633639708044,1.895243876583045,2.068261542064977,2.2810723297924196,2.5079219508734707,2.734771690566918,2.905755747906439,3.0168988500106133,3,HH,L,HH-L,homo-high
p48.rsml,0.0,0.18287907599955835,0.22339293152702636,0.2720943375759336,0.31944933150494587,0.37743225773355915,0.44813763779890764,0.5216019631446387,0.5799543224900334,0.6533696362668655,0.6878332750496501,0.7032466974026939,0.7055631547835286,0.7108395595257959,0.6983004116934185,0.6936785712555367,1,LH,L,LH-L,hetero-low
p49.rsml,0.0,0.2499549589368271,0.34794531297337045,0.4047644784226915,0.45863710758828613,0.5387088254900895,0.6128830499537037,0.6530729840484405,0.7345039488738494,0.8684659224110047,1.0210995585775033,1.1773513720540743,1.3225661047330626,1.5141189564563273,1.6938080111967737,1.774164031786227,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.2772818345427249,0.42663772401821665,0.6929887922647039,0.973750676211223,1.3883373732750832,1.792872087065654,2.1632199584337015,2.5266965509762396,2.812328542648471,3.114766389179763,3.3676376732773354,3.6306546912353306,3.9391919530311608,4.408200082783705,4.676390784593113,2,HL,L,HL-L,hetero-high
p51.rsml,0.0,0.031007369798692216,0.08280769844710438,0.1873862698627104,0.2832713663228973,0.4206719420678817,0.5393573713448564,0.7219976330480721,0.9344552487237692,1.1626330137723146,1.3199011857188154,1.4970636258732237,1.6692013759264248,1.8451333606119673,1.9796528809039589,2.05307222181681,3,HH,L,HH-L,homo-high
p52.rsml,0.0,0.0,0.0,0.0,0.01899380866580249,0.09405404591804647,0.22966457899544862,0.3147328607392759,0.4091758587496993,0.48101380479545475,0.5365800834503491,0.5951358561803889,0.6396204923596913,0.6749452833603151,0.7102419145245079,0.7319338105300347,1,LH,L,LH-L,hetero-low
p54.rsml,0.013326055297566466,0.15711250132178028,0.2943889898053585,0.4730357569190252,0.6217238550715456,0.9161258966805158,1.2351692385421449,1.5327791209187227,1.9116375116823252,2.221229355186735,2.6362423861751982,2.9949331565963138,3.309691309398218,3.7436742457144137,4.265631719465952,4.566502112670952,2,HL,L,HL-L,hetero-high
p56.rsml,0.0,0.19104311930753348,0.228091682220778,0.29711493511921416,0.3933888791636668,0.5065046930015442,0.6280776592480369,0.7257159348186965,0.7829373377021828,0.8407585293565203,0.8752700530027449,0.9502922165272072,0.990068451261222,1.0141559197918988,1.0461375881091455,1.0634038090724593,1,LH,L,LH-L,hetero-low
p77.rsml,0.0,0.4130666275273323,0.7331048471113307,1.0105575590428726,1.2525549501969884,1.4266257100624873,1.6209617744520304,1.8684288003515948,2.158729404271251,2.415569552782062,2.612339609401014,2.799459336111424,2.9702994266615246,3.1598095717584607,3.251259406488908,3.354640417154684,3,HH,L,HH-L,homo-high
p78.rsml,0.0,0.075119715070797,0.11534869133973924,0.1616428305714697,0.2426511284151961,0.41221217396259807,0.5966866515501684,0.8156808727179866,1.0662782633656225,1.2965354956683335,1.4566381078092447,1.6600578373591623,1.8944214729886057,2.1340567509052373,2.349212765493268,2.5717830769684173,2,HL,L,HL-L,hetero-high
p80.rsml,0.0,0.07538039567961237,0.10218963934769319,0.1310544739018894,0.1543113217958701,0.18384806312880073,0.19934087263867,0.2363516427403936,0.27366901202553384,0.29739304673043365,0.3135364225796203,0.32596246222495767,0.33387610341079826,0.33788715244151013,0.32957526375360435,0.33295265897892623,1,LH,L,LH-L,hetero-low
p84.rsml,0.0,0.06996213170966988,0.1333527362637694,0.22144798440220914,0.3314193197410034,0.4831231627939363,0.6845078380960637,0.9079136937783417,1.1191601672828069,1.373066500771663,1.6694009449187734,1.947229763012851,2.1784187888353403,2.5431792909032396,2.9949188335674553,3.2679467455514257,3,HH,L,HH-L,homo-high
p85.rsml,0.0,0.3556243381802278,0.5606655174528546,0.7658123717146186,0.9696048906021433,1.3059395616290987,1.6769610548874538,2.0576309898340415,2.424248336854933,2.8013018538757084,3.1592786830694926,3.4914816898903487,3.782693905439469,4.091041216735037,4.719876323082409,5.04837881069857,2,HL,L,HL-L,hetero-high
p86.rsml,0.0,0.26857391340788334,0.35625235102422015,0.4397573214256514,0.5361340919111026,0.6854424466645509,0.8310018715100406,0.9697984548395862,1.1396222037033943,1.329762111108532,1.4687584499564144,1.660569809087001,1.8685297335212665,2.0370642361447864,2.2318245100107292,2.3265286734559263,3,HH,L,HH-L,homo-high
p87.rsml,0.0,0.15163735415416058,0.19484656521706492,0.2491960094859216,0.3413858286092761,0.4076403482889076,0.4615373990759196,0.49521410789536385,0.5292216841296811,0.5504853207088527,0.564341429744509,0.5638051661781678,0.5766170662674698,0.5842960197095116,0.5885414063745479,0.5993160255639104,1,LH,L,LH-L,hetero-low
p88.rsml,0.0,0.13002712896183313,0.16121454337637697,0.23195477771278386,0.37578741527436144,0.5984923695140018,0.8562766090025814,1.087297506552318,1.3869529653382526,1.6269246675220275,1.850490120568957,2.1009155775459885,2.319128627513071,2.5986647307495807,2.881666748624365,3.114587453861747,3,HH,L,HH-L,homo-high
p89.rsml,0.0,0.1325337232274224,0.2449933208929243,0.41029726287547147,0.5646501694986182,0.7637603167385127,0.9684893295755402,1.1939928392367618,1.4865714705100428,1.7669545692094983,1.9995235677276169,2.2336857265488925,2.4604914641745372,2.717650745068631,3.1031578054760267,3.3452206953023067,2,HL,L,HL-L,hetero-high
p14.rsml,0.0,0.01756997237041095,0.0360332806950253,0.062004878879200975,0.08820955254964807,0.1631453650973938,0.28616904086933875,0.47419264215474555,0.6427015070077075,0.8403409205320688,0.9778664339675834,1.1350379626706992,1.2683388859891098,1.3821170239695015,1.5227045773721828,1.6270617342291687,3,HH,R,HH-R,homo-high
p15.rsml,0.0,0.1674682736220677,0.25236330101181964,0.33090998608815936,0.45475423283044586,0.5308198735699622,0.6073258267443836,0.6764075491561278,0.7346753546306077,0.7409667334493797,0.7666735509114201,0.761682325111457,0.7608364598414544,0.7273654322450033,0.7057275882635521,0.7060834328580275,2,HL,R,HL-R,hetero-low
