,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.0,0.0,0.08447882322632187,0.06366755915364733,0.05899173291812525,0.0487177928739013,0.04318984301933509,0.056283772673863926,0.1441255732668663,0.2979914710202585,0.42817281265755186,0.578482586247758,0.735654016985343,0.891823645997938,1.0778405455704303,1.204944050097242,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276798040961434,0.06696394020836892,0.15190778367912228,0.24739807592145932,0.36556622815043865,0.5264443922435421,0.6955230190958881,0.8600866942279837,0.9535928213811677,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030846060910375717,0.08578706533628215,0.13354798240699964,0.19764025615988584,0.2617393791410416,0.328553315889448,0.3974107036864314,0.4437866597128228,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02252952251151618,0.025066483052561164,0.03612589400300296,0.054170008518134895,0.0701735800716808,0.08528842599726214,0.1184043121424571,0.15126191183781437,0.15935535906844148,1,LH,L,LH-L,hetero-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03625204272141771,0.07681774377604642,0.126721318038025,0.1765065114937301,0.27768121273036944,0.4028101153139874,0.5332577752108704,0.6949690106088207,0.7963397012455894,3,HH,L,HH-L,homo-high
p19.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0048016347578528325,0.05180979570878442,0.11068621558970192,0.20651779287834607,0.2863608301647101,0.392376685693021,0.521663755233912,0.6574429874106482,0.830631415827097,0.9330166383938493,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022245054820868346,0.07426484651497395,0.19515578830782634,0.3200756914805727,0.4959796370423639,0.6616299353510816,0.9199438550425411,1.2389854836104541,1.393200112375687,3,HH,L,HH-L,homo-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02664099567878412,0.04230906602353633,0.0587993242383099,0.08870368678314233,0.1332130816495953,0.16116939850327175,0.1897965463482415,0.2102596027336391,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04839075665405304,0.13726765615975786,0.2789267670012992,0.4236303021621214,0.6173442236678378,0.8535233214767767,1.0969709330051947,1.357091270097696,1.4925295559514438,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735790035031219,0.06064156522937563,0.10693735671290458,0.18840707095887185,0.29150075159085076,0.4329719291180741,0.567437120983789,0.6581266000688027,3,HH,L,HH-L,homo-high
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023246151346507492,0.10540314362149501,0.23468261377149388,0.41722287684310566,0.6058885173770424,0.6814805163281542,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.008691576053124046,0.025247675208222103,0.05226155254933142,0.08660306422331324,0.1293306393355182,0.2063962747125806,0.2985341442939676,0.48553789057443947,0.7823385390443738,0.9384549754966579,2,HL,L,HL-L,hetero-high
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03723823785034785,0.06510591166560442,0.12887718257726222,0.1874957007949696,0.2722635997088355,0.3509016989843002,0.4430792252939026,0.5500159907569355,0.6139360257404853,3,HH,L,HH-L,homo-high
p52.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028859461892777046,0.04926798353272281,0.068249314294871,0.1051824544774234,0.1058604975923415,0.12296248555406544,0.13151886879542302,0.14059361455493113,1,LH,L,LH-L,hetero-low
p54.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05039120120914673,0.21116209507655884,0.34868327708682145,0.48955812965262135,0.6309002938763034,0.8056237253585058,1.037786320352091,1.3569257947834024,1.560167833439601,2,HL,L,HL-L,hetero-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004093771623978684,0.024019815001155378,0.04470280996860983,0.06358832964258944,0.08752292056985383,0.09884976659162072,1,LH,L,LH-L,hetero-low
p77.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034208116237929046,0.04527241382508959,0.11026115240268425,0.2210881828919335,0.36481845528960183,0.5414416910574869,0.7103056661209765,0.8491258338204285,0.9294955153378917,3,HH,L,HH-L,homo-high
