,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.0,2.336573359567634,3.5280698474201713,6.875266243896452,10.56174956677,17.12136637753874,27.187983145258276,43.10615353146586,60.43290382589379,79.88661859055696,95.00547748613235,110.4833249717203,124.38403996611157,139.90343639571662,151.70050391692425,156.8515545044094,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.3619099675766505,1.6286325887769701,5.223720588691079,9.944792314289048,16.559598544153246,24.318291992927872,34.102610950372956,44.41472767427154,57.20500312311531,70.21468442068104,84.62127851633579,96.40807534642823,109.1573510989042,122.59597335885043,130.80244851255358,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.0,2.564523320628578,7.614934624091674,15.068461162058929,21.991629657296286,28.374480100244153,33.03164017035314,37.11205400745342,40.19216602701844,43.5684853325817,46.758721333725404,48.22717931504944,3,HH,L,HH-L,homo-high
p17.rsml,0.0,2.9762629917598025,4.435014650862244,6.2260911850957985,8.710634845951123,11.432392831705076,16.13648686371993,20.699264699911808,24.311463797388857,28.62307390389455,30.833876828010087,33.748636664681406,35.988676577901494,37.0787010957369,38.81827269810848,39.950045493887174,1,LH,L,LH-L,hetero-low
p18.rsml,0.0,1.1528924311058337,2.4299037472542153,4.366261051582164,8.21768076329093,13.8005458462677,20.727391135968574,30.42967152714442,38.54313776710325,48.84925198913126,58.28835864963093,67.75051954922114,77.34904780467156,84.81805181592442,96.23293479752978,102.82327173928297,3,HH,L,HH-L,homo-high
p19.rsml,0.0,1.3301184389907035,1.7510641818456594,2.656198208656903,4.5517638048233175,7.173885729876143,12.2665372568729,19.51213729207434,27.697176993754336,36.67094499339599,45.237427602951044,55.34946721810966,64.9423579727646,74.63807118332956,81.3863747952586,84.8512935789145,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.0,0.44162342555620404,1.6908896115549807,4.104244064395884,7.770134361378482,15.178853083675069,26.36274707318256,41.08002222431602,57.22543418170223,71.43917280759332,86.65664787394317,101.45357482214868,111.70528269776268,121.03619618402703,125.07004041286432,3,HH,L,HH-L,homo-high
p21.rsml,0.0,4.905077297704182,6.130333530562296,7.800935164636586,10.212886583513596,13.679135535775345,18.847330458493524,24.48560955512479,29.309605884101078,33.76188682407978,37.75902705795287,40.19041958388866,42.366470476125286,43.613392734908565,44.82291524533354,45.58838535841098,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,1.6963902146087517,3.7372569206402884,6.425764072248465,13.745851164815038,22.239864480153454,37.82049484590613,54.099664959007626,71.73020106463461,87.6916292999725,105.53586617861446,127.15055007048022,146.42990777075372,163.93658286044692,173.4834962377779,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,2.8069763440493505,4.638025440542913,11.188268688580655,19.46991912620817,29.639763568755747,41.29511908637734,57.617353429357195,74.6654050784277,90.24871677117991,106.3852820666633,127.50645702436141,149.68713359747505,172.11061413817143,190.99150117824104,199.92764876106605,3,HH,L,HH-L,homo-high
