,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.0,0.0,0.33516861428242367,0.45656128235792626,0.5779479523425686,0.6993406204180765,0.8207332884935791,1.30595850923987,4.014328161018989,9.894221771464085,16.567571397689576,25.954819734264593,37.12790894285989,50.71226239849517,65.69305292695145,73.57447469529198,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715000000000022,1.9653888089785811,5.384529049016269,9.970414313354508,17.20691088691106,27.48033418276492,40.137986574238795,54.263110149341635,62.41538503205204,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823468147571899,2.555521827221949,4.58727373798584,7.764837962347759,11.452984180866318,15.99163743530617,21.20410725240897,24.414768697086693,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43629176017889637,0.5787110355597221,0.9986017951627417,1.7333442670534045,2.6009201031722347,3.485545794613105,5.474041937809453,7.645221791579673,8.257671116956656,1,LH,L,LH-L,hetero-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8876520996426451,2.2684746899044153,4.497819627752221,7.233760080139385,12.89495187986773,20.97797098887451,30.954532093937555,44.15326134322418,51.06123396687139,3,HH,L,HH-L,homo-high
p19.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,1.1165532028777565,2.8855926398218426,6.58823131032956,10.559982398573197,16.80080551063941,24.927328109029848,34.949629433352214,48.898905191593464,57.089343240698575,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603433744215001,2.289940657485874,7.291117782983777,13.858566544675245,24.733734338027528,37.158494870036904,57.34082643622171,79.06986659189194,89.15767991305732,3,HH,L,HH-L,homo-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7361694146035844,1.3624376990323608,2.1067653399446717,3.4770401394215438,5.741788514812416,7.399345811501546,9.243056615062065,10.456178202210257,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2804481106674488,4.427439659283335,10.655678193882395,18.354075465965746,30.894386778663797,47.34699806181202,67.72405892023882,91.77643988021741,104.85571549221663,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45036929291415806,1.9331059482848607,3.9103541690982606,8.03748770356787,14.158251443161637,23.752194237063314,34.52894891021738,41.673738216490264,3,HH,L,HH-L,homo-high
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067228714274785,2.797422626344221,7.429424952276085,15.602690209664468,25.77470579634108,30.32009025995243,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.19749999999999943,0.7002529214236337,1.7096305762189041,3.3802314985391475,5.6849711921280095,10.304391986866346,16.51672189466888,29.22733467331664,47.21709230969854,56.63931021555909,2,HL,L,HL-L,hetero-high
