,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,3.0,4.0,6.0,8.0,12.0,13.0,15.0,17.0,17.0,19.0,22.0,23.0,26.0,31.0,31.0,32.0,3,HH,L,HH-L,homo-high
p15.rsml,1.0,3.0,6.0,7.0,8.0,9.0,10.0,10.0,12.0,15.0,17.0,19.0,19.0,24.0,24.0,24.0,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,4.0,6.0,6.0,8.0,8.0,10.0,11.0,13.0,13.0,16.0,16.0,16.0,3,HH,L,HH-L,homo-high
p17.rsml,3.0,3.0,3.0,6.0,6.0,10.0,13.0,13.0,13.0,13.0,14.0,15.0,17.0,18.0,18.0,18.0,1,LH,L,LH-L,hetero-low
p18.rsml,2.0,3.0,5.0,7.0,9.0,10.0,11.0,11.0,12.0,14.0,15.0,19.0,20.0,23.0,25.0,25.0,3,HH,L,HH-L,homo-high
p19.rsml,2.0,2.0,3.0,5.0,6.0,8.0,11.0,14.0,14.0,17.0,18.0,21.0,24.0,31.0,31.0,31.0,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,1.0,3.0,7.0,8.0,10.0,13.0,14.0,16.0,18.0,21.0,24.0,26.0,31.0,31.0,31.0,3,HH,L,HH-L,homo-high
p21.rsml,5.0,5.0,5.0,7.0,10.0,12.0,13.0,16.0,17.0,18.0,19.0,22.0,22.0,23.0,24.0,24.0,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,2.0,2.0,3.0,8.0,10.0,13.0,14.0,17.0,19.0,23.0,24.0,27.0,32.0,32.0,32.0,2,HL,L,HL-L,hetero-high
p47.rsml,3.0,5.0,8.0,9.0,9.0,12.0,14.0,15.0,16.0,17.0,19.0,21.0,22.0,26.0,26.0,26.0,3,HH,L,HH-L,homo-high
p48.rsml,4.0,4.0,4.0,6.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,LH,L,LH-L,hetero-low
p49.rsml,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,10.0,13.0,14.0,15.0,15.0,15.0,15.0,3,HH,L,HH-L,homo-high
