,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p14.rsml,0.1266593817173701,0.1266593817173701,0.21109896952895016,0.2955385573405302,0.4644177329636903,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,0.5066375268694804,3,HH,L,HH-L,homo-high
p15.rsml,0.0721719232131836,0.21651576963955077,0.43303153927910154,0.5052034624922851,0.5773753857054688,0.6495473089186523,0.6495473089186523,0.6495473089186523,0.6495473089186523,0.7217192321318359,0.7217192321318359,0.7217192321318359,0.7217192321318359,0.7217192321318359,0.7217192321318359,0.7217192321318359,2,HL,L,HL-L,hetero-high
p16.rsml,0.0,0.0,0.0,0.0,0.40734135955037815,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,0.6110120393255672,3,HH,L,HH-L,homo-high
p17.rsml,0.14003199671539998,0.14003199671539998,0.14003199671539998,0.28006399343079996,0.28006399343079996,0.4667733223846666,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,0.5601279868615999,1,LH,L,LH-L,hetero-low
p18.rsml,0.1150006130929445,0.17250091963941674,0.28750153273236123,0.40250214582530575,0.5175027589182503,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,0.5750030654647225,3,HH,L,HH-L,homo-high
p19.rsml,0.11527268790270893,0.11527268790270893,0.1729090318540634,0.2881817197567723,0.3458180637081268,0.40345440765948126,0.5187270955621902,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,0.5763634395135446,2,HL,L,HL-L,hetero-high
p20.rsml,0.0,0.05348902030330766,0.160467060909923,0.37442314212315364,0.4279121624264613,0.5348902030330766,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,0.5883792233363843,3,HH,L,HH-L,homo-high
p21.rsml,0.1848395176625593,0.1848395176625593,0.1848395176625593,0.258775324727583,0.3696790353251186,0.4436148423901423,0.48058274592265415,0.517550649455166,0.5545185529876778,0.5545185529876778,0.5545185529876778,0.5545185529876778,0.5545185529876778,0.5545185529876778,0.5545185529876778,0.5545185529876778,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.1487935443240033,0.1487935443240033,0.22319031648600493,0.5951741772960132,0.7439677216200165,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,0.8183644937820181,2,HL,L,HL-L,hetero-high
p47.rsml,0.1789876987432224,0.298312831238704,0.47730052998192635,0.5369630962296672,0.5369630962296672,0.7159507949728896,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,0.8352759274683712,3,HH,L,HH-L,homo-high
p48.rsml,0.19190198388321056,0.19190198388321056,0.19190198388321056,0.28785297582481584,0.3838039677664211,0.43177946373722376,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,0.4797549597080264,1,LH,L,LH-L,hetero-low
p49.rsml,0.34487595524386455,0.34487595524386455,0.34487595524386455,0.34487595524386455,0.402355281117842,0.402355281117842,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,0.45983460699181944,3,HH,L,HH-L,homo-high
p50.rsml,0.24168414900143137,0.3625262235021471,0.4430876065026242,0.5639296810033398,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,0.7653331385045327,2,HL,L,HL-L,hetero-high
p51.rsml,0.12877764656013443,0.2146294109335574,0.3434070574936918,0.3863329396804033,0.3863329396804033,0.47218470405382623,0.47218470405382623,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,0.5580364684272492,3,HH,L,HH-L,homo-high
p52.rsml,0.0,0.0,0.0,0.061524674928484825,0.2460986997139393,0.36914804957090896,0.36914804957090896,0.36914804957090896,0.36914804957090896,0.36914804957090896,0.4306727244993938,0.4306727244993938,0.4306727244993938,0.4306727244993938,0.4306727244993938,0.4306727244993938,1,LH,L,LH-L,hetero-low
p54.rsml,0.24547163171119,0.24547163171119,0.28638357032972167,0.4091193861853167,0.5318552020409116,0.613679079277975,0.613679079277975,0.613679079277975,0.6545910178965066,0.6545910178965066,0.6545910178965066,0.6545910178965066,0.6545910178965066,0.6545910178965066,0.6545910178965066,0.6545910178965066,2,HL,L,HL-L,hetero-high
p56.rsml,0.17236737171152156,0.17236737171152156,0.21545921463940196,0.25855105756728236,0.4309184292788039,0.5171021151345647,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,0.5601939580624451,1,LH,L,LH-L,hetero-low
p77.rsml,0.40147902627089455,0.4906965876644267,0.4906965876644267,0.5353053683611928,0.6691317104514909,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,0.7583492718450231,3,HH,L,HH-L,homo-high
p78.rsml,0.13694913902754885,0.13694913902754885,0.1825988520367318,0.31954799106428067,0.4564971300918295,0.5477965561101954,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,0.5934462691193784,2,HL,L,HL-L,hetero-high
p80.rsml,0.14123007334164875,0.14123007334164875,0.14123007334164875,0.14123007334164875,0.18830676445553168,0.18830676445553168,0.37661352891106337,0.4236902200249463,0.4236902200249463,0.4236902200249463,0.4236902200249463,0.4707669111388292,0.4707669111388292,0.4707669111388292,0.4707669111388292,0.4707669111388292,1,LH,L,LH-L,hetero-low
p84.rsml,0.08401884608396014,0.16803769216792028,0.2940659612938605,0.4200942304198007,0.4200942304198007,0.5041130765037608,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,0.588131922587721,3,HH,L,HH-L,homo-high
p85.rsml,0.3306140491096429,0.4132675613870537,0.4132675613870537,0.5785745859418752,0.6612280982192859,0.7438816104966967,0.7438816104966967,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,0.785208366635402,2,HL,L,HL-L,hetero-high
p86.rsml,0.2569024618904117,0.3303031652876722,0.3303031652876722,0.4771045720821932,0.5138049237808234,0.5872056271780839,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,0.6239059788767142,3,HH,L,HH-L,homo-high
p87.rsml,0.17088351723430548,0.17088351723430548,0.17088351723430548,0.2848058620571758,0.2848058620571758,0.34176703446861095,0.4556893792914813,0.4556893792914813,0.5126505517029165,0.5126505517029165,0.5126505517029165,0.5696117241143516,0.5696117241143516,0.5696117241143516,0.5696117241143516,0.5696117241143516,1,LH,L,LH-L,hetero-low
p88.rsml,0.14915617219137217,0.14915617219137217,0.2485936203189536,0.3977497925103258,0.4971872406379072,0.5966246887654887,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,0.6463434128292794,3,HH,L,HH-L,homo-high
p89.rsml,0.20561297139586857,0.24673556567504226,0.3289807542333897,0.4934711313500845,0.5345937256292582,0.6168389141876057,0.6990841027459531,0.6990841027459531,0.6990841027459531,0.6990841027459531,0.7402066970251269,0.7402066970251269,0.7402066970251269,0.7402066970251269,0.7402066970251269,0.7402066970251269,2,HL,L,HL-L,hetero-high
p14.rsml,0.036671672119971736,0.036671672119971736,0.036671672119971736,0.11001501635991522,0.22003003271983043,0.2933733769597739,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,0.33004504907974563,3,HH,R,HH-R,homo-high
p15.rsml,0.19891670811021273,0.39783341622042545,0.39783341622042545,0.547020947303085,0.547020947303085,0.6464793013581913,0.6464793013581913,0.6464793013581913,0.6464793013581913,0.6962084783857445,0.6962084783857445,0.6962084783857445,0.6962084783857445,0.6962084783857445,0.6962084783857445,0.6962084783857445,2,HL,R,HL-R,hetero-low
p16.rsml,0.0,0.0,0.0,0.07522570192306695,0.22567710576920083,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,0.3009028076922678,3,HH,R,HH-R,homo-high
p17.rsml,0.0,0.0,0.0,0.20706683571943346,0.20706683571943346,0.20706683571943346,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,0.3106002535791502,1,LH,R,LH-R,hetero-high
p18.rsml,0.11298587686644228,0.1694788152996634,0.3389576305993268,0.3389576305993268,0.4519435074657691,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,0.5649293843322114,3,HH,R,HH-R,homo-high
p19.rsml,0.11109819242432019,0.11109819242432019,0.1666472886364803,0.1666472886364803,0.3332945772729606,0.44439276969728075,0.49994186590944084,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,0.5554909621216009,2,HL,R,HL-R,hetero-low
p20.rsml,0.08755234366032351,0.17510468732064702,0.17510468732064702,0.3939855464714558,0.3939855464714558,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,0.4815378901317793,3,HH,R,HH-R,homo-high
p21.rsml,0.0584033678355483,0.0584033678355483,0.0584033678355483,0.1752101035066449,0.1752101035066449,0.4672269426843864,0.4672269426843864,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,0.584033678355483,1,LH,R,LH-R,hetero-high
p23.rsml,0.08520024071647657,0.12780036107471485,0.12780036107471485,0.12780036107471485,0.12780036107471485,0.12780036107471485,0.12780036107471485,0.17040048143295314,0.17040048143295314,0.17040048143295314,0.21300060179119143,0.21300060179119143,0.21300060179119143,0.21300060179119143,0.21300060179119143,0.21300060179119143,2,HL,R,HL-R,hetero-low
