,hit_hour,side
p24.rsml,164.0,L
p24.rsml,164.0,R
p25.rsml,164.0,L
p25.rsml,,R
p27.rsml,,L
p27.rsml,164.0,R
p28.rsml,,L
p28.rsml,,R
p30.rsml,164.0,L
p30.rsml,,R
p31.rsml,,L
p31.rsml,,R
p32.rsml,164.0,L
p32.rsml,164.0,R
p33.rsml,,L
p33.rsml,164.0,R
p57.rsml,,L
p57.rsml,164.0,R
p58.rsml,,L
p58.rsml,,R
p59.rsml,,L
p59.rsml,168.0,R
p60.rsml,164.0,L
p60.rsml,,R
p62.rsml,,L
p62.rsml,,R
p63.rsml,,L
p63.rsml,164.0,R
p64.rsml,164.0,L
p64.rsml,,R
p90.rsml,,L
p90.rsml,,R
p93.rsml,,L
p93.rsml,,R
p94.rsml,,L
p94.rsml,,R
p95.rsml,,L
p95.rsml,,R
p97.rsml,,L
p97.rsml,,R
p98.rsml,,L
p98.rsml,,R
p99.rsml,164.0,L
p99.rsml,,R
