,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26451910163012493,0.8410894191400775,1.124091255066415,2.0244508731917574,2.8929431964760814,3.6709611367900017,4.908942359475441,5.431788182582672,3,HH,L,HH-L,homo-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41297812751472435,0.8995753852050095,1.3480799320923973,2.0395276615118703,2.6839564626686276,2.8872365979305274,3.4671369519210273,4.02169807790283,2,HL,L,HL-L,hetero-high
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07899999999999707,0.4433662979120489,1.2030489055632507,1.735717519845676,2.6059775723628524,3.2855612684592197,4.00804151183501,4.532886913892474,5.023469725718676,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.2649740553337256,0.5299481106674512,0.4980886681034718,0.4687485339220069,0.6910589681566924,1.1675522594203684,1.637335700136225,1.8026089745138787,2.387962406086007,2.6659096805569256,3,HH,L,HH-L,homo-high
p30.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579175333333346,0.3143042165795367,0.6157204168179408,0.9830248366243652,1.447887815303852,2.190152055875358,2.737723999623433,3.6801030333377094,4.196485983172854,3,HH,L,HH-L,homo-high
p31.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4606451996927775,1.4505123624979692,2.3013684020252243,3.3495983590841014,1.5411450277717587,1.1590108352155288,1.5509967236021551,1.7528511665223028,1,LH,L,LH-L,hetero-low
p32.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026333333333333542,0.31504731109191847,0.897408171846934,1.3787610020264656,1.634158436126724,1.7347991399353144,2.2137272504541237,3.161659262742118,3.6721722395712377,3,HH,L,HH-L,homo-high
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p57.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264330420950869,1.4838260643814896,1.5150140803711203,1.4037191471613877,1.89504248564691,2.5964547680497017,3.0435298626397147,3,HH,L,HH-L,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2553296379835843,2.463797262705077,3.4409732959764634,4.94405080562126,5.905938662910246,7.448462973901812,8.138300817166446,8.425865157793023,1,LH,L,LH-L,hetero-low
p59.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15313025320100665,0.3515663377024122,0.7259172616935945,1.4047413007166465,1.9039014628368354,2.2349899015643415,3.1451229625637156,3.6404295348106572,3,HH,L,HH-L,homo-high
p60.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029441561703747465,0.30918889267335076,0.7684784381275802,1.291634326711698,1.5340775095458143,2.0053729135678413,2.9774243944502246,3.3067452797040793,2,HL,L,HL-L,hetero-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17664937022247842,0.35329874044496323,0.883246851112416,0.7791115734962498,1.1882717496549493,1.4252717496549512,1,LH,L,LH-L,hetero-low
p63.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.24795924508463352,0.5502275062581076,1.0717405505620505,2.2275987947310405,2.111866665279498,2.71443456295734,2.786013683089436,3.0297377712817837,4.051573215184124,4.219353004695009,3,HH,L,HH-L,homo-high
p64.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.2023626722118965,0.1480751148079317,0.42836405259101606,0.8711839996986858,1.1707008931138463,1.3558195371289925,1.7808913058924938,2.509531265926609,3.5745359115436073,3.7576746878847826,2,HL,L,HL-L,hetero-high
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065295141376617,0.9205568953779445,1.4704152084404392,1.6952623608598212,1.8870082630346015,2.3950006667325603,3.2653955400794774,3.5007429156804584,3,HH,L,HH-L,homo-high
p93.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.26569555821232355,0.4183191717811238,0.7465812036186273,1.1493187981998707,1.5434423054859645,1.8793000779298292,2.5843624956853697,3.0415450849675447,4.205110254431573,4.625240180688979,3,HH,L,HH-L,homo-high
p95.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3902101271679347,0.7764356218044711,1.4603988399085628,1.950087879839438,1.7262431578106463,2.0516062241554236,2.7615287422052273,3.2130514724848185,2,HL,L,HL-L,hetero-high
p97.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4254280197636292,0.39473274729980834,0.8882789892992253,1.3899533122454895,2.1336653784376742,2.7891879289053905,3.278081858249106,3.7371708365357796,3.906347464259427,1,LH,L,LH-L,hetero-low
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026333333333333542,0.3534071972576546,0.8149883599029439,1.1664929065110876,0.9730119749080524,1.2495862326733291,1.4892643972235144,2.121727377172121,2.4228884011045118,3,HH,L,HH-L,homo-high
p99.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18736495136497627,0.8170303473711711,1.574433520448234,1.3540450611196104,1.582611163509813,1.9957800806810344,2.7185688623422353,3.711242597532845,4.054661083764033,2,HL,L,HL-L,hetero-high
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.28472405533372497,0.6217361773631768,0.8123527290947357,1.2142381956941104,1.5625297518070929,2.2070880485490707,3.26295386579061,3.829350091619713,3,HH,R,HH-R,homo-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28483855076165443,0.9018482751582777,1.5721855037231276,1.1927701424305486,1.1976105811739277,1.593633463041696,1.8385269252756513,2,HL,R,HL-R,hetero-low
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1735411418520697,0.35562433592406634,0.8987015123980998,1.1199429221345532,1.3908092390406268,1.8376570003038024,2.0526328137730423,2.775502774766075,3.2139791977622254,1,LH,R,LH-R,hetero-high
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.5517958440005779,1.2570033652843378,1.541651849530054,1.881072279167161,2.2650337897841686,1.8989326750122268,2.6042741710552995,2.9996861384488622,3,HH,R,HH-R,homo-high
p30.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05586143571373518,0.31964472773867936,0.6876248512096041,1.116746517693494,1.5243071831145911,2.2824511240462733,1.9584146578376218,2.6359334140976616,3.1746726342593985,3,HH,R,HH-R,homo-high
p31.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.1249099675766486,0.5372771873550922,0.5789442613117854,1.3119729620139058,1.718157642989231,2.292451079105245,2.310385654794727,2.7855672129261952,3.7717073162932766,4.385391087672937,1,LH,R,LH-R,hetero-high
p32.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30913639788934916,0.5080140299096698,1.166119692551425,1.6390515957218847,1.9968121922080828,2.5187769056420493,3.1421059413522023,3.5956861324761142,4.2061647836404745,3,HH,R,HH-R,homo-high
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.12646170368929838,0.30288978544367406,1.0760400733555755,1.4319476016416903,1.5288952825189992,1.8557108420582238,1.8620409033976115,2.1308110435328316,3.032014876063937,3.3308909729521288,3,HH,R,HH-R,homo-high
p57.rsml,0.0,0.0,0.0,0.0,0.015799999999998704,0.03159999999999741,0.023699999999998056,0.028439999999999088,0.5705551689245325,1.1184988924319512,1.7816373773462384,2.200652208619606,3.1025716482141736,3.7587752468371143,5.214753825267381,5.9217900689369865,3,HH,R,HH-R,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37008724853693564,0.85589470690105,1.044684935033988,1.416091120487534,2.034311584707837,2.3167759258198175,3.1933858845327374,3.6541773441888825,1,LH,R,LH-R,hetero-high
p59.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747539,0.11172287142747539,0.48854731310010485,1.1954682368712304,1.4181512684383633,1.8227486605817675,2.473236318631671,2.901247033065835,4.034094185014068,4.601793966861201,3,HH,R,HH-R,homo-high
p60.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,0.5258914857098922,0.9865366854026746,1.516484796070129,2.185783536515095,2.91412754864123,3.546127548641228,3.8718528930650256,2,HL,R,HL-R,hetero-low
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31845918105779036,0.35122234157786836,0.9499172455848746,0.7224888110785102,1.2037883247093697,1.9126493778731322,2.314852254500026,3.087700888790863,3.5205861037197046,1,LH,R,LH-R,hetero-high
p63.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,0.2960562047608082,0.5855476600934193,1.3974253336916973,1.497604654096657,1.9092026630077557,2.647810967100055,2.7210730919548953,2.899867828316738,3.392161641774114,3,HH,R,HH-R,homo-high
p64.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747539,0.5067228714274743,0.9673680711202506,1.6469517672166236,1.8236011374391052,2,HL,R,HL-R,hetero-low
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17436143571373863,0.5091021029317698,0.6765755429025587,0.9148849625046425,1.4236679740346208,1.7722921169506345,2.405968266286207,2.390111693655819,3,HH,R,HH-R,homo-high
p93.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726607614540931,1.8903677952373836,0.6181807292810588,0.6730713404612227,0.9967659303667796,1.3906161130524504,2.158229736466245,3.0607766239660847,3.4896406301634815,1,LH,R,LH-R,hetero-high
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17774999999999963,0.6632224811575238,0.7929699253732988,1.3429624863284568,1.2969507942070038,1.3735843428103183,1.6127620982357853,2.282162276567522,2.665725004333117,3,HH,R,HH-R,homo-high
p95.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p97.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524474537750147,1.1854187697568501,1.3436213226385263,1.2913134977549081,1.3636555213066894,1.9578733738726264,2.635373056928421,3.0803116913576254,1,LH,R,LH-R,hetero-high
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4773916378960853,0.9305011983603757,1.3661195235413945,2.057563388585967,2.0017854686759238,2.967441862917686,2.9976798421457773,3.9817973185959312,4.29754610859018,3,HH,R,HH-R,homo-high
p99.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6557580850950517,0.5530636890046049,0.816009431859556,0.8483179745539959,0.9755420546443726,1.3552022275970197,1.5473309217594315,2,HL,R,HL-R,hetero-low
