,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p24.rsml,0.0,0.05430675547467048,0.06943717235676977,0.12091880904046413,0.21083423453021777,0.3525885700509777,0.5474757052170474,0.7910671104625903,1.0241184878200353,1.3373576459037486,1.5881097805513298,1.8737071692156715,2.18693630240268,2.4503386312334636,2.8167957861462707,3.0165864131373517,3,HH,L,HH-L,homo-high
p25.rsml,0.0,0.034125505714945305,0.05614240720365099,0.09813584098976082,0.17919244982965796,0.3402253188049201,0.5648654356130679,0.8483458833226287,1.1187289396856692,1.4523060721269245,1.705712528404409,1.9794303545536727,2.263372292224114,2.499214524992772,2.7709128037928816,2.9984317159596023,2,HL,L,HL-L,hetero-high
p27.rsml,0.0,0.0,0.008334567618627359,0.019027717465654802,0.03336797029487856,0.11141746120158737,0.25343303744681284,0.4156988797328715,0.5608233520971432,0.6819844709510553,0.7540802945430797,0.8093857781376613,0.8354343206353783,0.8364907971062833,0.8307428257166236,0.8430354551227819,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.029569165242055693,0.03540744220373578,0.07435088909233165,0.14023889249818428,0.26100403048360943,0.3931090247119025,0.5182355280111716,0.673626434658384,0.7923418156455457,0.903940771135894,1.0242809488832347,1.1298585289963572,1.211657661711667,1.2892082423532683,1.323918992812393,3,HH,L,HH-L,homo-high
p30.rsml,0.0,0.14736757198666306,0.21642383620195288,0.32934315117399354,0.47633828847057985,0.6723604698637756,0.8970875874704263,1.141357004759771,1.4210971707387374,1.6491334076904371,1.8790018771702115,2.0786902194166728,2.266783601528207,2.439610117922151,2.713428257916409,2.900484618186763,3,HH,L,HH-L,homo-high
p31.rsml,0.0,0.05339446089561742,0.08979900904601952,0.14021867896277496,0.17142860180534933,0.22111988603586014,0.3064911877405214,0.3708348291244409,0.4728253431512404,0.5376129736983853,0.6046426100094379,0.6461300030040835,0.6585893536808398,0.670354453778645,0.6846436482912119,0.7060478792644607,1,LH,L,LH-L,hetero-low
p32.rsml,0.005789053310604957,0.1073404338640048,0.17146137093363778,0.2586237987899978,0.39271131360558714,0.5204967331928365,0.6954062395073752,0.9296200145155662,1.1432868942685903,1.3611334164412487,1.5422729266155366,1.732201717083729,1.886955392123593,2.0823015263906366,2.361077223432432,2.51193090168207,3,HH,L,HH-L,homo-high
p33.rsml,0.004484243836797589,0.06758954209962134,0.08411802619571453,0.14462891683950616,0.1913139736098432,0.35782719499104015,0.5663284246701326,0.8142457940381139,1.0917069664884023,1.425473049878244,1.6671219148711025,1.8998452129580201,2.133268600303646,2.3870306049481074,2.464959161530586,2.4941770806722223,3,HH,L,HH-L,homo-high
p57.rsml,0.0,0.057052228150317325,0.06793881680163366,0.13629097246698033,0.1853289726410423,0.26325575469391493,0.369995494688275,0.4883542900749043,0.6430256327116228,0.8468494334864043,1.0312879648676667,1.2152500037701006,1.3894414422744157,1.671808180230761,1.9098619397664047,2.0254639494164675,3,HH,L,HH-L,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.014625444049915302,0.0905023825299337,0.21456288631080972,0.32248199338521466,0.4509263945267911,0.5675943949201875,0.654045444414585,0.6975152070366671,0.7171714327619775,0.7403581534552778,0.7264873248167466,0.7387062780112154,1,LH,L,LH-L,hetero-low
