,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p24.rsml,0.0,0.7731823031260158,1.1273798365013488,1.6499227155760858,2.209958189115864,3.1132500306581488,4.210859049093935,5.359029930349386,6.700917052068316,8.137428430414843,9.740262916539743,11.112400249147676,12.340879223727862,13.271701272556411,14.061378158409276,14.474484576653806,3,HH,L,HH-L,homo-high
p25.rsml,0.0,0.2067450527162032,0.38033490750710425,0.7036742486545391,0.9353037336506367,1.3959845669891313,1.9649755288279946,2.6090919698602675,3.231003295639452,4.434280043828849,5.525749268516486,6.682595392007154,7.744120947850314,8.791487242918219,9.461934651756843,9.967420854791119,2,HL,L,HL-L,hetero-high
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.12002364051775528,0.15414395053499172,0.2759270702585,0.4219575116607265,0.6956570563381774,0.9831780108000449,1.383823256862939,1.797089787524827,2.0773084402221955,2.4791397824252366,2.8174475922938296,3.032144743984577,3.149803966534526,3.320607045200339,3.383626927264765,3,HH,L,HH-L,homo-high
p30.rsml,0.0,0.642105506292838,1.0054079596947314,1.5527286665861184,2.2143035099738366,2.9719462489729196,3.9137013413948525,5.02152968983625,6.289971238415889,7.438174064031728,8.312851966440524,9.176135432848978,9.573691831800751,10.059232065856136,10.548879901858498,10.714914523832093,3,HH,L,HH-L,homo-high
p31.rsml,0.0,0.17222297610192555,0.2688511397634485,0.3918073756941368,0.5166957095430571,0.6916437712809063,0.8569351055277552,0.9362943738461312,1.0453156254363039,1.0991188014472664,1.206324150729894,1.2533736632830144,1.307176839293977,1.3703003843201815,1.4362191267749154,1.5452403783650888,1,LH,L,LH-L,hetero-low
p32.rsml,0.008179553634455976,0.16189253668964207,0.27884251910711283,0.4726082169770457,0.7587248942773881,1.0967675108676131,1.5621933798187468,2.1824778095148365,2.762852224689583,3.415474036802953,3.9942167444417382,4.5875227354001575,5.195807566897691,5.816146590348746,6.376500589671616,6.647858717719448,3,HH,L,HH-L,homo-high
p33.rsml,0.017487335441896835,0.2736713035174773,0.35315338069550933,0.6368273451524431,0.8710848724936824,1.373099761325007,1.9638370053641934,2.574235175433298,3.01739787057775,3.5561512131249158,3.8621183740536797,4.121673231580385,4.345443858530188,4.51240788838017,4.672763597366871,4.90017312908531,3,HH,L,HH-L,homo-high
p57.rsml,0.0,4.648346012051926,5.987792781079662,9.370273597076773,12.19870072182299,17.42307797151116,20.991732356240416,24.144695481712777,30.672406825071697,38.48678494904644,44.68450749090672,51.51867769312895,59.984873449679604,67.9719954374209,74.48893542196166,77.65121308213007,3,HH,L,HH-L,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p59.rsml,0.0,1.0205264448776676,1.2710171828816552,1.8130688451448262,2.7750990023588535,3.9514721036855587,5.168656381048114,6.209414180878683,7.556792759881882,9.053628332283354,10.335734183146027,11.651770480654832,12.996808931635817,14.407218274367063,15.102241455593116,15.669232003683703,3,HH,L,HH-L,homo-high
p60.rsml,0.0,0.5879877461563496,0.8433365749803935,1.2769871039394662,1.8469561057192971,2.520472211465169,3.1832279058705333,4.120629960641733,4.940937327804522,5.902203432388777,6.542762681557303,7.461003287641777,8.1208430150876,8.803117762449507,9.389276035607509,9.744822071282808,2,HL,L,HL-L,hetero-high
p62.rsml,0.0,0.24156001718715364,0.3742478707190243,0.5375260564060916,0.6834049269453801,0.8408779600183333,0.9588286643770093,1.0465215587139574,1.0824389177214582,1.1092101364924707,1.1092101364924707,1.1211825894949712,1.1211825894949712,1.1479538082659846,1.1479538082659846,1.1599262612684842,1,LH,L,LH-L,hetero-low
p63.rsml,0.0,0.22969577989438666,0.4317216610755763,0.6102018719992134,1.1004853517894873,1.9135686773036797,2.9148563370290304,4.152017886502703,5.126611789361249,5.986295243375963,6.9686858894554655,7.801879577383381,8.734510836872552,9.804832074204866,10.818463379580235,12.020119273117905,3,HH,L,HH-L,homo-high
p64.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p93.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p95.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p97.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p99.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p27.rsml,0.0,2.041751544273252,2.9896937147966063,4.640562409101815,5.552559901319496,7.312248346256164,9.297017994578106,11.698255746278853,13.911930567974787,15.874252439795262,17.35221068353611,19.1573703105139,20.99940159080472,22.38234335094814,24.24512979743024,25.061567126133898,1,LH,R,LH-R,hetero-high
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p30.rsml,0.0,0.2699742931185383,0.38707957815613603,0.4976959581583533,0.770295602238098,1.1675400690977105,1.3481282916403925,1.6961424132163692,2.053333848053809,2.491271331282953,2.789558029034683,3.177188822173455,3.492349406895725,3.743766819774871,3.9953746454833237,4.180723814492088,3,HH,R,HH-R,homo-high
p31.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,R,LH-R,hetero-high
p32.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p57.rsml,0.0,0.7529615019391197,1.3252254371854768,2.506122390133057,3.480310191323349,4.907743255642406,6.280116481690199,7.7527842037077015,8.887762103808525,11.033690739339198,12.334590429962924,13.771338436036565,15.231713092694084,16.719348803015443,18.152042740262285,18.64764605163595,3,HH,R,HH-R,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,R,LH-R,hetero-high
p59.rsml,0.0,0.5601986205035526,0.8184211801602636,1.1387840751264218,2.1384016354019226,2.577517828310958,3.577256901457411,4.590579045616003,5.582552288889849,6.957965874506898,8.035531863750217,9.32834389357448,10.351092750712702,11.439211446539808,12.227718173687752,12.645653451957463,3,HH,R,HH-R,homo-high
p60.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p62.rsml,0.0,0.791276323804782,1.0926075214922668,1.558997486465266,2.3261886596304437,3.2325673416638256,4.03140562505021,5.042202865574859,6.373749221651539,7.622415967165535,8.808931256826815,9.89378250333795,10.699784149738578,11.294246674658568,11.82527677184468,12.368061982666191,1,LH,R,LH-R,hetero-high
p63.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p64.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p93.rsml,0.0,0.26391813755928006,0.5278362751185608,1.2986133308246441,1.4586372069530529,1.8659914916168185,2.3208648132392034,2.7514450268366306,2.956375578797785,3.543905152310517,3.6451131380254047,4.525680777332889,5.669375797328915,6.175415725903345,6.8131063546464965,7.018036906607654,1,LH,R,LH-R,hetero-high
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
