,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p24.rsml,0.0,1.0055482685843367,1.466193468277119,2.9397173384420348,5.8547811870053605,11.309661086425123,20.318470806912597,34.17910674060768,48.5417333199265,65.88915141629893,81.36554726151235,97.19016702534995,108.88957054063911,120.56330101577782,130.844226764124,136.10754676356274,3,HH,L,HH-L,homo-high
p25.rsml,0.0,0.6024622032737639,1.1083090180309552,2.3003509280925036,4.799783955432489,10.48803664623409,20.311068490223903,35.920453163578074,51.53980618032709,72.20423699813318,89.67743200363276,108.62247725460642,126.19290607209017,142.68213152071738,156.1474755002582,162.48161289469087,2,HL,L,HL-L,hetero-high
p27.rsml,0.0,0.0,0.14241927538082574,0.33991927538082517,0.653053417595214,2.3712483854511124,6.0638605292716665,11.128433702094194,16.214796494544856,20.782640638380176,24.622757710359963,27.712517141718664,30.10073992952455,31.645396796401947,32.83255374748366,33.34734773797068,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.7522917601788992,0.9661531958926356,2.2291130013525398,4.587636176637509,9.500305856159214,15.600538609833984,22.588128519542884,31.764967443556955,39.992072938575134,47.36242654823269,54.012591494345145,60.12062004739252,64.49981172126914,67.75369178929404,69.02841660511206,3,HH,L,HH-L,homo-high
p30.rsml,0.0,3.410172903264846,5.458144259823738,9.34378649665093,14.947461273693358,23.616437439333325,35.53239652539442,50.988303949775165,68.73475746362638,86.36705130829054,102.5846602661139,117.73299811775112,129.40335330469364,142.0833060929851,154.73224475648573,160.37446971302631,3,HH,L,HH-L,homo-high
p31.rsml,0.0,1.1657078884044112,2.0172449697030586,3.2956635478130782,4.348066634320932,6.144668854072339,9.417055562504853,12.782099701392903,17.317948300686783,20.74456548618825,24.823726171339857,28.024326494688044,29.984206937059966,31.788152421550485,33.091262399066025,34.19750323106397,1,LH,L,LH-L,hetero-low
p32.rsml,0.14241927538082574,2.8188112451243885,4.85509983690453,8.228874436052477,13.574801153501394,20.285454775030292,30.253388421444487,45.122325915891274,59.62102586191908,76.743848179933,92.26692052281255,108.80865194205428,124.41473537506346,141.87202058553135,156.84543531799167,163.93952606520597,3,HH,L,HH-L,homo-high
p33.rsml,0.0741750705564164,1.1608165414978422,1.4979513040944457,2.7011955832771557,3.7738328744837863,7.256327993567794,11.896977391391864,17.879609027886154,24.748441369047256,33.334497018696496,39.90734189348262,46.979118860591456,53.425294106399065,60.9731315438968,65.7518348200545,68.40049701253268,3,HH,L,HH-L,homo-high
p57.rsml,0.0,1.0706191384813855,1.3791240006796972,3.04678721192471,4.675317014179533,7.450682964068813,11.609565776820714,17.234588502112473,25.357036836753178,34.41544400836757,43.34584534140399,53.068334544850686,62.32771811444259,75.02078539356646,85.22320249549058,90.06336220727314,3,HH,L,HH-L,homo-high
p58.rsml,0.0,0.0,0.0,0.0,0.3160000000000025,2.1093912350478803,5.606279247337669,9.321951123571285,13.323022859110917,17.729931063535354,21.645015057695794,24.608057403379902,27.34379892247116,29.839730314923706,31.380090706088026,32.80925518084622,1,LH,L,LH-L,hetero-low
