,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p24.rsml,1.0,1.0,2.0,6.0,8.0,10.0,11.0,14.0,19.0,23.0,28.0,29.0,32.0,35.0,35.0,35.0,3,HH,L,HH-L,homo-high
p25.rsml,1.0,1.0,2.0,6.0,7.0,8.0,9.0,13.0,16.0,18.0,21.0,23.0,26.0,32.0,35.0,35.0,2,HL,L,HL-L,hetero-high
p27.rsml,0.0,1.0,1.0,2.0,5.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,LH,L,LH-L,hetero-low
p28.rsml,2.0,2.0,5.0,6.0,8.0,9.0,10.0,11.0,13.0,18.0,20.0,21.0,22.0,25.0,25.0,25.0,3,HH,L,HH-L,homo-high
p30.rsml,5.0,6.0,8.0,9.0,11.0,13.0,15.0,17.0,20.0,24.0,27.0,31.0,32.0,35.0,36.0,36.0,3,HH,L,HH-L,homo-high
p31.rsml,2.0,3.0,4.0,5.0,7.0,8.0,10.0,12.0,12.0,12.0,13.0,13.0,15.0,17.0,17.0,17.0,1,LH,L,LH-L,hetero-low
p32.rsml,6.0,7.0,10.0,11.0,12.0,15.0,16.0,18.0,21.0,21.0,22.0,25.0,29.0,31.0,31.0,31.0,3,HH,L,HH-L,homo-high
p33.rsml,2.0,2.0,3.0,4.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,3,HH,L,HH-L,homo-high
p57.rsml,1.0,1.0,4.0,4.0,6.0,7.0,8.0,8.0,11.0,12.0,13.0,16.0,21.0,24.0,25.0,25.0,3,HH,L,HH-L,homo-high
p58.rsml,0.0,0.0,0.0,1.0,3.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,LH,L,LH-L,hetero-low
p59.rsml,3.0,3.0,3.0,5.0,7.0,9.0,9.0,11.0,18.0,22.0,25.0,26.0,29.0,35.0,35.0,35.0,3,HH,L,HH-L,homo-high
p60.rsml,2.0,3.0,5.0,8.0,10.0,10.0,11.0,12.0,17.0,20.0,21.0,24.0,29.0,34.0,34.0,35.0,2,HL,L,HL-L,hetero-high
p62.rsml,2.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,1,LH,L,LH-L,hetero-low
p63.rsml,1.0,1.0,1.0,5.0,8.0,13.0,14.0,16.0,17.0,17.0,20.0,21.0,24.0,27.0,27.0,28.0,3,HH,L,HH-L,homo-high
p64.rsml,0.0,0.0,0.0,4.0,6.0,8.0,9.0,12.0,14.0,16.0,19.0,24.0,27.0,29.0,29.0,31.0,2,HL,L,HL-L,hetero-high
p90.rsml,0.0,1.0,2.0,3.0,7.0,7.0,7.0,11.0,14.0,17.0,18.0,22.0,27.0,30.0,30.0,32.0,3,HH,L,HH-L,homo-high
p93.rsml,0.0,0.0,1.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,LH,L,LH-L,hetero-low
p94.rsml,0.0,0.0,2.0,2.0,6.0,8.0,9.0,10.0,12.0,15.0,18.0,23.0,25.0,29.0,29.0,30.0,3,HH,L,HH-L,homo-high
p95.rsml,0.0,0.0,0.0,1.0,2.0,6.0,6.0,8.0,10.0,13.0,14.0,16.0,22.0,27.0,28.0,28.0,2,HL,L,HL-L,hetero-high
p97.rsml,0.0,0.0,0.0,1.0,5.0,8.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1,LH,L,LH-L,hetero-low
p98.rsml,0.0,0.0,1.0,2.0,3.0,4.0,5.0,8.0,8.0,9.0,10.0,14.0,16.0,19.0,19.0,19.0,3,HH,L,HH-L,homo-high
p99.rsml,0.0,1.0,2.0,2.0,4.0,6.0,7.0,10.0,10.0,11.0,16.0,20.0,23.0,25.0,25.0,26.0,2,HL,L,HL-L,hetero-high
p24.rsml,0.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,9.0,13.0,17.0,22.0,26.0,26.0,26.0,3,HH,R,HH-R,homo-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,2,HL,R,HL-R,hetero-low
p27.rsml,2.0,2.0,2.0,3.0,7.0,10.0,12.0,13.0,17.0,18.0,21.0,24.0,26.0,30.0,30.0,30.0,1,LH,R,LH-R,hetero-high
