,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.0,0.28011714899356754,0.28697842614330665,0.6599344426884901,1.4137651427057503,2.438737977982812,3.692211003851868,4.813387471057475,5.809852607428721,6.872947240074436,7.729294769037806,8.66018056630005,9.602397315495706,10.578639832976743,11.049734253171957,3,HH,L,HH-L,homo-high
p05.rsml,0.0,0.0,0.07598291426123371,0.17717837550771273,0.3301569347868656,1.0498449677743882,2.011400896019516,3.2651526292537936,4.397870537002773,5.685342623219954,6.705104542091498,7.740369031047635,8.575587574651165,9.32683753215447,9.936182114143339,10.232117541261788,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.1117228714274735,0.5994041978396506,1.626928621997039,3.2661172963018164,4.98785565665334,6.5865408139864785,8.202305220226389,10.080418850984467,11.502319441476503,13.410684370899224,15.124143092066868,15.912473512719254,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,0.0,0.1995709315280883,0.463806280680646,1.069561698398631,1.4209904354163767,2.238395990766941,3.379402357859227,4.273168373393012,5.40092789438134,6.259120310702668,7.126250523118921,7.795925315179836,8.431492164532434,9.030456171507332,9.318520301564138,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.13034334999872213,0.1724874635553262,0.40456818375446374,0.8209576665040073,1.4570690328710243,2.2221341196172397,2.864758031093462,3.615400454986807,4.332562773837478,5.094800051242124,5.828898761682427,6.539276274519656,7.172525556249287,7.526962072204838,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.0,0.0,0.1169941905434956,0.19612270381625102,0.6472492015182376,1.050009764495964,1.9058409925643192,2.840193147192565,4.24820574877801,5.339805996797941,6.290618583493008,7.156919449118879,8.172481917721289,8.859718791773084,9.17390009791456,0,LL,L,LL-L,homo-low
p22.rsml,0.0,0.0,0.22605377449024547,0.574574963181306,0.7832315339007268,1.7096091130095832,3.0278390678899356,4.7005775178412765,6.169847989679184,7.290933816477372,8.360102104195102,9.402727350160589,10.255104913419743,10.98803897121744,11.632175997966298,12.209897808522072,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.10615306035259738,0.35444327470089165,0.8532279772006041,1.3002434649453796,1.9778941623083846,2.570052206107607,3.38895096573617,4.133354496321394,4.940409544705756,5.65995010957916,6.516198740199698,7.271126529509043,7.711551920556111,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.1002906556941985,0.5443856988592709,1.210418509660917,2.0817281212107,2.75651239302363,3.5631294297909797,4.183006697380331,5.07241701579914,5.747747588270211,6.509415973738786,7.161778530291696,7.627258522116168,0,LL,L,LL-L,homo-low
p30.rsml,0.0,0.0,0.15632091927496064,0.5279986852614271,1.3154847515969779,2.1179898324872846,3.844558932951716,5.94617470721142,8.174562785558347,10.587368697258421,12.417276763154804,14.67059768887701,16.873480009871464,19.199271328116442,21.51085256889143,22.87539217412163,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.5150169900110084,0.36607583363007584,0.85397479398828,1.3764524257648758,2.2250521747141616,3.1287410860546,3.946631499132316,4.309672409517811,4.65345012902323,4.930947832774451,5.244726741956325,5.389820312321181,5.486649321543468,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.137041917695153,0.13704349770226265,0.34209952908752916,1.3860325143170111,2.1238912576865694,3.424148985953336,4.181299870265745,5.0844912041870565,5.7808313351156055,6.712254193040822,7.590430184652037,7.9475234274877575,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.06369183621155763,0.252478303111342,0.6079435316357279,1.571784375373295,2.27327122171147,3.3388510851351874,4.030603646577478,4.858344537706487,5.645890428983478,6.40046579674311,6.975643883142215,7.30934995632627,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.5456052624714594,0.824488725635872,1.6093744522888755,2.5138930996275355,4.132038185492932,5.9483808500744955,7.909875914177072,9.202745227166702,10.73911572133523,12.162926324539384,13.188654069906852,14.298369091768173,15.051698787774171,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,0.0,0.20057238204844505,0.2895115435693757,0.41208009398855644,1.0162859141409435,1.851597094165926,3.140102489142186,4.415579799200502,5.8316620962173245,7.1163149334258495,8.171937913556258,9.319916634924027,10.158145706141132,10.737122379867142,10.957591039411756,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.09494618358721914,0.4310932261590907,0.7811737966711758,1.2648492040241766,1.7772456768241771,2.5241077787862842,3.048136955293938,3.7966016796435538,4.426927465536401,4.264315077724121,4.849929079222117,5.112787491378216,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.0,0.0,0.15987646502629824,0.6179869277660452,1.3177384835957395,2.610286125735544,4.17968586442753,5.97372575088417,8.329462557187803,9.911906945402205,11.84285328506465,13.482560816266913,14.64518574368488,15.659359116874358,16.223756629968367,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.13983958763434273,0.44996600565328115,1.0070709239228937,2.157075244503816,3.5104575409349565,4.689646925598257,6.368288915730648,7.383686863741724,8.565169146637963,9.719375477277945,10.765156211981235,11.571247363630725,11.969181608774694,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,0.19330804305782143,0.45831277569211176,1.030434463710125,1.694169642857839,2.6838105878985004,3.8716671883527,5.304541904969045,6.206033958819835,7.4581259017830295,8.15278838035854,8.970930372601938,9.325161804337588,9.553992233208758,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.24023793242821503,0.6249514586251351,0.911663797421247,1.5262575516380306,3.26867040390004,5.318724718235563,7.003580786492553,8.792777531948007,10.05269502729947,11.353629549949385,12.374659431975697,13.241739361512995,14.1759843107241,14.705866992628241,3,HH,L,HH-L,homo-high
p62.rsml,0.0,0.0,0.0,0.07705594107890425,0.2600427871793846,0.5800698804336039,1.0455110443934477,1.8381400562277297,2.574044318378551,3.5392324788248555,4.236647211490894,5.031811091373064,5.722330380281974,6.383928852198167,6.968758399241406,7.277607461512523,0,LL,L,LL-L,homo-low
p71.rsml,0.0,0.0,0.2127140098818113,0.353823795642204,0.3479070487096895,0.8828305212731112,1.2786168515704777,1.9809395781920474,2.622165140577485,3.6155057457979547,4.341806295630987,5.126285530971537,5.925396808017926,6.609925201250011,7.120553774193882,7.498164148375625,3,HH,L,HH-L,homo-high
p72.rsml,0.0,0.0,0.1515020544841388,0.5424608128597227,1.283759238221384,2.2609635958687444,2.9790118686704763,3.8121334469324806,4.8280911802775215,5.836987045991085,6.419982232485188,7.0185857038127,7.4300995471142555,7.9106932271570685,8.387379789955567,8.613971832265577,1,LH,L,LH-L,hetero-low
p76.rsml,0.0,0.0,0.060164607536324424,0.3013784716720658,0.6636120651513759,1.1587037446491593,2.0904787660582826,3.2117847981386505,4.035247726016613,4.7688204271788655,5.266874244775594,5.723763048220508,6.260307279787443,6.703598385509856,7.094212941916776,7.324566084583918,1,LH,L,LH-L,hetero-low
p80.rsml,0.0,0.0,0.037240957142491794,0.1370968341360316,0.3854744190369278,1.033562111617457,1.949470873988453,3.306201650968547,4.433203226933452,5.602698178230376,6.273360008058277,6.930715856758515,7.39020076765388,7.894429031626405,8.351380215541601,8.613001219003879,1,LH,L,LH-L,hetero-low
p87.rsml,0.0,0.0,0.0,0.22834473027128932,0.4251610992063098,1.058906685486217,1.9941979231202966,3.35555590158769,4.578173406888701,6.135367772154382,7.074669387353585,8.401793674712069,9.467206246913412,10.718554434889425,11.746932922513272,12.239584845058461,1,LH,L,LH-L,hetero-low
p90.rsml,0.0,0.0,0.07712621554957758,0.43099051234618635,0.7956071719387222,1.642521896524203,2.5731859785329556,3.995281792419838,5.634927438069999,7.444857211229536,8.635199392541706,10.170341608413377,11.28396100954732,12.51626985368044,13.611093225918372,14.181931505425247,6,MM,L,MM-L,homo-medium
p91.rsml,0.0,0.0,0.1270944610069638,0.344239095330837,0.5748112698609157,1.150890819726235,1.8587413067358847,2.6054632159028412,3.3575471066245983,4.329785361242877,5.010316618344488,5.742624713050685,6.331827171086171,6.877452054956394,7.249044255430198,7.424741737533744,4,LM,L,LM-L,hetero-low(medium)
p94.rsml,0.0,0.0,0.07961479526444804,0.24912382488961923,0.6275662315861723,1.1434192088723767,1.9711795233764355,3.157182373965561,4.06512851609609,5.237501114376313,5.925090971140473,6.649551180736284,7.277183666210471,7.887706519383511,8.3580548886594,8.657068061287205,6,MM,L,MM-L,homo-medium
p95.rsml,0.0,0.0,0.07276771015233101,0.25450697099484715,0.45295824901358617,1.0872963516809473,1.804126121812401,2.827193057218545,3.761266737714588,4.829093780368586,5.503529444485347,6.2578765899904285,6.810986675195322,7.402167512480526,7.842787236341507,8.078166692782334,4,LM,L,LM-L,hetero-low(medium)
p98.rsml,0.0,0.0,0.0,0.15402723652183323,0.5953769649250498,1.7281836132961221,3.0047814388313134,4.679520470483326,5.768194890577259,7.470908284202218,8.795501026016819,10.534557479636332,12.107894193548777,13.810033662224102,15.181736611297389,15.97790481964494,6,MM,L,MM-L,homo-medium
p102.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,MM,L,MM-L,homo-medium
p103.rsml,0.0,0.0,0.038563107774788725,0.3645200324022011,0.5831338454019406,1.207113351313756,1.9921706803919608,3.073738923898562,4.022059172522068,5.018793131149109,5.71591994751707,6.519867641520298,7.060046097920405,7.594138073536462,7.948196625215045,8.099802117651148,4,LM,L,LM-L,hetero-low(medium)
p106.rsml,0.0,0.0,0.11311078639988344,0.42302716164080234,0.7177564552789023,1.1346178570349579,2.2752450364007393,3.9257445442616867,5.318807726869404,7.189273553790052,8.594676723386895,10.276471077521668,11.808566816154658,13.379456020249119,14.700592256647152,15.383801208826746,6,MM,L,MM-L,homo-medium
p110.rsml,0.0,0.0,0.22350122808351666,0.8295915988636402,1.2676357296910725,1.8960918260300055,3.108661501996463,4.667474841042532,6.229922906243467,7.748460870132925,9.026854893478058,10.340056806686958,11.598092665861596,12.705863742850152,13.656911824031159,14.298829940700386,6,MM,L,MM-L,homo-medium
p111.rsml,0.0,0.0,0.2802950791583051,0.5103267675708505,0.9238985943978214,2.1281761580549983,3.126877600947483,4.696104651424849,6.361761480487705,8.395741737718174,9.88232846490321,11.781625612571347,13.322805200703469,15.179222539140024,16.71469876790785,17.64400092518482,5,ML,L,ML-L,hetero-medium
p114.rsml,0.0,0.0,0.31873870255711884,0.30064512225087375,0.46846693214417323,1.5570251172524248,2.9436867112754856,4.743749328476287,6.625921196030881,8.808828521013696,10.42322834140267,12.22605457516652,13.83321833789743,15.849447622848514,17.957934641739676,19.030430954896715,6,MM,L,MM-L,homo-medium
p115.rsml,0.0,0.0,0.06713709026230437,0.34011116597994345,0.45177916844368615,1.0622939386315582,1.9169515859357702,3.0083044006631683,4.027950451062465,5.33623988628852,6.2545043051264795,7.425316001271804,8.491006499913546,9.623047245874897,10.62610639720609,11.158701790298112,4,LM,L,LM-L,hetero-low(medium)
