,hit_hour,side
p04.rsml,151.0,L
p04.rsml,163.0,R
p05.rsml,151.0,L
p05.rsml,163.0,R
p06.rsml,151.0,L
p06.rsml,163.0,R
p10.rsml,139.0,L
p10.rsml,151.0,R
p11.rsml,,L
p11.rsml,,R
p17.rsml,,L
p17.rsml,,R
p22.rsml,115.0,L
p22.rsml,115.0,R
p23.rsml,,L
p23.rsml,,R
p29.rsml,,L
p29.rsml,,R
p30.rsml,127.0,L
p30.rsml,115.0,R
p34.rsml,163.0,L
p34.rsml,163.0,R
p35.rsml,163.0,L
p35.rsml,,R
p44.rsml,,L
p44.rsml,,R
p45.rsml,139.0,L
p45.rsml,,R
p49.rsml,115.0,L
p49.rsml,127.0,R
p50.rsml,,L
p50.rsml,,R
p51.rsml,127.0,L
p51.rsml,,R
p55.rsml,127.0,L
p55.rsml,127.0,R
p56.rsml,,L
p56.rsml,,R
p61.rsml,127.0,L
p61.rsml,127.0,R
p62.rsml,,L
p62.rsml,,R
p71.rsml,151.0,L
p71.rsml,151.0,R
p72.rsml,151.0,L
p72.rsml,139.0,R
p76.rsml,151.0,L
p76.rsml,127.0,R
p80.rsml,127.0,L
p80.rsml,115.0,R
p87.rsml,139.0,L
p87.rsml,104.0,R
p90.rsml,168.0,L
p90.rsml,127.0,R
p91.rsml,127.0,L
p91.rsml,127.0,R
p94.rsml,127.0,L
p94.rsml,115.0,R
p95.rsml,115.0,L
p95.rsml,115.0,R
p98.rsml,104.0,L
p98.rsml,104.0,R
p102.rsml,127.0,L
p102.rsml,163.0,R
p103.rsml,127.0,L
p103.rsml,115.0,R
p106.rsml,139.0,L
p106.rsml,151.0,R
p110.rsml,127.0,L
p110.rsml,139.0,R
p111.rsml,139.0,L
p111.rsml,163.0,R
p114.rsml,168.0,L
p114.rsml,163.0,R
p115.rsml,,L
p115.rsml,,R
p119.rsml,151.0,L
p119.rsml,151.0,R
p125.rsml,139.0,L
p125.rsml,139.0,R
p126.rsml,151.0,L
p126.rsml,151.0,R
p129.rsml,163.0,L
p129.rsml,151.0,R
p130.rsml,151.0,L
p130.rsml,163.0,R
