,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.2848385507616574,1.9708610787353416,4.281577225134438,9.83685309072045,19.730922457794136,32.89779916792284,49.12469073377828,63.554386374028624,76.17410866774607,89.14395826937645,99.95738670203194,111.41285481994053,123.22530262504559,135.44296575624168,141.37540597715295,3,HH,L,HH-L,homo-high
p05.rsml,0.0,1.0215790904877728,2.1420760111964414,5.031502095042553,9.255346605666018,20.971276616681898,35.79867117109669,54.23796276944182,70.4007827953736,89.51648189387946,103.89889321796082,117.95229075544839,129.81206432760493,140.10981819672392,148.7568857792149,152.72254633175476,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.446891485709894,3.596425187037904,9.761571731982233,19.596703777810898,29.927133939920044,39.51924488391887,49.213831321358334,60.482513105906804,69.01391664885902,80.46410622539534,90.74485855240121,95.47484107631553,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,3.381269753161191,7.1305252671362656,12.219930381325014,21.27691009560196,34.44219329532198,50.1213250498307,70.6055320172177,87.30219844872117,107.02206407632156,122.68837035850039,138.38552462575862,150.6862829953246,163.58995499140926,176.02141480459966,182.27529414030798,3,HH,L,HH-L,homo-high
p11.rsml,0.0,5.0723362439729645,7.5669171092187675,11.054651931287605,18.059110820359233,30.33957766211198,45.426435013477516,62.099604677341965,75.43740526086053,90.99150097670667,105.74908730252993,121.74118381818046,137.5832896046171,154.46818812425704,167.56076595607522,175.5756769812822,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.21872410792563407,0.43744821585126625,1.835388204962046,3.865469460547591,9.304238402148728,15.152714820592418,27.254420940447915,38.90704775391527,55.988203252514545,69.49771536847963,81.40596080566978,92.54015158846296,105.08753092415644,113.79285436194776,117.86885589454808,0,LL,L,LL-L,homo-low
p22.rsml,0.0,2.4308605871253643,4.7689820511949215,10.056172902092369,16.897529493217554,32.367577045971096,52.278442131587184,78.1092375866842,100.36356196105697,117.58932237668502,133.93271899059422,149.75020743316352,163.21654315667493,174.4556181864208,184.48508863322482,193.22893992995807,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.31845918105779214,2.12665964820535,5.972595840404228,10.401947719563037,15.823153298467076,20.560417648860856,27.11160772588936,33.066835970571155,39.52327635764605,45.27960087663328,52.129589921597585,58.16901223607234,61.69241536444889,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,1.1031972126361835,6.53262838631125,14.525022115931003,24.980737454528402,33.07814871628356,42.757553157491756,50.196080368563976,60.86900418958968,68.97297105924252,78.11299168486543,85.94134236350035,91.52710226539402,0,LL,L,LL-L,homo-low
p30.rsml,0.0,2.382779133827723,5.0408281667333865,11.291131824918283,23.174672366148,41.721589449194155,69.94377652433954,105.2659757551769,140.98829243702053,181.5652445551956,213.3639398736967,250.9571481549364,287.2128202798661,325.4687000628313,362.17912593944084,385.43305715664616,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.5150169900110084,1.0982275008902276,3.41589917595312,6.8822621288243795,13.35031304828497,18.7724465163276,23.679788994793896,25.858034457106864,27.920700774139377,29.585686996646707,31.468360451737947,32.338921873927085,32.91989592926081,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.274083835390306,0.5481739908090506,1.7104976454376457,6.930162571585056,10.619456288432847,17.12074492976668,20.906499351328726,25.422456020935282,28.90415667557803,33.56127096520411,37.952150923260184,39.73761713743879,0,LL,L,LL-L,homo-low
