,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.0,0.0,0.0,0.5091820524852708,0.5204711524852699,0.531752352485269,0.7405414524852696,1.4925363633343385,5.180322001111116,10.366699730839436,22.32440046475678,36.71928539720751,57.63963153544398,80.68693284992962,95.70941523056565,3,HH,L,HH-L,homo-high
p05.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17664937022248478,0.7964707465080387,2.5034982384808666,5.430234983256703,9.392548264000133,15.670390933194994,22.107061756298,25.789877883356457,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.23032259984638997,1.0446359609058835,2.6072591560492273,7.293696686069296,13.740471729238298,25.267466151940813,40.695045976315264,60.39432571996506,83.30996398816147,95.17857992616275,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.25292340737859953,0.8302836960664786,3.2258710902979075,9.17777414667172,18.156324263924237,32.28592304995478,47.60670145561737,70.46389345586188,94.20930590969346,109.17268490415424,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.44689148570990156,0.8937829714197981,1.8024523277508246,3.7134405783769444,5.871381577483686,10.8904907617986,17.01263964870132,25.519005155829692,33.85023559341667,39.35018384801093,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.20913669999999485,1.7267467054970347,3.2839709911584123,6.267632167038035,10.228141767480096,16.97001240121658,23.76326224508772,35.67135858270951,47.410675279398035,54.37660483484652,0,LL,L,LL-L,homo-low
p22.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.48053823989355615,3.054002094894203,8.221058470387593,20.4699658416634,40.91902057786971,67.75945944984572,97.8454480790706,132.12533579484614,174.5625549504802,198.500321256633,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.174061775470983,3.5209706701124137,8.220610958457613,17.06253276668267,25.43596444555691,35.94885420737616,46.458830028334546,52.73532352716134,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3949999999999974,0.9605539319994145,2.6427436275161575,5.200524798275083,10.808845278636944,16.058967595965655,23.41268304049795,30.80782681758685,34.594851437952634,0,LL,L,LL-L,homo-low
p30.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.054484190940305,14.077706870203205,24.121846375854997,43.78904051196817,69.98694414733049,105.18108851828445,145.73596687540478,168.12096207532568,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3949999999999974,2.3267907336842555,6.851275308338465,11.477776525080051,20.4927260890456,29.59698110952184,43.83099971329266,58.43985134142036,66.80546574433961,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666535215829428,2.6617419340540405,5.546481699937963,8.568606665376976,14.794212780772222,21.047195679116346,29.32448975950514,38.53390891161018,43.03729234487033,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14241927538082574,0.5346584859149546,2.396071854591024,4.563013488927228,8.59902874519004,13.322156737081334,20.687862036661055,28.0081941187148,33.26472459846638,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.35664175017077543,2.5935550580497413,9.047907136406819,26.639144195253383,44.99797132114634,75.46631407282416,112.29996661158228,163.04152309039583,216.5240059332298,248.07774554446053,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.2498199351533006,2.3228926208866763,6.464435397607638,18.10106443492725,29.25518882916449,49.490902658439914,70.60420956923873,101.85029923515766,134.86151632822643,155.86809362380123,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4996398703066079,1.8040329932284347,4.702761148954786,9.373182292485767,14.421111730225682,17.752110781754336,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.5521677937191328,2.764595706597016,8.234867693458115,20.83556756196325,34.05639707896328,53.70991955357399,76.7561314578591,109.68001251877526,143.8311382838261,164.96074315326229,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,1.649627411334511,7.686904847061159,22.000243619029888,34.77088123883141,57.12487202885722,86.995055143385,122.05105843262045,162.80508784240322,186.22261148043805,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.3397918480481815,1.190882436541334,4.429403266460033,9.371827353356391,14.177541433475268,22.01881807232837,29.300974341873097,38.511470177362554,45.824903149790465,50.843810813750245,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.550171336948775,3.5151458782089087,8.991684842125261,18.467009589467846,30.503509600006456,49.1228611718086,71.88416201488289,107.80787001828978,141.72972374155805,160.98658736510447,3,HH,L,HH-L,homo-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323161201329736,3.4837420576879103,7.883595228929707,12.044898046577268,20.85954013975478,28.085328033732264,37.251761670572954,44.309119639674684,47.88263104142283,0,LL,L,LL-L,homo-low
p71.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4955192810501154,4.55143766440405,13.703721905916998,22.28255109195913,41.89384286320469,64.05460312950377,92.64723518167915,122.42717801999284,140.92166032675416,3,HH,L,HH-L,homo-high
p72.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6015083024379178,6.035485818255347,9.94741655911335,17.426468748018088,24.890974304637357,37.50279468844238,52.02712250484155,59.7262274190186,1,LH,L,LH-L,hetero-low
p76.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,1.0125156522849634,2.9539329012277586,4.419309331162554,7.058437155100095,10.690055471295597,16.064973675763287,22.965978661881,26.840958083388077,1,LH,L,LH-L,hetero-low
p80.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07899999999999352,1.4235614221891197,5.2738716463584465,15.622185739264976,26.29047703244167,46.294377141241874,68.50292885556149,98.2183021096333,130.48258842305577,149.43613493256362,1,LH,L,LH-L,hetero-low
p87.rsml,0.0,0.0,0.0,0.0,0.11172287142746787,0.14332287142746883,0.28664574285494515,1.3781419641898418,2.8138393867096707,5.193652700774245,8.369901115291322,13.792823426225105,22.038924524619002,34.74032239819829,48.58338903997039,57.696288065741264,1,LH,L,LH-L,hetero-low
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1986612999999977,1.3080593738854513,7.682796167638963,13.176152120349201,23.380609253334626,34.71653709248994,51.25970237168184,66.27342530366916,76.10886126594956,6,MM,L,MM-L,homo-medium
p91.rsml,0.0,0.0,0.0,0.0,0.0,0.14241927538082574,0.28483855076165443,1.9837589037140133,3.648504056496389,9.40762878430372,13.330673059528738,23.544609558430956,32.08782560856381,45.49367417212912,57.649603772662424,65.21821571748673,4,LM,L,LM-L,hetero-low(medium)
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732656780082547,2.7702528418908843,9.333254123493393,15.236719730420907,26.824406839915024,38.65837040390731,58.65443567459528,78.25151788703259,89.75651104234308,6,MM,L,MM-L,homo-medium
p95.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747288,1.51929513203062,3.3889990999980832,9.489389444543445,13.913737478442876,20.534858072421873,28.713027835965075,39.92002523369821,52.17971552647307,59.096803697132536,4,LM,L,LM-L,hetero-low(medium)
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159778219112439,9.246462889572843,21.850946569861147,34.7771706982957,56.30242478658051,83.5043128726593,123.8850463591083,166.00758597464562,192.28041550152136,6,MM,L,MM-L,homo-medium
p102.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.17664937022248478,2.690977574203621,8.853231066729593,21.717808837801986,33.848559911373236,53.77046167004989,76.29594827282831,113.36382618662182,148.53848566963217,171.54418640772857,6,MM,L,MM-L,homo-medium
p103.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.24334358625617766,0.888168614282423,1.9151686142824205,4.895164845653752,8.064549400730305,14.75328019453414,21.220576799013998,30.64897946528369,40.666120029486706,46.77960816777336,4,LM,L,LM-L,hetero-low(medium)
p106.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.3351686142824212,1.9003080108978248,3.855697549549777,7.482117436142494,11.30988715021498,19.489724612953655,29.660326338831887,47.243508899736746,65.94591944208706,78.70760414506312,6,MM,L,MM-L,homo-medium
