,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,HH,L,HH-L,homo-high
p05.rsml,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0.3720911222906805,0,LL,L,LL-L,homo-low
p06.rsml,,,,,,,,,,,,,,,,,2,HL,L,HL-L,hetero-high
p10.rsml,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,1.0073017908471502,3,HH,L,HH-L,homo-high
p11.rsml,0.9843204817507353,1.1811845781008823,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,1.3780486744510294,0,LL,L,LL-L,homo-low
p17.rsml,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0.5190803573223943,0,LL,L,LL-L,homo-low
p22.rsml,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,HH,L,HH-L,homo-high
p23.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p29.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p30.rsml,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,0.7523347123033772,2,HL,L,HL-L,hetero-high
p34.rsml,,,,,,,,,,,,,,,,,3,HH,L,HH-L,homo-high
p35.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p44.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p45.rsml,,,,,,,,,,,,,,,,,2,HL,L,HL-L,hetero-high
p49.rsml,0.7688742394316299,0.7688742394316299,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,0.9610927992895373,3,HH,L,HH-L,homo-high
p50.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p51.rsml,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,1.0126582278481013,2,HL,L,HL-L,hetero-high
p55.rsml,,,,,,,,,,,,,,,,,3,HH,L,HH-L,homo-high
p56.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p61.rsml,,,,,,,,,,,,,,,,,3,HH,L,HH-L,homo-high
p62.rsml,,,,,,,,,,,,,,,,,0,LL,L,LL-L,homo-low
p71.rsml,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,0.7657427050260313,3,HH,L,HH-L,homo-high
p72.rsml,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,0.7015905350892295,1,LH,L,LH-L,hetero-low
