,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,8.0,11.0,14.0,17.0,19.0,21.0,21.0,21.0,3,HH,L,HH-L,homo-high
p05.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,11.0,13.0,13.0,13.0,13.0,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0,13.0,15.0,19.0,24.0,24.0,27.0,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,8.0,11.0,15.0,18.0,19.0,22.0,23.0,23.0,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,11.0,12.0,14.0,17.0,17.0,17.0,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,8.0,11.0,12.0,16.0,18.0,18.0,18.0,0,LL,L,LL-L,homo-low
p22.rsml,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,10.0,16.0,18.0,22.0,25.0,32.0,33.0,33.0,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,14.0,14.0,16.0,20.0,20.0,20.0,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,8.0,9.0,11.0,12.0,12.0,0,LL,L,LL-L,homo-low
p30.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,12.0,16.0,18.0,24.0,28.0,28.0,28.0,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,8.0,11.0,13.0,16.0,20.0,20.0,20.0,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,8.0,8.0,12.0,15.0,15.0,15.0,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,10.0,11.0,15.0,18.0,18.0,18.0,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,13.0,18.0,22.0,24.0,31.0,34.0,34.0,34.0,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,11.0,12.0,16.0,21.0,25.0,29.0,29.0,29.0,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,9.0,11.0,11.0,11.0,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,11.0,16.0,19.0,26.0,27.0,27.0,27.0,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,13.0,14.0,16.0,19.0,22.0,31.0,31.0,31.0,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,8.0,11.0,11.0,13.0,13.0,13.0,13.0,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,8.0,12.0,17.0,20.0,25.0,28.0,28.0,30.0,3,HH,L,HH-L,homo-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,0,LL,L,LL-L,homo-low
p71.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,11.0,14.0,16.0,19.0,25.0,27.0,27.0,3,HH,L,HH-L,homo-high
p72.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,10.0,15.0,18.0,18.0,18.0,1,LH,L,LH-L,hetero-low
p76.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,9.0,12.0,14.0,14.0,14.0,1,LH,L,LH-L,hetero-low
p80.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,11.0,14.0,20.0,24.0,27.0,29.0,29.0,29.0,1,LH,L,LH-L,hetero-low
p87.rsml,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,8.0,12.0,16.0,19.0,19.0,19.0,1,LH,L,LH-L,hetero-low
p90.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,11.0,15.0,17.0,20.0,22.0,22.0,22.0,6,MM,L,MM-L,homo-medium
p91.rsml,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,9.0,14.0,16.0,20.0,23.0,23.0,23.0,4,LM,L,LM-L,hetero-low(medium)
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,13.0,16.0,18.0,22.0,22.0,22.0,6,MM,L,MM-L,homo-medium
p95.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,9.0,12.0,16.0,21.0,23.0,23.0,23.0,4,LM,L,LM-L,hetero-low(medium)
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,12.0,13.0,17.0,21.0,27.0,29.0,29.0,29.0,6,MM,L,MM-L,homo-medium
p102.rsml,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,9.0,14.0,18.0,25.0,30.0,32.0,32.0,32.0,6,MM,L,MM-L,homo-medium
p103.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,7.0,10.0,13.0,18.0,19.0,19.0,19.0,4,LM,L,LM-L,hetero-low(medium)
p106.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,11.0,13.0,17.0,22.0,22.0,22.0,6,MM,L,MM-L,homo-medium
p110.rsml,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,10.0,11.0,20.0,23.0,27.0,33.0,34.0,34.0,6,MM,L,MM-L,homo-medium
p111.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,8.0,16.0,18.0,23.0,26.0,26.0,5,ML,L,ML-L,hetero-medium
p114.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,7.0,9.0,12.0,18.0,20.0,20.0,6,MM,L,MM-L,homo-medium
