filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p04.rsml,HH,L,HH-L,0.0,21.41972494407859,0.0,21.41972494407859,21.41972494407859,21.41972494407859,homo-high
p04.rsml,HH,R,HH-R,0.0,16.909224014162312,0.0,16.909224014162312,16.909224014162312,16.909224014162312,homo-high
p05.rsml,LL,L,LL-L,5.375027460175694,22.484973181236384,0.0,27.86000064141208,22.484973181236384,27.86000064141208,homo-low
p05.rsml,LL,R,LL-R,24.646793385315554,1.7566493702224832,0.0,26.403442755538038,1.7566493702224832,26.403442755538038,homo-low
p06.rsml,HL,L,HL-L,0.0,14.184739233459839,0.0,14.184739233459839,14.184739233459839,14.184739233459839,hetero-high
p06.rsml,HL,R,HL-R,0.0,24.70218488177531,0.0,24.70218488177531,24.70218488177531,24.70218488177531,hetero-low
p10.rsml,HH,L,HH-L,3.9710045552842335,22.6420664602349,0.0,26.613071015519132,22.6420664602349,26.613071015519132,homo-high
p10.rsml,HH,R,HH-R,0.0,13.804056985781873,0.0,13.804056985781873,13.804056985781873,13.804056985781873,homo-high
p11.rsml,LL,L,LL-L,5.079646408562874,16.31823167198533,0.0,21.397878080548203,16.31823167198533,21.397878080548203,homo-low
p11.rsml,LL,R,LL-R,3.6989393127269774,17.098986784903083,0.0,20.79792609763006,17.098986784903083,20.79792609763006,homo-low
p17.rsml,LL,L,LL-L,3.8529679880716907,21.948470373430997,0.0,25.801438361502687,21.948470373430997,25.801438361502687,homo-low
p17.rsml,LL,R,LL-R,0.0,22.889109677128275,0.0,22.889109677128275,22.889109677128275,22.889109677128275,homo-low
p22.rsml,HH,L,HH-L,0.0,24.30184644934504,0.0,24.30184644934504,24.30184644934504,24.30184644934504,homo-high
p22.rsml,HH,R,HH-R,5.03197294498041,20.177591702584724,0.0,25.209564647565134,20.177591702584724,25.209564647565134,homo-high
p23.rsml,LL,L,LL-L,0.0,14.217817411611502,0.0,14.217817411611502,14.217817411611502,14.217817411611502,homo-low
p23.rsml,LL,R,LL-R,0.0,20.660941366695777,0.0,20.660941366695777,20.660941366695777,20.660941366695777,homo-low
p29.rsml,LL,L,LL-L,0.0,16.341725576110875,0.0,16.341725576110875,16.341725576110875,16.341725576110875,homo-low
p29.rsml,LL,R,LL-R,0.0,17.33114030769372,0.0,17.33114030769372,17.33114030769372,17.33114030769372,homo-low
p30.rsml,HL,L,HL-L,3.987586842583779,22.042706236008065,0.0,26.030293078591846,22.042706236008065,26.030293078591846,hetero-high
p30.rsml,HL,R,HL-R,7.869625721653359,25.276167292397712,0.0,33.14579301405107,25.276167292397712,33.14579301405107,hetero-low
p34.rsml,HH,L,HH-L,0.0,12.074882700773141,0.0,12.074882700773141,12.074882700773141,12.074882700773141,homo-high
p34.rsml,HH,R,HH-R,0.0,13.673527313919996,0.0,13.673527313919996,13.673527313919996,13.673527313919996,homo-high
p35.rsml,LL,L,LL-L,0.0,13.409571138666184,0.0,13.409571138666184,13.409571138666184,13.409571138666184,homo-low
p35.rsml,LL,R,LL-R,2.3864015797849265,11.981887254506471,0.0,14.368288834291398,11.981887254506471,14.368288834291398,homo-low
p44.rsml,LL,L,LL-L,0.0,10.064960262266677,0.0,10.064960262266677,10.064960262266677,10.064960262266677,homo-low
p44.rsml,LL,R,LL-R,0.0,16.09269858816325,0.0,16.09269858816325,16.09269858816325,16.09269858816325,homo-low
p45.rsml,HL,L,HL-L,0.0,20.543262603429444,0.0,20.543262603429444,20.543262603429444,20.543262603429444,hetero-high
p45.rsml,HL,R,HL-R,0.0,23.569586169732048,0.0,23.569586169732048,23.569586169732048,23.569586169732048,hetero-low
p49.rsml,HH,L,HH-L,5.202411259033591,23.296568137872825,0.0,28.498979396906417,23.296568137872825,28.498979396906417,homo-high
p49.rsml,HH,R,HH-R,0.0,22.76373889418011,0.0,22.76373889418011,22.76373889418011,22.76373889418011,homo-high
p50.rsml,LL,L,LL-L,0.0,14.575327307868823,0.0,14.575327307868823,14.575327307868823,14.575327307868823,homo-low
p50.rsml,LL,R,LL-R,0.0,19.31762308735007,0.0,19.31762308735007,19.31762308735007,19.31762308735007,homo-low
p51.rsml,HL,L,HL-L,0.9874999999999999,18.128212261651957,0.0,19.115712261651957,18.128212261651957,19.115712261651957,hetero-high
p51.rsml,HL,R,HL-R,0.0,15.512953003486476,0.0,15.512953003486476,15.512953003486476,15.512953003486476,hetero-low
p55.rsml,HH,L,HH-L,0.0,20.57472807811596,0.0,20.57472807811596,20.57472807811596,20.57472807811596,homo-high
p55.rsml,HH,R,HH-R,0.0,20.774086404398428,0.0,20.774086404398428,20.774086404398428,20.774086404398428,homo-high
p56.rsml,LL,L,LL-L,0.0,23.9558878533956,0.0,23.9558878533956,23.9558878533956,23.9558878533956,homo-low
p56.rsml,LL,R,LL-R,0.0,20.35356752726674,0.0,20.35356752726674,20.35356752726674,20.35356752726674,homo-low
p61.rsml,HH,L,HH-L,0.0,19.402818910839596,0.0,19.402818910839596,19.402818910839596,19.402818910839596,homo-high
p61.rsml,HH,R,HH-R,1.6546033692810775,20.456615037375794,0.0,22.11121840665687,20.456615037375794,22.11121840665687,homo-high
p62.rsml,LL,L,LL-L,0.0,16.974583348676372,0.0,16.974583348676372,16.974583348676372,16.974583348676372,homo-low
p62.rsml,LL,R,LL-R,0.0,16.471347912432744,0.0,16.471347912432744,16.471347912432744,16.471347912432744,homo-low
p71.rsml,HH,L,HH-L,5.223686721069084,16.705613270409373,0.0,21.92929999147846,16.705613270409373,21.92929999147846,homo-high
p71.rsml,HH,R,HH-R,2.955638767198903,17.191278670181497,0.0,20.1469174373804,17.191278670181497,20.1469174373804,homo-high
p72.rsml,LH,L,LH-L,4.275998392165389,21.04635614613723,0.0,25.32235453830262,21.04635614613723,25.32235453830262,hetero-low
p72.rsml,LH,R,LH-R,5.384622858832433,21.84165851447719,0.0,27.22628137330962,21.84165851447719,27.22628137330962,hetero-high
p76.rsml,LH,L,LH-L,2.1560682238119036,20.942255386926757,0.0,23.09832361073866,20.942255386926757,23.09832361073866,hetero-low
p76.rsml,LH,R,LH-R,10.014564722488851,16.440324751352854,0.0,26.454889473841703,16.440324751352854,26.454889473841703,hetero-high
p80.rsml,LH,L,LH-L,0.0,22.153243449462913,0.0,22.153243449462913,22.153243449462913,22.153243449462913,hetero-low
p80.rsml,LH,R,LH-R,0.0,25.559252762210914,0.0,25.559252762210914,25.559252762210914,25.559252762210914,hetero-high
p87.rsml,LH,L,LH-L,3.0944454055391413,23.71476374662578,0.0,26.80920915216492,23.71476374662578,26.80920915216492,hetero-low
p87.rsml,LH,R,LH-R,0.0,30.871798810562403,0.0,30.871798810562403,30.871798810562403,30.871798810562403,hetero-high
p90.rsml,MM,L,MM-L,6.728186594598915,15.95303110619347,0.0,22.681217700792384,15.95303110619347,22.681217700792384,homo-medium
p90.rsml,MM,R,MM-R,4.2963935672009645,22.04759290651794,0.0,26.343986473718907,22.04759290651794,26.343986473718907,homo-medium
p91.rsml,LM,L,LM-L,5.699110837667348,23.941951155718932,0.0,29.64106199338628,23.941951155718932,29.64106199338628,hetero-low(medium)
p91.rsml,LM,R,LM-R,0.0,25.0566408307658,0.0,25.0566408307658,25.0566408307658,25.0566408307658,hetero-medium
p94.rsml,MM,L,MM-L,0.0,24.29281711374103,0.0,24.29281711374103,24.29281711374103,24.29281711374103,homo-medium
p94.rsml,MM,R,MM-R,2.68558288586038,26.20776415434478,0.0,28.89334704020516,26.20776415434478,28.89334704020516,homo-medium
p95.rsml,LM,L,LM-L,10.344767540239111,23.35943432178209,0.0,33.7042018620212,23.35943432178209,33.7042018620212,hetero-low(medium)
