,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,21.41972494407859,23.231908104265045,27.58779966756739,32.78467145000176,44.306331006315354,59.195642065149215,78.20795602153812,101.17278413957169,122.20111365764521,145.43553486180315,170.43695210226232,200.37188134314584,233.90123933652353,271.94272001421956,307.3194073313287,328.27432993287607,3,HH,L,HH-L,homo-high
p05.rsml,27.86000064141208,30.74101889465834,33.14754264245888,39.31025898782262,47.095912820509014,64.61551506978684,84.88413647990427,109.07324609949777,130.96547096076915,157.11984727704723,179.16129911050362,202.12703240969287,223.15228281666714,245.38421122799068,260.86294963358466,268.511426313183,0,LL,L,LL-L,homo-low
p06.rsml,14.184739233459839,15.373026341022655,17.414019800530102,21.019187523353533,25.903972468777287,34.64223294513878,46.542848566298645,64.04875049660075,82.69352057370313,103.94285290951004,127.36377860768333,157.8754656458904,189.63165703492615,224.7955802344354,257.99197082963775,274.5905692915533,2,HL,L,HL-L,hetero-high
p10.rsml,26.613071015519132,32.6138117539549,40.066071459065505,49.60005055771563,63.9329063482079,82.90636239830876,104.21956657919256,131.70054150963887,157.1333592967951,189.83917937052607,220.76215749350786,257.91573366809047,289.2393686422458,325.03747545818436,361.2515905448156,382.5060861080314,3,HH,L,HH-L,homo-high
p11.rsml,21.397878080548203,27.66570125460447,32.60928211985027,38.253297304024194,49.38137962806471,66.51141768168708,86.41057050121982,108.31625702341356,127.0202790562431,149.95022168585155,171.90279535880467,198.66246421555772,225.67244608570573,256.42476379248365,282.1159337261992,297.3561790497597,0,LL,L,LL-L,homo-low
p17.rsml,25.801438361502687,28.169875664349366,31.964493225315064,36.30882407734199,42.10919552119513,52.334786425167735,62.75349015374021,80.90685242323462,98.1290656562545,122.76174251304963,144.15413647110677,166.92316017623327,188.83642480464002,217.57433955653573,241.81426993024638,254.99047605462022,0,LL,L,LL-L,homo-low
p22.rsml,24.30184644934504,30.01976213944632,37.082669194223215,48.21911632855242,61.426807546775954,84.36104236693862,111.289844541074,147.96666803971928,182.89367996050342,220.80329904085616,260.1062545902215,302.7641819047667,346.31650625750314,391.8354690030244,444.3021586054626,476.9837762083485,3,HH,L,HH-L,homo-high
p23.rsml,14.217817411611502,15.271808872677484,18.14529067000397,22.49387956401337,29.367869916952856,38.321696422696995,47.349256783116836,56.16736051701136,65.31483133109458,78.26959578199728,92.00668413955611,111.92968358403854,130.18843629816263,151.3160209487698,172.24912812869294,183.75177609291518,0,LL,L,LL-L,homo-low
p29.rsml,16.341725576110875,17.77737534189639,19.28666822268527,22.49614956707723,26.55129465357568,35.14960086423154,44.637266559080366,57.69998189767776,69.07237069249585,84.01753739629592,97.38675082231443,117.58048696886266,134.23016415345552,154.80460999721487,174.0087253307551,184.93361358666124,0,LL,L,LL-L,homo-low
p30.rsml,26.030293078591846,29.338020323087022,34.835666836882616,45.912301194835884,62.48622462283224,87.48946132859473,121.3365780224133,162.9899114593446,209.60594677912877,267.8135442640904,315.13609099412423,377.71152655615634,440.3417516866708,513.7917758405897,591.1129415100338,636.8703679271598,2,HL,L,HL-L,hetero-high
