,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.2848385507616574,1.9708610787353416,4.281577225134438,10.34603514320572,20.251393610279408,33.42955152040811,49.865232186263555,65.04692273736296,81.35443066885719,99.51065800021588,122.28178716678872,148.13214021714805,180.86493416048953,216.12989860617128,237.08482120771868,3,HH,L,HH-L,homo-high
p05.rsml,0.0,1.0215790904877728,2.1420760111964414,5.031502095042553,9.255346605666018,20.971276616681898,35.79867117109669,54.23796276944182,70.57743216559608,90.31295264038751,106.40239145644168,123.3825257387051,139.20461259160504,155.78020912991892,170.86394753551295,178.51242421511122,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.446891485709894,3.596425187037904,9.991894331828624,20.64133973871678,32.53439309596927,46.812941569988176,62.95430305059663,85.74997925784761,109.70896262517428,140.85843194536042,174.05482254056267,190.6534210024783,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,3.381269753161191,7.1305252671362656,12.219930381325014,21.27691009560196,34.44219329532198,50.374248457209305,71.43581571328417,90.52806953901907,116.19983822299328,140.84469462242464,170.67144767571347,198.292984450942,234.05384844727115,270.23072071429317,291.4479790444622,3,HH,L,HH-L,homo-high
p11.rsml,0.0,5.0723362439729645,7.5669171092187675,11.054651931287605,18.059110820359233,30.33957766211198,45.873326499187414,62.99338764876176,77.23985758861134,94.70494155508362,111.62046888001362,132.6316745799791,154.5959292533184,179.98719328008676,201.411001549492,214.92586082929313,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.21872410792563407,0.43744821585126625,1.835388204962046,3.865469460547591,9.304238402148728,15.361851520592413,28.98116764594495,42.191018745073684,62.25583541955258,79.72585713595973,98.37597320688634,116.30341383355066,140.7588895068659,161.20352964134585,172.2454607293946,0,LL,L,LL-L,homo-low
p22.rsml,0.0,2.4308605871253643,4.7689820511949215,10.056172902092369,16.897529493217554,32.367577045971096,52.75898037148074,81.16323968157842,108.58462043144455,138.05928821834843,174.85173956846393,217.5096668830093,261.06199123574544,306.58095398126704,359.04764358370517,391.72926118659103,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.31845918105779214,2.12665964820535,5.972595840404228,10.401947719563037,15.823153298467076,21.734479424331838,30.632578396001776,41.287446929028775,56.5858091243287,70.7155653221902,88.07844412897376,104.62784226440688,114.42773889161025,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,1.1031972126361835,6.53262838631125,14.525022115931003,25.375737454528398,34.03870264828297,45.40029678500792,55.39660516683905,71.67784946822661,85.03193865520818,101.52567472536339,116.74916918108724,126.12195370334669,0,LL,L,LL-L,homo-low
p30.rsml,0.0,2.382779133827723,5.0408281667333865,11.291131824918283,23.174672366148,41.721589449194155,69.94377652433954,105.2659757551769,146.0427766279608,195.64295142539882,237.48578624955167,294.7461886669045,357.1997644271966,430.64978858111584,507.9150928148457,553.5540192319718,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.5150169900110084,1.0982275008902276,3.41589917595312,6.8822621288243795,13.745313048284968,21.099237250011857,30.53106430313236,37.33581098218691,48.413426863184974,59.182668106168535,75.29936016503062,90.77877321534746,99.72536167360042,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.274083835390306,0.5481739908090506,1.7104976454376457,8.096816093167998,13.281198222486886,22.667226629704643,29.475106016705706,40.216668801707506,49.95135235469437,62.88576072470924,76.48605983487037,82.77490948230911,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.3184591810577882,1.514869818668052,3.6476611898143676,9.573125527620595,14.174285816183774,22.429178365402148,28.746635368392095,37.74909597142897,47.19749931098221,59.09065681711973,69.86205741756811,77.120824336424,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,2.7280263123572968,7.420398530722848,17.70311897517763,30.523358945701204,52.17801328396492,80.42847733730076,121.55765516537826,155.43091404714676,204.3357027288469,258.2550825060548,321.305371929278,388.1044350344479,428.6981309977506,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,4.10193683665267,7.342487792590273,11.578358963353514,19.138045360607,32.607397905495084,47.7077140539714,70.7182194601513,92.78327743968502,123.87563699760065,151.3505941265691,185.4865078490921,220.88162543511672,263.3552080002049,304.43792067979143,328.94902000656157,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.2848385507616574,1.7243729046363627,3.9058689833558793,6.324246020120883,8.886228384120885,12.620538893931421,15.740324646776298,20.787041391446202,26.83739847663679,34.959072758830494,43.52068620555839,48.42883573002362,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.2649740553337272,0.9164247441813149,2.759384809589016,8.164189341135849,18.25836894822109,33.59590905386137,58.21434354141226,86.14570662403004,127.6115717462151,160.31160962095925,203.94929951977315,247.26631447147656,295.1062098328085,342.7116452754345,371.16195288829067,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.6991979381717137,3.5997280452262492,10.070709239228936,21.64975244503816,40.26466036161902,59.273021028642,92.051421692067,115.99143673999038,151.3417326418748,193.90818539344235,240.467776764414,290.0888088423413,317.8836091769596,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,1.35315630140475,5.04144053261323,13.395648028231625,24.05816684805793,38.764230667120344,58.63274390339783,83.63541402292304,101.06201685695297,126.43258069729077,143.44001166689273,164.10449539378968,176.37716841051667,184.5997020786729,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.7207137972846451,2.4998058345005405,6.381646581948729,15.262575516380306,33.23687537594917,56.70239306056453,79.02749270705078,106.39478490894791,131.03045987300112,162.6591566713024,195.63075633463984,240.2252636334197,283.4895668487992,308.04525729138686,3,HH,L,HH-L,homo-high
