,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.013297955576240956,0.09201150266311796,0.1998894587261292,0.4592427361416615,0.9211566679453874,1.5358646879831817,2.2934323788951656,2.967096288115409,3.5562598897332776,4.161769513946069,4.666604588200597,5.201413888871632,5.752889121907739,6.323282213466724,6.600243763458582,3,HH,L,HH-L,homo-high
p05.rsml,0.0,0.03666830821853112,0.07688714866762726,0.18059949674098544,0.3322091311049199,0.7527378368222095,1.284948684383169,1.946804074685505,2.52694835515285,3.2130825496399678,3.7293212787483525,4.233750468049881,4.659442259116381,5.029067299749441,5.339443013439759,5.481785456413186,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.031505089967092156,0.25354186128106143,0.6881742111237431,1.3815342993112614,2.1098120626233348,2.786039576300313,3.469491438042774,4.263914345583239,4.865363790831258,5.672582689119278,6.397358249515553,6.730813975846914,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,0.12705297149620345,0.2679331995536394,0.45917024661299294,0.7994909750623876,1.2941833460421526,1.8833348853502467,2.6530396276342865,3.280425562228869,4.02140978070185,4.610079396209327,5.199908140817742,5.662115541173489,6.146977734963902,6.614096310115981,6.849089082354158,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.23704856270697164,0.35362932159602745,0.5166237460403545,0.8439673668753125,1.417877863772495,2.122941108575272,2.9021384477273835,3.525461962952163,4.252360941313276,4.94203616379427,5.6894044988904575,6.429763226368111,7.218855418410705,7.8307187902148465,8.205284482898785,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.008477205993755128,0.016954411987510184,0.071135111897504,0.14981604538431884,0.36060929130335684,0.5872817867084956,1.056314014691257,1.5079410383557124,2.1699644209003615,2.6935597308471935,3.155093900777734,3.5866276248590268,4.072933045506231,4.41032987260639,4.568305620915133,0,LL,L,LL-L,homo-low
p22.rsml,0.0,0.10002781443756834,0.1962394940292058,0.41380283276225677,0.6953187498916553,1.3318978503727414,2.1512127582797786,3.2141276898237225,4.129873924199775,4.838699093165169,5.5112157534928325,6.162091746621148,6.716219835265801,7.178698069303395,7.591402119084531,7.951204050800255,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.022398598310716156,0.1495770825182025,0.42007824882646816,0.7316135394359408,1.1129101493133902,1.4461022429553383,1.9068755028284208,2.3257322142543417,2.779841322576552,3.184708282978373,3.6664973541595804,4.091275795155906,4.339091829528315,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.06750800014956135,0.3997514433763937,0.8888303776906145,1.5286474698269596,2.0241527470415237,2.6164650090561317,3.07165116283332,3.72475990409305,4.2206663389373364,4.779972061154593,5.259012701151558,5.600822375771183,0,LL,L,LL-L,homo-low
p30.rsml,0.0,0.09153869787917976,0.19365237846204375,0.43376890881818286,0.8902962519929365,1.6028090549432705,2.687014560810441,4.043979660058112,5.416315982741426,6.975151759029587,8.196755189405613,9.64096514000957,11.033791260540173,12.503458915355328,13.913755209975282,14.807096331682825,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.0426519248901716,0.09095140119414238,0.2828929489919106,0.5699651333576694,1.1056267277387435,1.554669058203408,1.9610781803518227,2.1414729316957426,2.312295818190569,2.4501842154336098,2.6061007159699416,2.6781976003672865,2.726311861162261,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.020439418424053227,0.040879308155381926,0.1275579679431705,0.516807174511502,0.791931090011663,1.2767555914148077,1.5590729289652914,1.8958440771927616,2.1554870306205074,2.5027848108006205,2.8302285383181305,2.9633771823512163,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.03164038135865126,0.15050926970345496,0.36241188189181156,0.9369839528920236,1.355159580848371,1.9903810833625262,2.4027538360115295,2.8961929770872428,3.365670771786234,3.81549392941271,4.15837342704298,4.35730480748873,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.13279420922662433,0.36120837638925496,0.8617481710145843,1.4684482099009175,2.4136603412564894,3.4746462418767816,4.620420465942902,5.375628246487246,6.273073130774739,7.10476805520206,7.703929599403652,8.352150893138797,8.792195715939382,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,0.14393276262720966,0.25764037688266495,0.40627275812587005,0.6715344116036817,1.1441601978572833,1.6652489009472982,2.3999219721773257,3.0288397643968734,3.7115214229094566,4.284202728700459,4.771946507158589,5.27308061713223,5.667041844402986,5.950262358166152,6.07323244710821,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.019542514877719474,0.11830766254596702,0.26797813186995856,0.433900789089422,0.6096760776907872,0.8658837381386238,1.0456495730453792,1.302407005842631,1.5186374110262426,1.7554247617157523,1.9964954378501425,2.1047023027543106,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.013861584214431382,0.04794091539135349,0.14435166065585847,0.4270931278618393,0.9551498107056788,1.7286167948045186,2.9007419172160813,4.07574867544271,5.585771679481454,6.604787245897008,7.859470675732783,8.919896924567022,9.700198181263524,10.40403330356582,10.7870011283173,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.03398333798226021,0.17495871787754283,0.4894698584104503,1.0484100865460093,1.876818629324044,2.5072562799238027,3.4047195086649116,3.9475882836842033,4.579251801302304,5.196332600078158,5.755445120936786,6.186410849109673,6.399161009401681,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,0.05648533294552673,0.21044682474161094,0.5591797770222436,0.9900854080283155,1.568438976694125,2.2626312566100455,3.100013955819226,3.6268526533097103,4.358584547729982,4.764550494789575,5.242678792997651,5.449694290592585,5.583424504383942,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.03714479842318224,0.1288372501948156,0.3289030635844131,0.7866163976747576,1.6846368658700213,2.7412123685101237,3.609568701679696,4.531701075164818,5.181048729823182,5.8515361103569115,6.377763709922819,6.8246471929474914,7.306146790250428,7.579242511206786,3,HH,L,HH-L,homo-high
p62.rsml,0.0,0.0,0.0,0.027236936364006665,0.12255630990773601,0.30755564461672186,0.5543346311516248,0.9745900777788199,1.3647698084567952,1.8765168873442488,2.246289297368309,2.6678887423701547,3.0340051572784943,3.384787625686477,3.6948668668243507,3.8586200207806622,0,LL,L,LL-L,homo-low
p71.rsml,0.0,0.20919288948254186,0.2992769456428387,0.48622566989852206,0.7292258333998463,1.1355365509919766,1.5502463520054153,2.1022826391171425,2.5699850101142823,3.2051411765668996,3.6866551523124653,4.2228900856021045,4.725553636157933,5.245580044465103,5.681485792992059,5.950878431998772,3,HH,L,HH-L,homo-high
