,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p04.rsml,0.0,0.2848385507616574,0.8503924827610716,1.4117929637013709,1.9176397784585677,2.765740745325132,3.63294343212909,4.81815868755587,5.793736721338919,6.455877378601405,6.66859138848322,7.2058494735782705,7.490688024339925,7.996534839097117,8.499287760520753,8.77859493908944,3,HH,L,HH-L,homo-high
p05.rsml,0.0,1.0215790904877728,1.8381443541515063,3.4368967154731376,4.963306453436765,7.323292035614849,9.650459522842997,11.790978589142512,13.228465814337556,15.607027792020059,16.732534170771338,17.327493351829126,18.329425857139796,18.860930278715827,19.586518295351517,19.705018295351522,0,LL,L,LL-L,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p10.rsml,0.0,3.381269753161191,5.53395781491156,8.045673855199201,11.650854810014282,15.96931763490908,21.02217716986047,26.67330136504775,31.751009594611993,36.810001449364144,41.319806319365696,45.74426782521264,49.33925389798672,53.98055685248765,58.625484575004336,61.134530219974174,3,HH,L,HH-L,homo-high
p11.rsml,0.0,5.0723362439729645,7.175887059222601,9.502264759289668,12.395156247796741,17.20425499804787,22.113330487541127,26.545458763466137,29.60127676336513,33.14509369691777,36.428082921130276,40.22438299830646,44.32090941769824,49.83976773194252,52.800357056086646,55.14428382600481,0,LL,L,LL-L,homo-low
p17.rsml,0.0,0.21872410792563407,0.43744821585126625,1.4844056333315594,2.492610533833834,3.4789955884845893,4.652617175632775,6.290170022240401,7.664923134797052,9.257940015956429,10.759849403702267,12.209156387246697,13.814037648155278,15.190229829222261,16.33594765244385,16.955954817487925,0,LL,L,LL-L,homo-low
p22.rsml,0.0,2.4308605871253643,3.412659404253449,4.884998233460616,6.715519552508107,8.433049463836921,9.888695181128085,12.301152336906334,13.985690105548384,15.516248946001804,16.89128953186281,18.112024530915274,19.645074368798532,20.623072589376633,21.63462466169664,22.29037061064907,3,HH,L,HH-L,homo-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p30.rsml,0.0,2.382779133827723,4.102902651083622,6.011144972304013,8.704340098581245,12.069731794372174,16.119951463015518,22.019529854217005,26.54441343920367,33.34208279357769,39.52206518952946,45.568780510658264,50.98410014166565,56.678901469201264,61.02718997496083,65.1775667189434,2,HL,L,HL-L,hetero-high
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p49.rsml,0.0,4.10193683665267,6.740770646444938,10.130801245506635,15.841404608698548,22.444538764085642,28.941923177158827,36.994301947842764,42.16304405007235,47.457951600500145,50.93225596314613,54.276226055089545,57.07824951663769,59.92345170363592,62.20518055289359,63.505015988642896,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p51.rsml,0.0,0.2649740553337272,0.9164247441813149,1.9600024844575248,3.2202939190074886,5.0809841122636925,6.9408800027868,9.473203326112419,12.199855670846054,15.151916055186042,17.224236142571648,19.967993830487988,22.202014034681337,24.32915413349946,26.627556705990514,27.739886805376486,2,HL,L,HL-L,hetero-high
p55.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p61.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p71.rsml,0.0,4.587453629546859,6.350219911653391,9.95494098747786,13.903969769902982,18.72170802908005,23.766882501258046,30.25407003454049,35.380651135779004,41.36245640959214,46.11131643514186,51.594739270436406,56.22490884898574,62.15249681438806,67.62657615829468,70.51328516111502,3,HH,L,HH-L,homo-high
p72.rsml,0.0,3.248676147050574,3.843170752960029,5.19610863572826,7.545635871625996,9.422419198556614,11.193080599062734,12.618612576471303,13.315300186587352,13.833662858799249,14.277888203223046,14.755799474009967,14.755799474009967,14.880709441586614,14.880709441586614,14.880709441586614,1,LH,L,LH-L,hetero-low
p76.rsml,0.0,0.17664937022248478,0.6794022916461191,1.40452590179821,1.8112032923671948,2.473343949629684,2.5918439496296815,2.749843949629679,2.8747539172063323,2.8747539172063323,2.9932539172063333,3.072253917206334,3.072253917206334,3.072253917206334,3.072253917206334,3.072253917206334,1,LH,L,LH-L,hetero-low
p80.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p87.rsml,0.0,1.3688400276926325,2.1808158205437413,3.4185705589292663,4.583300461659223,6.2205537266470685,7.483826445560065,9.106288530516474,10.670496146817666,12.313569683556203,13.396342340928715,14.631072384676534,16.07574363114952,17.326820705623614,18.369657620705407,18.958699098029857,1,LH,L,LH-L,hetero-low
p90.rsml,0.0,4.781616188951016,7.169612681895869,10.248576071979635,13.61278701511826,18.342640059328836,22.50666484592664,28.84524772613164,34.41700361717063,39.4732439127608,44.27387704586192,48.45610181414189,52.56476867417472,56.507648609575384,60.41134042268615,62.425633405763364,6,MM,L,MM-L,homo-medium
p91.rsml,0.0,5.438401877213314,7.368254817314888,10.359989374436907,13.323861099135419,17.017622681477846,20.759395943858372,27.215563165699223,33.118249685936114,39.31235833850694,43.67651696734246,47.757848754594384,51.46845183661302,55.38985720031751,59.105596824675466,60.620950787159515,4,LM,L,LM-L,hetero-low(medium)
p94.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,MM,L,MM-L,homo-medium
p95.rsml,0.0,5.985440106034715,10.696111520732583,17.188875912333568,24.753593194918984,34.36334328790606,42.223850688093655,52.749991620276276,58.56838785589622,64.98721276176994,70.05723675896854,73.78479954302088,76.10277125412448,79.40323555837702,81.90039014305474,82.6929205387706,4,LM,L,LM-L,hetero-low(medium)
p98.rsml,0.0,3.2283768551153837,5.900839847061106,11.228558295449313,18.363784740684046,27.753542686336974,35.390636530479085,45.27293263144043,54.830343062762886,65.6272354572118,75.12242941792914,84.43943288699646,90.84131326850851,98.9218767950606,106.81144920975254,111.69425546799918,6,MM,L,MM-L,homo-medium
p102.rsml,0.0,1.760620598298812,4.366882319975763,10.61087016865298,21.474159380940677,41.584933637792666,67.08345367850123,101.78842199702987,133.50425348476728,176.1101489458477,206.22127730521484,245.61464348731008,278.82234616099794,318.4147045609945,349.7313318021541,366.6970476864267,6,MM,L,MM-L,homo-medium
p103.rsml,0.0,5.537983942216459,8.591707285253387,13.969242918617969,20.3927461030682,27.734559264825368,34.28975619741266,42.43516711205149,49.25789676701,54.38316291470088,57.71975768549861,62.62866923538769,67.49760356953055,71.33922398348514,74.56045308575744,77.1217735459042,4,LM,L,LM-L,hetero-low(medium)
p106.rsml,0.0,0.43018205248527064,1.5015235009358823,2.5499149088257482,3.9986276482487737,5.666007409945112,7.775973559095727,11.128633045666568,13.923462541466785,16.554890532757554,19.427008817536226,21.948371129468313,25.555155188759187,28.388652027618594,30.90364532588192,32.53094906586338,6,MM,L,MM-L,homo-medium
p110.rsml,0.0,0.7624264404249048,1.209317926134804,1.9125954318180163,2.8347322166823874,3.908118667586337,5.279286509245406,6.988774224907616,8.531298535899182,10.218739275599393,11.543609552268018,12.92610955226802,14.03281468463165,15.039871038566222,16.027371038566223,16.83784327744921,6,MM,L,MM-L,homo-medium
p111.rsml,0.0,2.475329019028215,3.888078240439623,5.932963335227462,8.464331012386399,11.293460916028284,14.831823565610623,18.67396261948301,21.844481218842123,24.97781853813418,28.57101319251241,32.700242746304966,35.25518226393318,38.370673461134366,41.496066924853,43.08730861185108,5,ML,L,ML-L,hetero-medium
p114.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,MM,L,MM-L,homo-medium
p115.rsml,0.0,0.32572534442379775,0.5271366152107109,1.0092955620321948,1.4347235817958208,1.9103665676581143,2.777569254462069,3.7164735360584435,4.3347463318371355,5.14905969289662,6.305404905192674,7.193057004835321,8.235886928648405,8.89802758591089,9.339651011467103,9.482070286847929,4,LM,L,LM-L,hetero-low(medium)
p119.rsml,0.0,1.1088321969567412,1.781492958410832,2.572479841993612,3.463640461635211,4.775906873053715,6.334531025952673,8.367075636607815,10.346059089506916,12.591461051389,14.69722231516037,17.44098000307671,19.49384026378614,21.91190441635501,24.297979069420162,25.429601782398976,5,ML,L,ML-L,hetero-medium
p125.rsml,0.0,0.17664937022248478,0.529948110667448,1.8358398557979543,3.7299531662810326,6.392909465208976,9.736589674946956,13.404572980107417,16.506473641984865,20.391461632655307,23.23984714027186,26.703534273706452,30.233951366755033,33.80244813551914,37.199004911429284,38.40747253615078,6,MM,L,MM-L,homo-medium
p126.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,ML,L,ML-L,hetero-medium
p129.rsml,0.0,0.9281881250448778,1.1516338678998272,1.8863763397904898,2.473586055309573,3.438588243230173,4.197358465365965,5.3960264987250905,6.4595965481341535,8.071370803419306,9.401289838944136,11.343328078837697,12.82822824612432,15.633562629045544,17.358044145328044,18.001057558873985,6,MM,L,MM-L,homo-medium
p130.rsml,0.0,5.635764946315465,7.485812456710488,11.000165317715853,14.572188981574389,19.61074353919485,24.744375342253054,32.33874772083287,41.56073560686316,52.86937414749266,61.184421700064554,72.13638822209984,81.94996762277546,92.81142579101419,101.87485594166132,106.84616531576036,5,ML,L,ML-L,hetero-medium
p04.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p05.rsml,0.0,1.413708517654226,2.9921447762617253,6.159580828424836,11.220658736363635,21.563279143228307,33.97139976976111,53.45583933837313,70.46944471269074,89.235225716626,104.20501230298593,119.17620291614628,132.05816657056613,142.96020724461897,153.69738879016452,162.02781175638896,0,LL,R,LL-R,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p11.rsml,0.0,1.492813862797269,2.496970116531439,4.488613691464383,7.36751436231736,10.929616780177051,13.764452323402507,16.138424442042414,18.608914336640847,20.862582792224497,22.557460623766744,24.575340563476423,26.26026438266623,27.955576988761617,30.189476396450758,31.095775136895725,0,LL,R,LL-R,homo-low
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p22.rsml,0.0,0.9017228714274752,3.7486148055161856,5.556972015203646,9.247709857947006,13.454804179242439,17.269125375001444,21.52967611203611,23.00554337911759,23.733887391243726,25.151484872133658,25.94542504620221,26.02442504620221,26.577425046202208,27.13603940333958,27.452039403339576,3,HH,R,HH-R,homo-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p30.rsml,0.0,3.2240338083353457,4.074099243152393,5.45667610761409,6.756933289793568,8.420774738244182,12.015432991236068,16.006282659873108,17.231013062755686,19.052530138115102,20.92014427613212,22.53539800364078,23.937249725087966,25.132828733521215,26.3904686392175,26.592831311429393,2,HL,R,HL-R,hetero-low
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p35.rsml,0.0,1.5365309185175064,2.791238952284724,4.445529888003108,5.875381200501615,7.307222148372572,8.341036082308463,10.672874680925442,12.82915504303052,15.88600591443396,17.13510559020047,17.443610452398783,17.6563244622806,17.92129851761432,18.08416118982622,18.247023862038116,0,LL,R,LL-R,homo-low
p44.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,R,HL-R,hetero-low
p55.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,R,HH-R,homo-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p61.rsml,0.0,0.66020659534282,1.3590329328545063,1.8196781325472857,2.557599029391925,4.0062315742424115,5.481015795747377,6.3355314480323415,7.507956392325155,8.762664426092371,9.687335719039222,10.564378049830616,11.394817993474947,11.483142678586189,11.732962613739494,11.844685485166966,3,HH,R,HH-R,homo-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,R,LL-R,homo-low
p71.rsml,0.0,0.3374881479400445,0.8260761645757351,1.345617548875389,2.048895054558601,2.3746203989823953,2.712108546922439,3.020613409120752,3.270433344274056,3.5233567516526527,3.849082096076447,3.904943531790182,4.081592902012667,4.081592902012667,4.334516309391266,4.422840994502504,3,HH,R,HH-R,homo-high
p72.rsml,0.0,0.7313593814543669,1.333005456817617,2.2784444262946946,3.240332283583681,4.435819213666987,5.691148851650571,7.24023390418965,8.62498920748334,9.894531743202407,10.806460057271007,11.968189909689372,13.240807809496008,14.410568148197918,15.598198562089372,15.916657743147168,1,LH,R,LH-R,hetero-high
p76.rsml,0.0,0.0,1.0197228265415386,2.4817065982062827,5.388295793020017,8.581231027820317,11.936229935918616,16.61206730979823,21.02169244663755,25.133133631166654,27.284978606454942,29.744225196446166,32.08620934274066,34.71055335486679,37.11623939550855,38.011641841455656,1,LH,R,LH-R,hetero-high
p80.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,R,LH-R,hetero-high
p87.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,R,LH-R,hetero-high
p90.rsml,0.0,0.5314181498594107,1.1744315634053493,2.243748535235269,3.4990781732188507,4.6945651033021525,6.174644066051469,8.458077680828485,9.776165697464178,11.407663935281187,12.519994034667155,14.67555069131063,17.723402477509847,20.03637029766352,21.906727498943418,22.77303013082214,6,MM,R,MM-R,homo-medium
p91.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,LM,R,LM-R,hetero-medium
p94.rsml,0.0,0.8698972640490384,1.6296949344850578,4.337102273619675,6.951572631072597,8.150968520677026,9.556936145398517,11.206864165162145,12.466964490492563,13.829133104774982,15.306173801290388,16.179149972359184,17.169854488318542,18.55791928363563,19.884758667284366,21.256352015685014,6,MM,R,MM-R,homo-medium
p95.rsml,0.0,1.3776855279778235,2.0675233712424563,3.5166943411421423,4.808169176359615,6.2702028627020345,7.852176629867595,9.436614148357991,10.671265617396925,11.81744644955213,12.64788639319646,13.570023178060831,14.097018908593823,14.710223809096092,14.986723809096091,15.26603098766478,4,LM,R,LM-R,hetero-medium
p98.rsml,0.0,0.42725782614248314,0.9586759760018939,1.8706042900704938,2.3329399365439194,3.1837959760711714,4.632428520921658,5.975428520921659,8.755622488974968,10.905380731196633,11.880958764979685,13.084250915706185,14.43420350746635,16.059473715770192,17.171803815156157,17.72197515210493,6,MM,R,MM-R,homo-medium
p102.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,MM,R,MM-R,homo-medium
