,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,-1.0518999999999998,0.10173397629220993,12.460839826212496,50.33170380064052,0.029256954112654516,0.13411641691593995,7.0519,1.765999478606806,0,L
1,-1.0518999999999998,0.08131393522754944,6.863025068245001,25.576010878181712,0.06907011944287127,0.17438587722591764,7.0519,4.261244625603547,0,L
2,-7.0473,0.09146391213399371,7.939070620608617,32.58661184057764,0.04393446823280709,0.1283159245400505,19.0473,5.505133355230306,0,L
3,-13.047999999999998,0.13303297773851686,11.078417340269969,26.75811521708644,0.047175923522160386,0.19226651325091831,31.048,7.524126034555994,0,L
4,0.0,0.15261051662910566,12.92040488508733,39.94909833651859,0.05814545788604773,0.2763741604167699,0.0,8.872841270635128,0,L
5,-19.048000000000002,0.12759267515279865,9.85966797595197,28.106068138065705,0.046610177615448736,0.16906299809574626,43.048,11.357441670708592,1,L
6,-13.047999999999998,0.19177255466013055,15.921325272946076,33.68567889896647,0.0513348032980437,0.3006745263033247,31.048,13.787575961477824,1,L
7,-25.0471,0.1534861046100388,9.595665645625603,20.045579068341002,0.06023150080594213,0.21262009590657038,55.0471,17.540439946015603,1,L
8,-25.0471,0.1249504766036888,8.619578434737686,25.63382868198433,0.059469150555007025,0.1885746364815646,55.0471,18.694844608167504,1,L
9,-31.052300000000002,0.13202825800910334,9.002589253029178,28.094540610188677,0.056718206577296856,0.1878431852201725,67.0523,22.949964202824248,2,L
10,-31.052300000000002,0.12041319465252386,7.115987108117944,23.83140137796315,0.08010960940769887,0.20971296714465676,67.0523,25.73375206682308,2,L
11,,,,,,,139.0536,27.435564511234233,2,L
12,-43.050399999999996,0.1335575521541872,7.038473407582762,22.373766926727416,0.07665526506732707,0.19848421862623591,91.0504,29.29590004244213,2,L
13,-43.050399999999996,0.1084798198065973,5.554887434444554,21.974115596110725,0.0835787057284296,0.17079549933980936,91.0504,33.26035815489713,2,L
14,-43.050399999999996,0.12579888482082346,6.449413159101946,21.905472003523695,0.08292091207658568,0.19673869571303157,91.0504,35.38733932366494,2,L
15,-49.049099999999996,0.1326435858339449,6.231641764110681,20.911508686528176,0.08997822845890965,0.20627444897540048,103.0491,39.464587172612156,2,L
16,-55.0476,0.11545068999753348,4.696517945156155,16.93340290284931,0.0958162884811556,0.16554682210604574,115.0476,40.90193530822542,2,L
17,-55.0476,0.12360039369770262,4.158478252344552,15.104509143570537,0.14727266389610982,0.2253004686876045,115.0476,43.30923950751071,2,L
18,,,,,,,139.0536,45.98637359018309,2,L
