,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p13.rsml,12.929473845950726,14.740799936942777,17.508966868791514,21.93390842722516,30.82466812302171,43.59932643776636,57.659944914098595,81.99838228783452,102.65373768956982,131.0233579813644,158.0924883451122,191.5447080741032,224.40162773970576,258.79719939073203,292.17343381063426,311.83301288479936,3,HH,L,HH-L,homo-high
p15.rsml,15.530731053324274,17.673843877738538,19.556116673517227,22.13713372513188,28.272135815745024,41.35448361114067,54.26381601187363,71.02031313569279,85.44193482257224,100.69164191505965,114.90961013415478,131.40536712548166,145.78917228844807,164.24131359528437,179.81311870043118,186.60972855060007,1,LH,L,LH-L,hetero-low
p21.rsml,18.88000071551494,21.109563677588945,24.691315184919162,29.68502364613085,37.61138352629716,48.77096084003432,62.9590808582701,82.31806794088219,97.68520299726674,116.86005160690806,134.8409348828805,157.15028184454067,174.41382509572188,190.38658402739844,206.5376965470784,215.8911747450437,1,LH,L,LH-L,hetero-low
p26.rsml,17.769338130744003,19.356535317227884,21.61137500680666,27.758040274000543,34.14389395843199,43.13798504199181,52.27872698380826,64.42534133894267,77.92039799868422,95.71040562804191,112.67080872821116,135.57282412523907,155.121662131119,180.50136234087591,205.08536192493762,218.36971006446885,0,LL,L,LL-L,homo-low
p27.rsml,24.523647495029728,27.48285548190346,30.765911192229538,36.634547181031444,46.02229983555353,61.400101974039686,79.87012240705529,103.24516470921273,125.08287478493818,148.6472718340592,175.40641590199573,203.04189815561378,228.2680592843732,255.94036734678747,284.0429351113788,300.1029262424963,1,LH,L,LH-L,hetero-low
p31.rsml,19.451033728826474,22.45649530402769,26.5175732689767,35.46349455406806,48.28612566929937,71.9209024962735,96.85542530379833,131.46007478067207,163.88315692247278,208.20102259814382,243.98268702041202,285.08111130884987,323.03278153941955,373.68837514571123,424.3213894364022,455.57950801357845,3,HH,L,HH-L,homo-high
p32.rsml,21.476961288141744,24.60237317574844,26.69185082043392,31.15270073833788,37.87646511058188,46.82719602020692,59.06258589825932,75.03064243708741,93.05046322668036,117.44288995662211,136.74590516616863,166.86187045961802,191.60796290651587,220.55367661081286,244.76426802968015,258.30014777628884,0,LL,L,LL-L,homo-low
p33.rsml,27.030752547213634,29.699916357482383,34.10824845338277,41.83888672931769,53.70345309991733,69.24267859537234,89.00808321869668,118.75923119242894,147.18085688352528,188.67810110398062,219.71790367423773,259.32200014479815,295.20953638882185,342.7864174367802,388.70077446146973,415.523533318602,1,LH,L,LH-L,hetero-low
p37.rsml,17.184214775616887,19.660369832198338,23.683258933460703,30.196215986431007,37.67785675544319,48.46795844685764,62.49157201381708,82.95771584926496,109.6135507809249,145.11331887146,176.33901343141258,208.43492943937594,232.59672397407996,263.4900772030008,302.1412530687633,327.4780546022105,3,HH,L,HH-L,homo-high
p38.rsml,16.84000470099496,17.87003868101698,19.249714367546247,19.953698350294747,21.432165705022136,23.391584980402964,25.321600889829845,31.638236344342154,39.688759467502884,52.873476035291844,64.07643484180922,79.920375419044,93.84850873980524,110.28836176899617,125.49434830736398,133.74370214948863,0,LL,L,LL-L,homo-low
