,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p13.rsml,0.0,0.0,0.230322599846393,0.8951451996927756,4.047113009961739,10.801037379695794,18.96717743351945,35.47065534341575,50.244409142023656,69.97033437647573,90.4418444223507,115.50858799549935,141.34057749763508,174.69706638006195,207.99430079996435,227.54215700270188,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.08832468511124239,0.5676794202186386,3.357662047575006,11.473777673012332,19.25626040562075,29.325723812200167,37.92163705615208,46.94482897228255,55.227087266120364,64.96425168662725,73.35976726375839,85.55721688812577,97.1301021820843,103.9267120322533,1,LH,L,LH-L,hetero-low
p21.rsml,0.15122287142747215,0.23954755653871454,0.7206709820949189,1.4387944076511299,4.11639537140003,9.395713551572532,17.214820036234414,28.941356752100166,38.05755727215821,49.40833719593789,60.390858522959924,76.01862547898145,89.94603727798707,105.9187962096637,122.06990872934364,131.42338692730902,1,LH,L,LH-L,hetero-low
p26.rsml,0.0,0.0,0.45036929291415806,2.5673550549504514,5.6039936696780925,10.116000791024998,14.79292885759834,22.791881708642588,31.765292238144212,44.12504372298569,55.725049383374625,72.5723908794268,86.27135247231932,105.3011417037465,124.59901125736164,135.00663652546535,0,LL,L,LL-L,homo-low
p27.rsml,0.0,0.7789417832934352,1.8764666792101599,4.882522613042129,9.630543484114652,19.231154043262922,31.070368561479327,47.83416710852135,63.13607117612092,80.30885315032567,99.97140860964414,120.38700353381924,140.99606473905538,168.6288728014697,196.73144056606114,212.79143169717864,1,LH,L,LH-L,hetero-low
p31.rsml,0.0,0.5551877129564284,1.2973253349646405,5.329169861859011,12.477844958754618,28.801733295843793,47.174320856487974,73.61146257645834,98.21704842562961,133.22726979324233,162.5235687103099,201.7699011805293,239.72157141109932,290.37716501739084,341.01017930808183,372.2682978852582,3,HH,L,HH-L,homo-high
p32.rsml,0.0,0.0,0.16732468511124302,1.4190675200819036,3.4501828051269285,7.1925953170810955,14.077409832039685,24.720726394418403,36.997512151324024,54.068169396573055,68.39367755944507,91.44689953226245,110.52763079552653,137.3564972117344,161.5670886306016,175.10296837721026,0,LL,L,LL-L,homo-low
p33.rsml,0.0,0.0,0.6430134135459384,4.22993883032212,10.183273400090213,19.440700533433287,31.88558467919025,54.60888084937787,76.08647029873434,109.70578064682897,137.7649140703734,177.36901054093377,213.25654678495755,260.833427832916,306.7477848576054,333.5705437147379,1,LH,L,LH-L,hetero-low
p37.rsml,0.0,0.0,0.47399999999999665,2.1814611148725724,4.244039969336797,9.106446277250031,16.426054833560244,28.739952060974126,47.88676605342249,74.02578779098333,98.65586441593477,122.89289832796854,147.0546928626726,177.82954609159341,216.48072195735588,241.81752349080313,3,HH,L,HH-L,homo-high
p38.rsml,0.0,0.0,0.0,0.0,0.07899999999999352,0.695419275380826,1.726007165044079,6.140070676107206,11.335642661332304,20.668589314325036,28.740214111690467,40.149082996123404,50.03102941983974,60.56849416669398,70.7988926725566,76.8306108367576,0,LL,L,LL-L,homo-low
p39.rsml,0.0,0.0,0.0,0.0,1.3229265357851816,6.108134024481817,13.988300862473372,27.815182205659443,40.40328191498922,58.187449895672714,73.03748276548211,88.47355960969719,102.0538637027249,118.5663099678417,134.4823417376741,143.60800961790733,1,LH,L,LH-L,hetero-low
p52.rsml,0.0,0.0,0.4756429858622956,5.264666476482347,16.558298007859072,36.26605704100827,60.15645016699463,87.43976947204138,110.99320172341609,144.44151894310573,167.4106695353051,202.66313744677663,234.45455674542808,275.63928452546537,316.71278099570935,337.8785792153964,3,HH,L,HH-L,homo-high
p53.rsml,0.0,0.0,0.0,0.09629309999999691,0.7539500476570975,2.864545451861563,5.965492695016446,10.43902403951492,15.570188432418941,25.035592228683427,32.0009762902738,44.65627061315225,55.594204174780494,72.24490261972751,86.72018534677228,96.8440464200309,0,LL,L,LL-L,homo-low
p54.rsml,0.0,0.5704017228382385,1.4480737289013097,2.844789761452912,5.790005947308419,10.603076698944292,16.433276717744498,24.7550059743248,33.8929789032749,42.42828425560255,50.81606121075982,60.496733382742136,69.36271317874318,84.2362565483436,98.08055521719513,106.75183788421228,1,LH,L,LH-L,hetero-low
p59.rsml,0.0,0.47728031595698467,1.6196458581212771,5.713568500146774,10.728515863032444,17.854562053135464,26.885942860445258,40.76854974799021,54.472401562019535,71.01971307622601,84.44014196659565,103.59013471315292,121.76036497107329,144.8309731781283,168.66589912994942,182.03950056106987,0,LL,L,LL-L,homo-low
p60.rsml,0.0,0.0,0.0,0.0,1.9275486863741746,7.251856282859957,18.557591526314436,36.04806014331311,55.641202811246146,82.01083293551112,101.33644603340062,132.6310978137196,163.30637733637573,200.58128232637227,243.19549289874539,271.744682064624,2,HL,L,HL-L,hetero-high
p66.rsml,0.0,0.972859219025163,1.2576977697868175,3.1462348308376455,7.59168309118578,17.095446689266474,31.04010498166187,52.7369184018818,74.10638407903866,108.50899235250884,137.99312372922427,179.52587884208432,223.57444228274198,282.9657155971093,340.53967653648033,376.5184568996792,2,HL,L,HL-L,hetero-high
p69.rsml,0.0,0.0,0.0,0.22344574285495078,2.2920180992817754,5.789113699182332,11.754916612116128,25.03777186870984,39.71262956088163,62.66148569387914,84.3721587508829,117.84236659622282,149.7070954578182,192.55290757514888,234.28420603819032,257.95335723672446,3,HH,L,HH-L,homo-high
p70.rsml,0.0,2.3012593317265617,3.9394162716394625,6.990712451896146,13.494954118328089,26.170736199660244,42.77068471429887,68.1544361046784,90.82877480029921,126.34244412203955,154.00211444845215,193.7981143711874,239.765628572538,293.79286931881137,346.32663585259854,376.48622573695445,2,HL,L,HL-L,hetero-high
p73.rsml,0.0,0.432298740444967,1.6917093248288728,4.42795801954569,10.696109704851422,24.63564621759983,41.6893838707613,61.94225474299779,80.61083694702509,104.45795552531808,125.7129385078853,151.19587411271067,178.65651054248127,214.0986753935756,250.68445744497916,274.1756983874369,3,HH,L,HH-L,homo-high
p74.rsml,0.0,3.3670119981412205,5.229984385905504,9.955707216197402,20.97429906916795,40.820334915273534,64.31545153559428,94.51194650230399,123.04838051730478,158.6237327740183,187.4780224019789,223.50256122117133,260.80902339523857,305.6707218230271,354.0816948361811,383.1618570859787,2,HL,L,HL-L,hetero-high
p77.rsml,0.0,3.479075182009594,5.732441141886465,10.648983827338702,19.715482525093066,31.0893276381605,46.7473626925687,66.58130081561603,85.66146689054916,112.25479756684129,131.89924631114164,158.8452076738645,186.47510298815018,225.06596943445348,264.07137679463136,287.066732929051,3,HH,L,HH-L,homo-high
p78.rsml,0.0,7.544979575367139,10.824752710522992,18.799061167119973,29.00689696571352,50.18298335850572,73.89513628466355,109.16917691883279,143.54272456661474,189.06731139956838,223.01832917061833,270.51657066257786,316.2795081079556,375.929047144234,431.41894211307465,463.6885237752868,2,HL,L,HL-L,hetero-high
p85.rsml,0.0,1.7806653768202911,2.7001960067299122,4.082076261771921,6.394857550508229,11.18435552574453,19.498705089725647,34.81674115686902,52.06009099265946,76.25953098682116,96.81397680113952,127.46699675561001,156.52555174985665,196.46711399076588,239.50807248574552,263.2061233293926,2,HL,L,HL-L,hetero-high
p88.rsml,0.0,0.8532918480481841,1.1617967102464994,2.6462171082597017,7.570942422194156,16.396750004215118,28.036635632884835,47.25252750938819,66.46386029132958,95.20766421174129,117.78587869238739,152.55179660237238,189.32268234383486,236.97408867662716,282.8756007397825,310.3452568972218,3,HH,L,HH-L,homo-high
p89.rsml,0.0,0.15800000000000125,0.5580951130774368,2.968790976249168,6.351013486573198,13.52568961210326,24.330350061308224,43.001607247981894,61.393520661018684,89.34747077445546,110.31761027908938,143.28747813734333,175.5822074766287,221.84993392151645,265.40110490045004,291.2221614889065,2,HL,L,HL-L,hetero-high
p92.rsml,0.0,0.6972727957786895,2.7702009358594424,9.162434445650726,17.060170520478824,29.65256924697131,42.33873985763307,59.690445471543015,75.94218243763602,104.11849941974678,124.38767485067916,156.7836286233876,185.87808754100152,226.1735454762835,264.85547965291096,286.54963018328556,6,MM,L,MM-L,homo-medium
p93.rsml,0.0,0.0,0.6711469658285071,2.0380942064160874,5.889291364845652,11.037109314739745,18.563049348949363,30.137483126345032,40.07719988894851,55.85390757666005,68.68529906477038,88.73059865028233,106.2642932020945,130.76433654989495,155.02103912486305,167.19924371759782,5,ML,L,ML-L,hetero-medium
p96.rsml,0.0,0.0,0.7948626722119081,5.823006033028012,13.595948588677254,27.995821945979106,48.41469038123488,74.70155665270455,97.45062208890018,131.86592766159367,156.3980162014599,190.9045681738181,222.87902781874115,264.1286239322804,297.99234524909315,319.4309722362029,6,MM,L,MM-L,homo-medium
p97.rsml,0.0,4.143297134370208,6.288932915583013,10.583755450387715,15.655763141122327,23.629992887935657,33.99673324362703,49.34495291246283,64.76440352188095,90.71365613272512,110.97593038815002,141.24752263629435,167.98560469301702,203.29345125742526,237.55265057050772,257.80739266833285,5,ML,L,ML-L,hetero-medium
p100.rsml,0.0,0.0,0.1579999999999977,1.2340238406265815,3.5785147528417363,8.187921432110963,13.404618228010516,22.653938931302896,31.15967173849297,48.271766188511535,63.18755394684545,86.23508854591256,108.64341924682911,139.66750427513094,168.2929130135872,186.28264909060434,6,MM,L,MM-L,homo-medium
p101.rsml,0.0,1.6377670343911355,2.6925045374249836,6.362158396895216,11.26805476000561,22.04384375772394,34.69950357836491,55.0532733627646,70.71475175332921,96.84159012928573,116.95782776038548,144.56840947125173,170.99818266590356,206.4092541331265,239.5514213292081,257.3019463287914,5,ML,L,ML-L,hetero-medium
p104.rsml,0.0,1.2762840592908777,1.8760955710468452,3.1676435691388223,7.570685668427603,15.53708449402532,26.238560060072437,41.09437630976742,54.469510971643984,75.26009444114084,91.10957572106885,116.80906975350767,139.076567549963,169.8585192257509,196.48431600299998,213.13900818928113,6,MM,L,MM-L,homo-medium
p105.rsml,0.0,3.04581680267945,6.080487992994119,13.504765742110152,24.28566038361115,42.989270498903416,59.54609583642829,84.093249267371,106.06085138691172,137.30104975179728,158.56992317679516,192.7937398875998,226.23645035082706,271.48221014897337,310.20934284376744,334.28434463544426,5,ML,L,ML-L,hetero-medium
p108.rsml,0.0,0.0,0.0,0.0,2.4538604240577193,9.458550413627707,17.917069893517162,30.507173074341654,40.886125305448516,57.35592455311063,69.55247929898168,87.19005519413108,105.54464238414599,129.31133698265074,152.12805249521907,167.18900693191486,6,MM,L,MM-L,homo-medium
p109.rsml,0.0,0.9125242053261835,1.946412654476042,5.265160483128877,12.071711887350613,24.402024452219802,34.39379936899918,51.33337539162642,65.42684875793952,87.22482362221676,102.78687584058933,129.54215314940583,154.7972397611306,187.42858245586493,218.5371380610105,237.2035068865497,5,ML,L,ML-L,hetero-medium
p112.rsml,0.0,4.589601819802434,7.6689690046994565,12.819792070494604,20.12304614381789,30.790618416577416,42.98582998985026,61.27070219772546,77.46682256172028,100.03803908912326,119.02624869470291,145.05816556159206,167.7297089282005,198.8460428012629,228.06289643370783,247.2525135791584,6,MM,L,MM-L,homo-medium
p113.rsml,0.0,2.7157111252707478,4.146507930929744,5.584342344151257,8.198246222395944,13.075565980971138,19.732969277939212,31.12443870868632,42.25075451511112,62.093536102381556,75.79873525274346,96.7503312227047,115.37530823335699,139.0805721004712,161.27325163356673,174.39933369049785,4,LM,L,LM-L,hetero-low(medium)
p116.rsml,0.0,1.123011305417394,1.770934712795993,3.0730105489148234,7.890096657160445,15.530941655938983,24.47977321954642,36.86125672437629,46.497804764524695,61.32133656004072,72.9676685895449,87.95008385040214,101.13382898725959,118.44734760995826,136.23545845541466,147.66274820457528,6,MM,L,MM-L,homo-medium
p120.rsml,0.0,3.4179649893078317,5.158425896842358,9.69638985745258,17.991091695423748,31.2248311639407,47.693809685084915,76.79446266172727,99.3201432844412,127.63495331687082,149.85001900375232,179.95257404750396,208.62506102432874,244.18707960121785,277.34336462339746,296.8028386664816,6,MM,L,MM-L,homo-medium
p124.rsml,0.0,0.24981993515330395,1.3859229688231625,4.002006715505438,7.912276445667448,15.89342852557633,28.274674687419573,43.19420752033834,58.03912976879904,77.90755147719702,93.32745452203007,115.12518690566942,136.76136390141386,168.0316398451784,195.4256768776755,211.4684812822148,4,LM,L,LM-L,hetero-low(medium)
p127.rsml,0.0,4.0957807269497675,6.838534367617776,11.029002773370792,16.605934745864733,26.950094848933468,39.32352402478611,58.59860853230312,78.03267132088394,106.07463125592277,124.72637465797439,152.18919587152305,176.39699967836484,203.54742726868446,228.34994725179627,244.5798741094724,6,MM,L,MM-L,homo-medium
p128.rsml,0.0,1.0026387163952861,3.3875642846880964,6.390247852270869,12.625036558409422,22.301396915687732,35.315035992840606,54.65135611046311,74.96086609277195,100.51542664753424,119.79067785584613,144.954914501801,169.09172251390245,200.45207821948335,227.15882951382457,243.05652810885752,4,LM,L,LM-L,hetero-low(medium)
p131.rsml,0.0,0.0,0.0,0.785999970205217,1.6790040755351094,5.035029458391296,10.075758338181753,19.385492807692085,30.06585247198998,49.413109048745056,64.35738801719418,88.74345285294072,111.48414650140319,146.10324725795826,177.00180274746046,195.57893301326092,6,MM,L,MM-L,homo-medium
p132.rsml,0.0,0.0,0.0,0.9253728755648796,1.9727635397489278,3.2189096360899776,4.584167196819444,8.095358158058973,10.6898020547141,16.38306849363465,21.26951568225664,27.26324333045062,32.874678655644054,37.94695742829211,42.09639268059965,44.1589485933461,4,LM,L,LM-L,hetero-low(medium)
p13.rsml,0.0,0.0,0.15800000000000125,1.554535892843436,6.14689412896626,13.597144497903237,25.22492879858127,40.4999938669721,55.13909981984655,70.55262238822019,84.5105654269374,100.25581882693606,114.99069574298184,132.80060666814077,150.1342031833131,160.9692741801905,3,HH,R,HH-R,homo-high
p15.rsml,0.0,0.0,0.0,0.0,1.2069740923239014,4.072516684942709,7.735480752744744,12.629941496334686,21.06899901109527,30.337503592336102,40.116622431567905,53.859218916633345,72.31219818749061,99.37419251888973,126.18771704923635,142.92863601550988,1,LH,R,LH-R,hetero-high
p21.rsml,0.0,0.0,0.0,0.0,0.11172287142747539,3.1550540637431235,9.421346085295783,19.359304746692093,31.958611484992534,50.10371442138412,68.4735414495618,94.57385422118955,117.17000526686792,144.85795484581223,170.28390783201706,185.46762675705554,1,LH,R,LH-R,hetero-high
p26.rsml,0.0,0.0,0.37472990272995255,0.8560517559996436,2.42973348645934,5.881139235057701,11.94908049055535,21.353617357676317,31.112723072858255,43.48323641832333,53.03004074199949,64.02796680639933,72.71346865968218,84.0866616529924,95.53107849444206,102.18002444680968,0,LL,R,LL-R,homo-low
p27.rsml,0.0,0.9427331801858982,1.4741513300453064,3.308415706825605,8.533462092289032,21.43611469466738,40.867067373812475,68.29159742016469,94.9170309630186,128.3841558403558,158.5698235232429,201.9702190322663,243.26938176792603,296.9891942817518,351.73681154804916,382.86652577673726,1,LH,R,LH-R,hetero-high
p31.rsml,0.0,0.0,0.0,0.0,0.674976295880089,1.562628395522734,5.422244130704921,12.709025465956923,22.847078602174605,37.57732081897656,48.94112230236277,66.22773058755376,84.80268500741663,116.22357506698293,144.2519406515941,162.93838348645068,3,HH,R,HH-R,homo-high
p32.rsml,0.0,0.0,0.11172287142747288,2.1964299769117916,5.865545250117353,12.980027564317997,21.079396574530985,32.85859078088176,46.10316620793893,64.99043112347002,80.53027841474433,103.32636593130084,126.52367646518385,153.44555332815833,177.52245932776657,191.24396714806608,0,LL,R,LL-R,homo-low
