filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p13.rsml,HH,L,HH-L,0.0,12.929473845950726,0.0,12.929473845950726,12.929473845950726,12.929473845950726,homo-high
p13.rsml,HH,R,HH-R,0.0,18.98097469840001,0.0,18.98097469840001,18.98097469840001,18.98097469840001,homo-high
p15.rsml,LH,L,LH-L,0.0,15.530731053324274,0.0,15.530731053324274,15.530731053324274,15.530731053324274,hetero-low
p15.rsml,LH,R,LH-R,0.0,14.433927769058997,0.0,14.433927769058997,14.433927769058997,14.433927769058997,hetero-high
p21.rsml,LH,L,LH-L,9.738381364680457,8.99039647940701,0.0,18.728777844087467,8.99039647940701,18.728777844087467,hetero-low
p21.rsml,LH,R,LH-R,0.0,15.515325046038878,0.0,15.515325046038878,15.515325046038878,15.515325046038878,hetero-high
p26.rsml,LL,L,LL-L,0.0,17.769338130744003,0.0,17.769338130744003,17.769338130744003,17.769338130744003,homo-low
p26.rsml,LL,R,LL-R,0.0,14.012617318059,0.0,14.012617318059,14.012617318059,14.012617318059,homo-low
p27.rsml,LH,L,LH-L,1.1964131936041031,23.327234301425626,0.0,24.523647495029728,23.327234301425626,24.523647495029728,hetero-low
p27.rsml,LH,R,LH-R,5.058257562280565,20.176227946647657,0.0,25.234485508928223,20.176227946647657,25.234485508928223,hetero-high
p31.rsml,HH,L,HH-L,0.0,19.451033728826474,0.0,19.451033728826474,19.451033728826474,19.451033728826474,homo-high
p31.rsml,HH,R,HH-R,0.0,12.662674529210749,0.0,12.662674529210749,12.662674529210749,12.662674529210749,homo-high
p32.rsml,LL,L,LL-L,0.0,21.476961288141744,0.0,21.476961288141744,21.476961288141744,21.476961288141744,homo-low
p32.rsml,LL,R,LL-R,0.0,27.998291807157337,0.0,27.998291807157337,27.998291807157337,27.998291807157337,homo-low
p33.rsml,LH,L,LH-L,0.0,27.030752547213634,0.0,27.030752547213634,27.030752547213634,27.030752547213634,hetero-low
p33.rsml,LH,R,LH-R,2.849079671852701,22.860856716517574,0.0,25.709936388370274,22.860856716517574,25.709936388370274,hetero-high
p37.rsml,HH,L,HH-L,0.0,17.184214775616887,0.0,17.184214775616887,17.184214775616887,17.184214775616887,homo-high
p37.rsml,HH,R,HH-R,4.741257605273807,23.42760026706526,0.0,28.168857872339064,23.42760026706526,28.168857872339064,homo-high
p38.rsml,LL,L,LL-L,0.0,16.84000470099496,0.0,16.84000470099496,16.84000470099496,16.84000470099496,homo-low
p38.rsml,LL,R,LL-R,0.0,20.61976758764292,0.0,20.61976758764292,20.61976758764292,20.61976758764292,homo-low
p39.rsml,LH,L,LH-L,0.0,17.73867598287505,0.0,17.73867598287505,17.73867598287505,17.73867598287505,hetero-low
p39.rsml,LH,R,LH-R,1.8570305445961788,18.98696444267421,0.0,20.84399498727039,18.98696444267421,20.84399498727039,hetero-high
p52.rsml,HH,L,HH-L,0.0,20.995573152237597,0.0,20.995573152237597,20.995573152237597,20.995573152237597,homo-high
p52.rsml,HH,R,HH-R,0.0,16.70434041151611,0.0,16.70434041151611,16.70434041151611,16.70434041151611,homo-high
p53.rsml,LL,L,LL-L,0.0,22.129177850359653,0.0,22.129177850359653,22.129177850359653,22.129177850359653,homo-low
p53.rsml,LL,R,LL-R,3.990267658902485,22.603131939537274,0.0,26.59339959843976,22.603131939537274,26.59339959843976,homo-low
p54.rsml,LH,L,LH-L,1.2013455997339002,13.678192254229716,0.0,14.879537853963615,13.678192254229716,14.879537853963615,hetero-low
p54.rsml,LH,R,LH-R,0.0,25.828546545423418,0.0,25.828546545423418,25.828546545423418,25.828546545423418,hetero-high
p59.rsml,LL,L,LL-L,0.8247842142039332,19.008451557507517,0.0,19.83323577171145,19.008451557507517,19.83323577171145,homo-low
p59.rsml,LL,R,LL-R,0.0,16.540340444767015,0.0,16.540340444767015,16.540340444767015,16.540340444767015,homo-low
p60.rsml,HL,L,HL-L,0.0,14.032872946431102,0.0,14.032872946431102,14.032872946431102,14.032872946431102,hetero-high
p60.rsml,HL,R,HL-R,0.0,18.690968277054044,0.0,18.690968277054044,18.690968277054044,18.690968277054044,hetero-low
p66.rsml,HL,L,HL-L,1.3255656267758038,20.250732603191892,0.0,21.576298229967698,20.250732603191892,21.576298229967698,hetero-high
p66.rsml,HL,R,HL-R,5.717685230384442,17.028960065662147,0.0,22.74664529604659,17.028960065662147,22.74664529604659,hetero-low
p69.rsml,HH,L,HH-L,0.0,17.175833107191185,0.0,17.175833107191185,17.175833107191185,17.175833107191185,homo-high
p69.rsml,HH,R,HH-R,1.122448110667452,16.7083813032086,0.0,17.830829413876053,16.7083813032086,17.830829413876053,homo-high
p70.rsml,HL,L,HL-L,2.0916029065731014,15.438583117952764,0.0,17.530186024525864,15.438583117952764,17.530186024525864,hetero-high
p70.rsml,HL,R,HL-R,0.0,11.4244285397459,0.0,11.4244285397459,11.4244285397459,11.4244285397459,hetero-low
p73.rsml,HH,L,HH-L,1.0436771015233122,18.56858801181994,0.0,19.612265113343252,18.56858801181994,19.612265113343252,homo-high
p73.rsml,HH,R,HH-R,0.0,14.268611434143995,0.0,14.268611434143995,14.268611434143995,14.268611434143995,homo-high
p74.rsml,HL,L,HL-L,3.55392345735562,21.240070511647005,0.0,24.793993969002624,21.240070511647005,24.793993969002624,hetero-high
p74.rsml,HL,R,HL-R,1.2023921071019685,20.137209898815154,0.0,21.339602005917122,20.137209898815154,21.339602005917122,hetero-low
p77.rsml,HH,L,HH-L,22.990786456256508,0.0,0.0,22.990786456256508,0.0,22.990786456256508,homo-high
p77.rsml,HH,R,HH-R,0.0,16.339240418484582,0.0,16.339240418484582,16.339240418484582,16.339240418484582,homo-high
p78.rsml,HL,L,HL-L,8.641229079353916,24.210508678738403,0.0,32.85173775809232,24.210508678738403,32.85173775809232,hetero-high
p78.rsml,HL,R,HL-R,4.9201987110297,23.712842536330996,0.0,28.633041247360698,23.712842536330996,28.633041247360698,hetero-low
p85.rsml,HL,L,HL-L,3.11624710188393,18.73870709608351,0.0,21.854954197967437,18.73870709608351,21.854954197967437,hetero-high
p85.rsml,HL,R,HL-R,1.4588371364052706,20.94162849382157,0.0,22.400465630226844,20.94162849382157,22.400465630226844,hetero-low
p88.rsml,HH,L,HH-L,2.262965939013492,18.27446782735209,0.0,20.53743376636558,18.27446782735209,20.53743376636558,homo-high
