,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p13.rsml,0.0,0.06783892355080688,0.2314996441699534,0.2376565554697982,0.22406825323174018,0.21342576704553842,0.28429085630851236,0.27940329033330136,0.28620858949551087,0.2948256930973474,0.32520015663292123,0.35509439424431716,0.34914078157551887,0.4042799789114047,0.40390057231511733,0.40336522442668965,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.05658078723098664,0.20546757446258898,0.23180929518745708,0.28096118204764126,0.26773129177620425,0.22852209648625335,0.2158553458860666,0.18939275263463895,0.20466329811427927,0.25132985804180724,0.2408147409073041,0.2347113026015476,0.26689001817173363,0.26607640754275524,0.26607640754275524,1,LH,L,LH-L,hetero-low
p21.rsml,0.053393766978537385,0.14374689423330606,0.16687077602731745,0.21241773368553651,0.20898648978851975,0.228569993073727,0.24046732425723527,0.2060823860259084,0.23479042027823604,0.22238130092006156,0.22834093437077746,0.23418725625902034,0.2722931497818977,0.2959708149803236,0.30780964757953655,0.3670038105756013,1,LH,L,LH-L,hetero-low
p26.rsml,0.0,0.05166213806403518,0.18902693256086325,0.23818327877252768,0.42046397775007577,0.3633942742144172,0.3201212352368096,0.33626799512503286,0.34665720587903176,0.3295508526486409,0.36877197251570465,0.33333104104321226,0.3485823102167063,0.3723393330866807,0.34788507327963414,0.33588013027014313,0,LL,L,LL-L,homo-low
p27.rsml,0.040776968442507285,0.18723847209932593,0.24230303205883263,0.34643460219193734,0.3847025096783068,0.35571198087805117,0.34836241292928494,0.30679830243279876,0.3067147761163195,0.33656031911482687,0.3314111166333083,0.3508564148886257,0.36666974516530987,0.40086359971577096,0.41231684542193586,0.41231684542193586,1,LH,L,LH-L,hetero-low
p31.rsml,0.051411149347707824,0.045659374256159964,0.1982534038952485,0.2986627406429607,0.41889752041579664,0.37106466327371984,0.3623107859667255,0.32844348854778616,0.39594245182429105,0.38680203291229825,0.39283508910790077,0.4681242769121963,0.5281402098496574,0.564149769612134,0.5761529561996263,0.5761529561996263,3,HH,L,HH-L,homo-high
p32.rsml,0.0,0.08129297062982044,0.1885047813669141,0.2690555823190866,0.26142817049327227,0.327996239885791,0.33344317643482185,0.3379055529645867,0.3211249301718513,0.2998040832700328,0.35112242629586554,0.3447591331042857,0.38233686509281556,0.40866770058284657,0.40866770058284657,0.40866770058284657,0,LL,L,LL-L,homo-low
p33.rsml,0.0,0.033670128493411305,0.23905405088226164,0.2924835874043097,0.32168984817072377,0.3614314270331448,0.33261850384326974,0.3117675880653465,0.32351358672416386,0.3545546064483702,0.36606352184356933,0.43927622621228324,0.5002868131862115,0.549095282765354,0.549095282765354,0.549095282765354,1,LH,L,LH-L,hetero-low
p37.rsml,0.0,0.10172748615972341,0.17234501159505847,0.14278190254882225,0.17945902014074966,0.20324422409200726,0.23879032893425273,0.23977381381427532,0.25920676203423226,0.2672761272084483,0.2960745063954272,0.26887367182158073,0.33901462968808005,0.420263562844124,0.4552855264144677,0.4552855264144677,3,HH,L,HH-L,homo-high
p38.rsml,0.0,0.0,0.0,0.05011602272644502,0.14049439045445225,0.22030152868039798,0.2966655589025046,0.31374805953065965,0.2821559285594638,0.3105118824557006,0.28299574185862275,0.2765814065841267,0.25104136912293434,0.24135221147379646,0.23767970938570976,0.22841844820142446,0,LL,L,LL-L,homo-low
p39.rsml,0.0,0.0,0.0,0.2783974190121676,0.3433905119819973,0.38229750930815265,0.36783772741052967,0.34331754985362706,0.32020385390923845,0.2698847352497034,0.24469953233724276,0.23069246869410645,0.23936616232325403,0.25417880644839913,0.24515504665570043,0.24515504665570043,1,LH,L,LH-L,hetero-low
p52.rsml,0.0,0.04478252922522353,0.19937362136634268,0.37253704558934264,0.42870218530344034,0.3649673737512278,0.3556723430485165,0.33930098191850067,0.38318865489153603,0.36491967507770984,0.41086163620199684,0.3969831384203257,0.41215392867234535,0.4670031798345074,0.4663554637048562,0.4663554637048562,3,HH,L,HH-L,homo-high
p53.rsml,0.0,0.0,0.037069022261772895,0.10241912822222873,0.18493447675609717,0.2518601785097592,0.2836195541233787,0.256314098037277,0.27421604648646036,0.2827915782041115,0.31707069590403053,0.34084866041043504,0.33269065442985213,0.3813908675795595,0.36326589088807876,0.3566296726031585,0,LL,L,LL-L,homo-low
p54.rsml,0.06720638838481262,0.12449272324074254,0.11326636932440311,0.20988022062827374,0.2737967712809484,0.29804217314617504,0.28312886688075123,0.2396407188729929,0.20622904927313618,0.19716300322077987,0.23170891061081447,0.20624260600194297,0.24588772960427918,0.26396256514695376,0.26929384658288347,0.26929384658288347,1,LH,L,LH-L,hetero-low
p59.rsml,0.05042041608895309,0.1381785212043895,0.42857274911185916,0.5084228058503869,0.5143593100740234,0.4511083044748241,0.4596085479545073,0.48682807292349445,0.46212337370228995,0.429064007790819,0.4678614228926504,0.43779181766981157,0.4493655435584096,0.45150949611591645,0.417945988968252,0.40462531806473534,0,LL,L,LL-L,homo-low
p60.rsml,0.0,0.0,0.0,0.16766216894372563,0.3467838264095183,0.3788835690370622,0.42062306585026826,0.36829133910930006,0.3124579675710265,0.3007092482008807,0.3530402869212293,0.3392470131634147,0.37549589820963025,0.38751440214951405,0.35348045558256236,0.3528447668995087,2,HL,L,HL-L,hetero-high
p66.rsml,0.04634715322070783,0.041589212432060915,0.11084404574807613,0.1599118136315755,0.24488316807544244,0.2534635169818336,0.27923182563476123,0.274929870476401,0.2909312785831855,0.3061849362032579,0.318413636502111,0.3636112344079024,0.3976997876336432,0.4886025962356188,0.5226911494613596,0.5226911494613596,2,HL,L,HL-L,hetero-high
p69.rsml,0.0,0.0,0.04368509177045043,0.18965216421696887,0.18983929683918213,0.24002475996789488,0.20620580343177253,0.2537250964136849,0.29266330592405815,0.28148178765716775,0.29595429134389456,0.28874941825221395,0.31703580922229185,0.3621646620724364,0.3734823077622001,0.3734823077622001,3,HH,L,HH-L,homo-high
p70.rsml,0.17113338077546958,0.20354570994050503,0.21952425603643833,0.2912788491450526,0.4046318450033507,0.36495221291789,0.3811613526381821,0.38653146297230073,0.41128784725322975,0.40271695761066245,0.4253748483402513,0.45616084084638475,0.453959672154451,0.48312541978382867,0.4829159719480133,0.4827067056360187,2,HL,L,HL-L,hetero-high
p73.rsml,0.050988501033450116,0.14370386578787614,0.21305548209054737,0.37123911222535266,0.41140528959172945,0.34011934950793793,0.28853341348077916,0.28162399938947996,0.3342910179489166,0.30298185165210145,0.3161242387580399,0.3067391120128149,0.35280976135362657,0.3954669633711123,0.4067660194674298,0.4067660194674298,3,HH,L,HH-L,homo-high
p74.rsml,0.120997044838786,0.2254126409682651,0.31333144080963343,0.5020190811472172,0.49501674546780877,0.4966088711114552,0.430039417153728,0.3855314471669131,0.37667596028070693,0.37225136372322337,0.35578418176460536,0.38281581889815347,0.45149348676443557,0.47434024581327944,0.47403388895876847,0.47403388895876847,2,HL,L,HL-L,hetero-high
p77.rsml,0.21747842378133805,0.28413435721118374,0.3635109784526693,0.38062621982733563,0.3797551446544878,0.3815810173111185,0.3738425642299431,0.35973041249392984,0.4007528738604484,0.38240040741635245,0.3778070686184109,0.40002809384211235,0.4047630638491641,0.4480882758506066,0.4694930394006869,0.4694930394006869,3,HH,L,HH-L,homo-high
p78.rsml,0.18263874027552862,0.22795811847016226,0.3089380785710188,0.2940255159770592,0.3391548166919495,0.33452751525728947,0.37502605250730325,0.40361385073074574,0.4057238114012722,0.3760280932752366,0.4200828695804942,0.45385579478315613,0.5446269537397873,0.5786661383485241,0.5786661383485241,0.5786661383485241,2,HL,L,HL-L,hetero-high
p85.rsml,0.04575621577340127,0.08443949770045191,0.11321191112074308,0.16969195579791524,0.2401073060003469,0.3036870253655223,0.2840315575455597,0.28515127829732567,0.3042621193220082,0.3010397054224225,0.2900643478110247,0.3020363616967455,0.3483214892681968,0.3911585710383646,0.41416789874650367,0.41416789874650367,2,HL,L,HL-L,hetero-high
p88.rsml,0.04869157516835004,0.04417657538515241,0.1183224387761035,0.23509663746209702,0.25368168332753693,0.26369919839192085,0.2671326404254481,0.26610511264290904,0.28269641027836895,0.259697810692769,0.31439475500135733,0.3137980636781861,0.3486645151979846,0.4183974182375815,0.44164171925078044,0.44164171925078044,3,HH,L,HH-L,homo-high
p89.rsml,0.04237022184294085,0.07812197527873371,0.24875140311814709,0.31200854790395277,0.34761237055852984,0.3220619959552082,0.3222003663438435,0.36898310381631705,0.3777686019737046,0.40208376409900287,0.4347216709824652,0.4453554930200878,0.46814424935262106,0.5127294159576326,0.5127294159576326,0.5127294159576326,2,HL,L,HL-L,hetero-high
p92.rsml,0.09444034586974812,0.17770874121307703,0.27427915233050304,0.29952412361799985,0.3063194512466247,0.3063233177340014,0.2733759185176673,0.2718655134796228,0.2885994366520598,0.2815985916781028,0.29665496490626375,0.3163146385041599,0.3817590464705379,0.42538865178145646,0.42538865178145646,0.42538865178145646,6,MM,L,MM-L,homo-medium
p93.rsml,0.0,0.14572530741937684,0.17786275602815094,0.3222672220033454,0.3801547922204739,0.3532476714220485,0.30667829119212875,0.2860204146104688,0.31362495943515334,0.2912310507747618,0.31243012928240943,0.3081389183346231,0.3095793145262715,0.34103805101140344,0.3332007431435393,0.33304959112060933,5,ML,L,ML-L,hetero-medium
p96.rsml,0.0,0.1514556918054496,0.3163354568063304,0.4561493225306378,0.4876559722449853,0.4420590337994756,0.41001398911719256,0.35384022100172285,0.3431572340351529,0.33290484278227306,0.35676629955856004,0.3713946959694451,0.374249392035035,0.4536356267091333,0.4536356267091333,0.4536356267091333,6,MM,L,MM-L,homo-medium
p97.rsml,0.2194621674691013,0.23599815987608844,0.3194316321296415,0.39005868899394996,0.46849988097227957,0.407948057611718,0.4042718985492422,0.4109616425706276,0.40805321346470796,0.3967488133134515,0.40007695942842525,0.3803116891869621,0.4261516871766438,0.45979524142743144,0.45979524142743144,0.45979524142743144,5,ML,L,ML-L,hetero-medium
p100.rsml,0.0,0.05099235437153729,0.13566139413591857,0.23688774612933597,0.26624674303931206,0.27444699501039027,0.23442237673902952,0.2224937699690343,0.2860780556817374,0.2950383652072628,0.32472261535716224,0.3460744865777956,0.3399135483521652,0.3973558037730811,0.397096559684832,0.39683765364967033,6,MM,L,MM-L,homo-medium
p101.rsml,0.17102629405350034,0.15723200579344046,0.29505749319893354,0.2979962945808881,0.40469274059263566,0.3632560911654112,0.33556336433023426,0.2867654351327735,0.3194302692874873,0.3468301255979388,0.33243481794604723,0.3452224386103523,0.37146646598446054,0.3939795851350339,0.3939795851350339,0.3939795851350339,5,ML,L,ML-L,hetero-medium
