,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07762982592069684,0.11905380878812381,0.15197624320936345,0.18701862279659548,0.23756801950236503,0.2852314466790076,0.28517824677197046,0.3512683498144837,0.35087887146524427,0.350329538003296,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0696865331143507,0.05134307172519231,0.0764413252566947,0.06252038415954037,0.104667977517181,0.18119309933271216,0.1767812227039088,0.17575102022645647,0.22168256362992433,0.22337288889166737,0.22337288889166737,1,LH,L,LH-L,hetero-low
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0740316211126978,0.057723500565041615,0.12225277273066588,0.12314528685609324,0.1435716721089479,0.16024901794488808,0.2129633531994499,0.24338668937079988,0.25859835745647486,0.3346566978848498,1,LH,L,LH-L,hetero-low
p26.rsml,0.0,0.0,0.0,0.0,0.09284566444438705,0.06556239436212609,0.0507190438968235,0.12571173005701494,0.1761446111026286,0.1774306772447268,0.255255576954099,0.22108684246003601,0.2544979003161655,0.2960079883520835,0.27105882937291326,0.25917109147986395,0,LL,L,LL-L,homo-low
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.08238553461251404,0.06475142714277066,0.1068856936554934,0.159763472684863,0.17677783574881914,0.2236318785945076,0.25498679649963046,0.3026063305655712,0.3185329795427065,0.3185329795427065,1,LH,L,LH-L,hetero-low
p31.rsml,0.0,0.0,0.0,0.0,0.0,0.04225089894384748,0.09923893423662017,0.10417323588684081,0.2380175744649576,0.25214903435866987,0.27415779917726124,0.37582107274276527,0.45411712956417466,0.5010947636570203,0.5167539750213023,0.5167539750213023,3,HH,L,HH-L,homo-high
p32.rsml,0.0,0.0,0.0,0.0,0.0,0.05507323816414033,0.12761496473979764,0.17341268151558126,0.1735308240465371,0.16707337389027252,0.25599854555371554,0.2595572230722763,0.3187739172751081,0.35644721735196866,0.35644721735196866,0.35644721735196866,0,LL,L,LL-L,homo-low
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.1317452149450629,0.13292681657702715,0.13469973536622473,0.18155561098700182,0.2502812395371047,0.27311342006204037,0.3823587880868565,0.47339659477420337,0.5462268401240807,0.5462268401240807,0.5462268401240807,1,LH,L,LH-L,hetero-low
p37.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.06924895463435501,0.10801017203701127,0.15715303377333945,0.1855173426333034,0.23140903514918168,0.20480466975756706,0.2925780996536672,0.3942969108852007,0.4381076787613341,0.4381076787613341,3,HH,L,HH-L,homo-high
p38.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.2960511648883176,0.34649390457755924,0.2605724649073272,0.26033392217399715,0.21626044990508736,0.2180427048246085,0.18533980925271654,0.1824825127163609,0.18491392460861197,0.17468082925136913,0,LL,L,LL-L,homo-low
p39.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0821975346954365,0.11618188790369749,0.08748730109961199,0.06572453675971089,0.05651680814720106,0.0698516255853802,0.10182361424489667,0.14032169997228597,0.13386142153726074,0.13386142153726074,1,LH,L,LH-L,hetero-low
p52.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.07462344836287774,0.1142794876921267,0.2161551406542303,0.21889247801478118,0.29882476910716643,0.2938884421647193,0.31987571619938615,0.3916473250553034,0.39093899203944354,0.39093899203944354,3,HH,L,HH-L,homo-high
p53.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.060041409505685345,0.048107183321687105,0.11867700324776828,0.12939364136516845,0.20207562836751236,0.25328162133038584,0.25000955496766764,0.32878286292472764,0.30653369755633525,0.2986210647628602,0,LL,L,LL-L,homo-low
p54.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027901850491554508,0.09702770318906266,0.08306850941275411,0.14744449301702778,0.18065725218229958,0.1901677202729408,0.1901677202729408,1,LH,L,LH-L,hetero-low
p59.rsml,0.0,0.0,0.0,0.0,0.1071896646841969,0.07452562965153886,0.17487855442485348,0.282365837906369,0.27333953957920576,0.25444349584573217,0.3357697633295513,0.31070810139068383,0.34095105246147367,0.3567744941334963,0.3213566799878011,0.3078234263232908,0,LL,L,LL-L,homo-low
p60.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.20695031629971225,0.18810013559623548,0.14507090853241913,0.16736776174186527,0.2581075969118212,0.2558217681006411,0.3110310245568257,0.3335144730425414,0.29864337364276117,0.2980042134872728,2,HL,L,HL-L,hetero-high
p66.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.10503740805792844,0.13653606506446866,0.18293566613283288,0.22412436719231196,0.24967336025481232,0.31612326437143407,0.36128373071021036,0.48171164094694713,0.5268721072857234,0.5268721072857234,2,HL,L,HL-L,hetero-high
