,hit_hour,side
p04.rsml,153.0,L
p04.rsml,135.0,R
p05.rsml,123.0,L
p05.rsml,147.0,R
p06.rsml,93.0,L
p06.rsml,87.0,R
p09.rsml,105.0,L
p09.rsml,105.0,R
p10.rsml,135.0,L
p10.rsml,141.0,R
p11.rsml,,L
p11.rsml,117.0,R
p13.rsml,87.0,L
p13.rsml,99.0,R
p14.rsml,,L
p14.rsml,,R
p15.rsml,105.0,L
p15.rsml,117.0,R
p17.rsml,165.0,L
p17.rsml,,R
p18.rsml,99.0,L
p18.rsml,93.0,R
p20.rsml,,L
p20.rsml,,R
p22.rsml,105.0,L
p22.rsml,111.0,R
p23.rsml,153.0,L
p23.rsml,,R
p24.rsml,69.0,L
p24.rsml,111.0,R
p26.rsml,135.0,L
p26.rsml,117.0,R
p28.rsml,117.0,L
p28.rsml,129.0,R
p29.rsml,55.0,L
p29.rsml,68.0,R
p32.rsml,,L
p32.rsml,,R
p33.rsml,141.0,L
p33.rsml,135.0,R
p34.rsml,111.0,L
p34.rsml,129.0,R
p35.rsml,,L
p35.rsml,,R
p36.rsml,135.0,L
p36.rsml,159.0,R
p38.rsml,,L
p38.rsml,,R
p39.rsml,153.0,L
p39.rsml,117.0,R
p40.rsml,111.0,L
p40.rsml,81.0,R
p45.rsml,117.0,L
p45.rsml,129.0,R
p47.rsml,,L
p47.rsml,,R
p48.rsml,117.0,L
p48.rsml,135.0,R
p50.rsml,141.0,L
p50.rsml,153.0,R
