filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p04.rsml,HH,L,HH-L,6.828950933444462,25.46633582583233,0.0,32.29528675927679,25.46633582583233,32.29528675927679,homo-high
p04.rsml,HH,R,HH-R,16.852174878254576,19.850173228394862,0.0,36.70234810664944,19.850173228394862,36.70234810664944,homo-high
p05.rsml,LL,L,LL-L,27.202310729452105,26.251642975462577,0.1117228714274674,53.45395370491468,26.363365846890044,53.56567657634215,homo-low
p05.rsml,LL,R,LL-R,28.482026373052317,19.891990507730153,0.0,48.37401688078247,19.891990507730153,48.37401688078247,homo-low
p06.rsml,HL,L,HL-L,26.941478867484626,22.93777086333592,0.0,49.87924973082055,22.93777086333592,49.87924973082055,hetero-high
p06.rsml,HL,R,HL-R,32.82719923823324,25.08041348383285,0.0,57.90761272206609,25.08041348383285,57.90761272206609,hetero-low
p09.rsml,LH,L,LH-L,24.249637263104127,21.86412329458681,0.0,46.11376055769094,21.86412329458681,46.11376055769094,hetero-low
p09.rsml,LH,R,LH-R,25.878611029276456,19.83214910475619,0.0,45.71076013403265,19.83214910475619,45.71076013403265,hetero-high
p10.rsml,HH,L,HH-L,19.249429945026037,17.0735843686083,0.0,36.32301431363434,17.0735843686083,36.32301431363434,homo-high
p10.rsml,HH,R,HH-R,23.225356605130983,14.591649974008291,0.0,37.817006579139274,14.591649974008291,37.817006579139274,homo-high
p11.rsml,LL,L,LL-L,29.821982486488334,12.734946017142402,0.0,42.556928503630736,12.734946017142402,42.556928503630736,homo-low
p11.rsml,LL,R,LL-R,14.933799181065496,21.673276717671143,0.0,36.60707589873664,21.673276717671143,36.60707589873664,homo-low
p13.rsml,HH,L,HH-L,32.616164838888096,17.05645172301395,0.0,49.672616561902046,17.05645172301395,49.672616561902046,homo-high
p13.rsml,HH,R,HH-R,26.78537574595291,16.167714955765522,0.0,42.95309070171843,16.167714955765522,42.95309070171843,homo-high
p14.rsml,LL,L,LL-L,3.633456728920448,15.57355292816685,0.0,19.207009657087298,15.57355292816685,19.207009657087298,homo-low
p14.rsml,LL,R,LL-R,14.229225105356003,22.514378746223173,0.0,36.743603851579174,22.514378746223173,36.743603851579174,homo-low
p15.rsml,LH,L,LH-L,28.283108648070808,24.12365940956734,0.0,52.406768057638146,24.12365940956734,52.406768057638146,hetero-low
p15.rsml,LH,R,LH-R,25.05348172416244,18.494041523282835,0.0,43.54752324744528,18.494041523282835,43.54752324744528,hetero-high
p17.rsml,LL,L,LL-L,19.961787693972944,14.841392078491836,0.0,34.80317977246478,14.841392078491836,34.80317977246478,homo-low
p17.rsml,LL,R,LL-R,16.441538792039367,21.087677108172755,0.0,37.52921590021212,21.087677108172755,37.52921590021212,homo-low
p18.rsml,HL,L,HL-L,27.148118502046678,17.458390991444084,0.0,44.60650949349076,17.458390991444084,44.60650949349076,hetero-high
p18.rsml,HL,R,HL-R,29.081798604873587,21.289967759022115,0.0,50.3717663638957,21.289967759022115,50.3717663638957,hetero-low
p20.rsml,LL,L,LL-L,19.572973149005932,16.345402452152655,0.0,35.91837560115859,16.345402452152655,35.91837560115859,homo-low
p20.rsml,LL,R,LL-R,16.844031430127888,24.3780300778965,0.0,41.22206150802439,24.3780300778965,41.22206150802439,homo-low
p22.rsml,HH,L,HH-L,32.92681697526272,14.923073915081574,0.0,47.84989089034429,14.923073915081574,47.84989089034429,homo-high
p22.rsml,HH,R,HH-R,18.640080878747185,25.43972703532662,0.0,44.079807914073804,25.43972703532662,44.079807914073804,homo-high
p23.rsml,LL,L,LL-L,14.705599337964022,20.247166287035803,0.0,34.95276562499983,20.247166287035803,34.95276562499983,homo-low
p23.rsml,LL,R,LL-R,11.811534103753925,27.416008793543792,0.0,39.22754289729772,27.416008793543792,39.22754289729772,homo-low
p24.rsml,HL,L,HL-L,38.92524400717517,17.403416609793886,0.0,56.32866061696906,17.403416609793886,56.32866061696906,hetero-high
p24.rsml,HL,R,HL-R,13.7006714509943,35.095584963394245,0.0,48.796256414388544,35.095584963394245,48.796256414388544,hetero-low
p26.rsml,LL,L,LL-L,15.753593463316657,30.56448092151721,0.0,46.318074384833864,30.56448092151721,46.318074384833864,homo-low
p26.rsml,LL,R,LL-R,19.971824215497676,27.716911353911456,0.0,47.68873556940913,27.716911353911456,47.68873556940913,homo-low
p28.rsml,HH,L,HH-L,7.249871880229961,31.040149529007856,0.0,38.290021409237816,31.040149529007856,38.290021409237816,homo-high
p28.rsml,HH,R,HH-R,19.655011868974178,18.869769417482445,0.0,38.52478128645662,18.869769417482445,38.52478128645662,homo-high
p29.rsml,LL,L,LL-L,29.111759360753933,37.89208818350588,0.0,67.00384754425981,37.89208818350588,67.00384754425981,homo-low
p29.rsml,LL,R,LL-R,29.43484977359088,26.28846507632557,0.0,55.72331484991645,26.28846507632557,55.72331484991645,homo-low
p32.rsml,LL,L,LL-L,19.98875567137191,14.13746334046267,0.0,34.12621901183458,14.13746334046267,34.12621901183458,homo-low
p32.rsml,LL,R,LL-R,13.886753665108852,15.897508784548904,0.0,29.784262449657756,15.897508784548904,29.784262449657756,homo-low
p33.rsml,LH,L,LH-L,17.084363676808003,27.116408516651454,0.0,44.20077219345946,27.116408516651454,44.20077219345946,hetero-low
