,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,15.464766800120517,16.348013651232932,18.035260871537112,19.30172721534574,21.130238004185653,22.920994917062895,24.830307987596026,26.855089506802063,29.61299129373125,32.84259206001898,36.77521390491715,40.39886795031971,45.858349259901416,50.897061934558735,55.696421971466826,60.58050036662986,66.86864392527986,74.29554353226074,81.28830187512915,88.07145721439981,96.06541796029398,105.84463876092413,116.21371959300137,125.55203923770912,138.02881933373337,151.81760042640465,165.3087270750824,177.39552273451991,195.39124066165857,211.1573588975141,227.2108446339537,242.54840125841784,2,HL,L,HL-L,hetero-high
p09.rsml,7.636178681074039,8.54467868107404,9.936177962424914,10.730118136493463,11.784391366914884,13.118007510941458,14.504385678516952,15.674146017218858,17.219196987251888,18.562777744035785,19.926529187664723,21.421801152893792,23.157105881176403,24.642561127147655,26.30062038423107,27.299900124844278,27.299900124844278,27.51261413472609,27.655033410106917,27.773533410106914,28.164563460103075,28.571240850672062,28.85607940143372,29.06931405412161,29.7825291989052,30.486034061103517,31.017790374307793,31.990142051263316,33.26424850769411,35.224133457853206,36.8657180641935,38.335436129557124,1,LH,L,LH-L,hetero-low
p10.rsml,17.580721161254605,18.811263967835384,20.4871070392475,22.015098500313478,23.311936694172278,25.89564417506515,27.693787950661616,29.390429184204677,32.04089160170526,34.6122920043196,37.1270644628342,39.34143361306775,42.87004590464046,46.26171887004562,49.767506238540165,52.84919375974922,57.2976468491398,61.09731916036853,65.73746046512079,70.51563765465806,75.73647774314908,83.06793762286492,88.6709048320618,93.83680005139821,101.017840605377,106.95693614454555,114.33080692026135,120.2251430816642,129.16152487145888,141.4852062349429,148.03520824401014,153.56384486502117,3,HH,L,HH-L,homo-high
p11.rsml,13.766037761556912,14.699553413841876,15.576375955415706,16.302574619694287,16.63774323397671,17.52738496458941,18.297335653437003,18.734383209975718,19.050383209975717,19.28738320997572,20.392550904240903,21.0988629450079,21.96160690549997,23.3047526040936,24.550306278209632,25.67582303448039,27.005180642679385,29.0610347105315,31.055479724013274,32.169076143111056,33.45994871421993,35.558544432011104,37.49681088619669,39.21199142896531,40.94315544179287,42.814584147686176,45.721319081254826,47.11200344746611,49.12004894371455,51.04529104440911,53.03748643611359,54.837074316523896,0,LL,L,LL-L,homo-low
p12.rsml,15.124543647652423,16.178535108718403,17.52385663162659,18.63918131673783,20.517657109588946,22.37845677139243,24.680133819888155,26.99764154662032,29.86319648148467,32.68293824104234,37.09605873004185,41.45558123426196,47.122671446438204,54.22334468299984,61.113005526579975,66.90563329850144,75.5248372935085,84.18465189227602,92.24381148171071,100.41633663603581,111.08056915023006,122.93655873751337,134.18224562005895,145.18042487624012,159.44623528656695,175.01430117777807,190.2853553310669,203.44148278614782,221.42801543841324,239.95593032146823,254.10166569343306,267.826234071272,2,HL,L,HL-L,hetero-high
p13.rsml,17.283582975424984,18.28364309861758,20.050136800842413,22.017934718358767,23.17555588287003,25.294293517856573,27.829828357109715,30.190582959044665,32.418079596539094,35.040803536268754,37.4275999673684,39.94781504977574,43.000144891693154,46.307817516931465,49.43770672405217,52.760846543519136,57.12253177198683,61.992175006190976,65.7792532097184,69.74166098791626,74.65909079775933,80.46462794019374,87.2990474003791,92.07865601002001,99.62539329701579,107.83460421836037,116.08455175340677,123.35125680161269,132.15113551962986,142.412183844815,151.58412315933234,160.31413976503404,3,HH,L,HH-L,homo-high
p15.rsml,8.493217108696731,9.654946961115101,10.555685546943419,11.371830746636197,11.659395087262777,12.071787194364745,12.321607129518046,12.771976422432207,13.443476422432209,13.956976422432206,14.471993412443215,14.987010402454224,15.111920370030875,15.309420370030873,15.635145714454671,15.972633862394712,16.260198203021293,16.74878621965699,16.950197490443905,17.640035333708536,18.26458517159179,19.536280838466507,20.731310655941375,21.36980667800139,22.730140101015998,23.615726501133427,24.462574820429946,25.40959687578528,26.915525833372165,28.297102625292776,30.131242319564723,31.452293973004224,1,LH,L,LH-L,hetero-low
p16.rsml,8.709372283689978,9.843115322080513,11.028115322080511,12.292115322080514,14.110831902529485,15.794778422744482,17.711561060513848,19.0315091711813,21.293655755262858,23.300394341091177,25.87963672029341,28.40799928028255,31.617939210718543,34.372800653034254,36.80345913894922,38.985638226472645,41.44153035575379,43.97817480430293,46.339207358851894,48.629840197856005,51.170737293704796,53.94072906936281,56.65000503389245,59.09983187406578,62.225912690339854,65.8629291287663,69.92964748146542,73.61253724430034,79.0126228522256,85.17684212982175,91.39242255223647,97.67951890178357,3,HH,L,HH-L,homo-high
p17.rsml,7.360227324975913,8.19781102107228,8.963187811727494,9.279187811727493,9.911187811727494,10.780187811727494,11.495563237640349,12.223907249766489,12.799035931019649,13.435954293135232,14.146954293135234,15.120684950998847,16.128841769687916,17.380078884030578,18.473784131136,19.35210881624724,19.988971488459132,21.50176251737901,23.398711845995997,24.465240793063078,26.586714848396802,28.709021460838024,30.084844060684414,31.562127573121284,33.49861691613627,35.65216085826378,37.70141546473576,39.77871163957533,42.476748976542375,45.35198780641622,47.80068024173633,50.23302614623969,0,LL,L,LL-L,homo-low
p18.rsml,16.539907540098568,17.970481964206677,19.71616221369592,21.524190910350367,24.11355214998623,27.70487326941582,31.472656100280325,35.637955189120156,39.979397467677785,45.52477143450802,51.49214776860528,57.05189564592867,63.532226571845726,72.46707950367751,82.30186244608056,90.21100259034831,101.50467867211523,115.75174793174199,129.76234147528837,141.82792756790786,158.5238057663478,176.14564964514824,195.00110403573885,210.40816171131564,233.13725918791334,256.4383829679727,279.18055831838,299.15423856751744,320.9977128733731,343.804308896311,368.2111290871474,389.3775866458354,2,HL,L,HL-L,hetero-high
