,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012150734197643568,0.030136967650048623,0.06737615926846255,0.10591775709201609,0.17244236615882927,0.2098834217863296,0.25131734971076936,0.2782866728104998,0.3333381131311403,0.3971780004580942,0.441548820640523,0.4967999286061371,0.565340869876992,0.6510787597777485,0.7281017146782413,0.8054559198608376,0.884029292557004,0.9857299384791344,1.0733648992638842,1.1453616685178938,1.26255347045984,1.4163826604975012,1.5989162256037515,1.773099575978632,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077917504792712,0.013008592838750017,0.01734926805946837,0.031672765515794295,0.04656942772734911,0.057003112446306736,0.06481393416040657,0.09093912661613024,0.11670862976380263,0.13618695425482713,0.17180436210280053,0.21847509901407944,0.29026601917116435,0.350397543419723,0.40423356694517565,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0016972868169792975,0.0030600414005900233,0.006934604229674715,0.010397618090809718,0.013095527299718388,0.01709502514804523,0.027744389720322223,0.039052305606771906,0.06047284432023419,0.08241519720048629,0.10711635994132128,0.12489797671693736,0.15171447074098451,0.17797730504099574,0.2085375940092901,0.24490673897295936,0.28314102519548423,0.3349354664051969,0.3690753291354893,0.4042690825368608,0.44792712998022455,0.48622187151777224,0.5192284307382452,0.5572396102748635,0.6062563461413807,0.6391300512726165,0.7150129327035555,0.7790631233151258,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.005403352237351448,0.010247512478413911,0.013292637718638393,0.013021369633599842,0.040243496848597834,0.04551660176424429,0.056186501261829815,0.05984072514847504,0.05906198374921079,0.09115021458611475,0.11231947787181061,0.13418438298543536,0.1688331548602867,0.19318760222062695,0.2165555824126517,0.24559930457691034,0.2978617449753332,0.34324079080433223,0.3619736426469574,0.3887567273159643,0.43355471430879755,0.4695724543965556,0.5041931080022581,0.5564510981663191,0.6030454576584446,0.6720054974157352,0.7025816307548732,0.7436659313714582,0.7912962035529355,0.8338292202304283,0.8775605907234832,0,LL,L,LL-L,homo-low
p12.rsml,0.00370712149397391,0.0034647749403545255,0.0031979305631370126,0.007795953407808718,0.00984601835252269,0.01156779023859833,0.022516508991438526,0.036325685525022626,0.05211433520628769,0.06295026747924154,0.11879525045857707,0.17223135474475187,0.23889770227769871,0.3287980028288975,0.40336145304686893,0.46008352677865977,0.5587820545021491,0.634312752348974,0.7050755805446616,0.7764324077949244,0.8630555798958517,0.9691238832841524,1.0534810544672077,1.1418660560175344,1.240191357738661,1.3520791428930015,1.452328751194704,1.5322010485247375,1.6533746409621062,1.7649668922239299,1.9279655308374641,2.0861111416750435,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.01385188979569889,0.01563111807743745,0.04002661305635142,0.061509302275989546,0.08294961004471696,0.09687743112410616,0.11350414451326198,0.11935269813495071,0.12764133506391612,0.1554416151543112,0.16540388254120125,0.17747818343914334,0.21280165885670146,0.24508293423354194,0.2777184768030564,0.3103501955134459,0.33138975573402907,0.3625563281474852,0.4109272654624272,0.4531544840796049,0.5003852462003766,0.5524070708741861,0.619135770671065,0.6743726713683639,0.7311004649239405,0.7973193155670949,0.8662852257006091,0.9262497579257124,0.9820095347605399,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185341776747198,0.021876771017827645,0.02553786936614162,0.035627994362569776,0.044467102999665074,0.04535117960911647,0.04598702509596875,0.04650724673818574,0.05489906083191562,0.05924764197681902,0.06367559884195355,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025315709919044423,0.04729224346546397,0.07590359469721594,0.09435880495524783,0.10504048526055064,0.11501978247614562,0.11452986759928237,0.12058826697054044,0.1267480238469863,0.1345014034695253,0.13509834838509066,0.14796009881196506,0.15557454856170969,0.1632498547070529,0.17469882832401598,0.18898010104658486,0.21431431481393556,0.2306698973164532,0.2657486971597744,0.3100697051768697,0.3438890481226479,0.3928771043005223,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030806359590112742,0.037088516104013716,0.043168327236035815,0.04892309815449861,0.051622535725660446,0.06340473925744453,0.07167965678470244,0.10927784858313742,0.1555118477431236,0.18081077537439694,0.22287189533236487,0.24380651322068678,0.2596272450465016,0.2952650079679515,0.32834463498255206,0.36376057555716945,0.38977736659557716,0.4303438885949153,0.47790150154522165,0.5063304494187815,0.5346540139148743,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.011742764824612548,0.021158707815500718,0.060506813911142834,0.10102697493458103,0.14682392965645308,0.1809604180940153,0.2299434232204715,0.2873033177428156,0.3459649626664484,0.4109130119885556,0.49975548404898146,0.5923172276741575,0.6735884149870001,0.7708756204383596,0.9104837463773162,1.015739803089552,1.1055222290549325,1.2355083443327846,1.363495384480422,1.4867075541826633,1.5920286663604275,1.7259889092603808,1.859802108849948,1.9962504634427527,2.129517876379906,2.3541070980484933,2.589450372770711,2.8420263172127966,3.0605167647519265,2,HL,L,HL-L,hetero-high
