,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027198740738241917,0.0102990581630625,0.030515278159228873,0.06769151840936573,0.10380083570234275,0.14799009157557172,0.20784064093660812,0.2836814169330435,0.3533776487817943,0.41695621719104686,0.505738148966963,0.6114509198812476,0.7054591252933832,0.7789170686277823,0.901334732876823,1.0588917458151443,1.2461381103672124,1.4292584362261838,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006352305586398706,0.027324536518434257,0.047412290564865824,0.05593480282788948,0.10337504345696204,0.14474367548646705,0.22546301948153338,0.2944604399066729,0.3602195434842312,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017290673636457072,0.0031400760934088886,0.013292532319533687,0.020872311245464056,0.029494938228850864,0.039754203778270554,0.0591886533980162,0.086785184467775,0.11788674315487649,0.1626114251453597,0.18809907825609207,0.21613367857357657,0.25337597472958806,0.29034231385320164,0.32439781165722703,0.36292119585483096,0.41817302892026303,0.458764586369063,0.540077707362671,0.6090168343786547,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033618686595929675,0.006421501876500758,0.012600265860400604,0.01831213073314189,0.03046207607179182,0.036100556315940543,0.043722287326032484,0.0508001405195625,0.07363119256991821,0.08672745947973139,0,LL,L,LL-L,homo-low
p12.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019615022189273515,0.003632735743737922,0.02783046093458463,0.04311743939057148,0.06369855225081947,0.09413976202364714,0.1465188283597792,0.20530293413627637,0.26050365747792975,0.3142570634061032,0.3946247420267276,0.4836862135477786,0.563785852278922,0.6329712642570219,0.7397995247539589,0.8528752553585129,0.9999370131415678,1.1398608125767722,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013813646043499921,0.015175632039151177,0.016800254628383863,0.025821197865200003,0.04443584402176688,0.07245770675333355,0.10034371891269891,0.12485728241763899,0.17058632215336958,0.22625626092864679,0.27020134334919094,0.32483321247087177,0.4022994572494107,0.47100160824072895,0.5344468091322063,0.5945734886710158,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034694639803230913,0.008758267032597406,0.019445680212665517,0.03165935594976349,0.03772485588554381,0.053018855920581726,0.07011917647619886,0.09263127006380033,0.10690150665749469,0.13578626477694,0.17064092364321712,0.19930872855038728,0.24855392640519158,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026517218489834828,0.05194389745427003,0.06037252399056897,0.08471694435936328,0.09287420537787963,0.10639121050003848,0.1284165756558969,0.15611691282456916,0.17638992473910076,0.19800635743052142,0.2304495426114306,0.26789676259770007,0.2947197716655036,0.32099887396333165,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027729756142984793,0.016763395508606383,0.034369357815526067,0.061335455363683934,0.11331721197949851,0.1855861381901258,0.2589017631085572,0.3123881610627719,0.42542177725244934,0.5383352734547724,0.6509793305720425,0.7424294256411522,0.8761627499394484,1.0181124749279093,1.1608239085103234,1.296360199659436,1.5118055267724868,1.7556523610974686,1.98736211330475,2.2002655231532593,2,HL,L,HL-L,hetero-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004864851096162516,0.009208794603947738,0.017343806459081876,0.031977228848517184,0.05013671765866806,0.08086730509612546,0.10277524028096598,0.13542424516987064,0.16111206099722591,0.19723838228202584,0.23122870617914365,0.25140794856068976,0.2831467463954294,0.3188543082237513,0.3446949273115855,0.37228126764029473,0,LL,L,LL-L,homo-low
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004401048835026927,0.018098172648230073,0.039841743690953765,0.05918035414410193,0.0969530547876422,0.15444882083286782,0.20675990845850076,0.25348298756475285,0.33448731235300466,0.417828406526418,0.4964346845338993,0.5806380096397575,0.69533881043807,0.8087746047897898,0.9302660575988879,1.035752602096849,1.2009611159993263,1.3850637340011929,1.5773509845331315,1.7549332147208663,2,HL,L,HL-L,hetero-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00440118161280094,0.009844913286220437,0.03450404655116919,0.064678275426765,0.09715509512093443,0.1182682732610551,0.15233168420889287,0.20180192920198148,0.24616067116347878,0.28375751559709267,0.34150137007374537,0.41155808877704797,0.4837984634955356,0.5461947647298052,0.6585644040738606,0.7707513768038142,0.8804887887377641,1.0036136485982057,3,HH,L,HH-L,homo-high
p26.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02599863539396558,0.029169441895673404,0.03213987090707094,0.04494371238697156,0.05656876204968153,0.08796482375676698,0.1110036354316524,0.11716048047693176,0.12421959249718346,0.14491196371986387,0.1638500427363636,0.18164807604919767,0,LL,L,LL-L,homo-low
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002144984659245602,0.011021955218046199,0.020013977588056984,0.03040822114813785,0.04333784307474753,0.0493728144552788,0.07632297983988846,0.09870262484727643,0.12228188963948439,0.14266556367322827,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035475228356431697,0.0065716341033874295,0.013067308059809726,0.02301798735361874,0.04388833057406019,0.07221862165629753,0.09585109727170796,0.12025849847346148,0.17086266817585782,0.22503928103659085,0.2668215168839808,0.30713781086228115,3,HH,L,HH-L,homo-high
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009001211196532844,0.015250701233187103,0.02649566326228474,0.025555155334805055,0,LL,L,LL-L,homo-low
p31.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807071999112817,0.011766943927359918,0.025011928426526227,0.03367174762992249,0.052045433497606666,0.0869794644520766,0.12382716089589246,0.15064425737355785,0.1946999243301561,0.25074375842998353,0.30853684479478083,0.3619833542051862,0.43984733983385377,0.5243588518645322,0.6361420992154684,0.734924853177285,3,HH,L,HH-L,homo-high
p32.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001967079786983448,0.0037877735434490157,0.007377939285816735,0,LL,L,LL-L,homo-low
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01023976158359382,0.014081137759941511,1,LH,L,LH-L,hetero-low
