,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35549999999999926,0.9608199351532991,2.321367821150928,3.869146195469193,6.744828132084166,8.82932134231896,11.107192824288017,12.85972864539184,15.658871460760825,18.567419515061065,20.650715548403706,22.81254467028448,25.15409858739557,27.9395709227483,30.66485334397463,33.46453653587273,35.53570219771387,38.07118776343812,40.24277175430222,42.34631748820431,45.13332230722451,47.61511789399062,50.11294257910187,52.17712031692919,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2127140098818113,0.35513328526264,0.47363328526263737,0.8646633352587962,1.2713407258277845,1.5561792765894418,1.6445039617006825,1.9453269993823046,2.2538318615806223,2.618003867643687,2.657503867643691,3.11814906733647,3.490791322052707,3.7756298728143616,3.9522792430368465,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.039500000000003865,0.07900000000000063,0.19072287142747602,0.3024457428549514,0.4141686142824268,0.5817529214236424,1.0022606359434447,1.4786297861769906,2.405139319033575,3.443371723317628,4.451295887240838,5.254213541892097,6.598948313988657,7.8680278059721065,9.164298429973002,10.482274271941275,11.82654930826633,13.581893320392474,15.028206681451955,16.37146789113007,18.027824264514994,19.201028678931955,20.36528875485123,21.38257723746434,22.475850080516672,23.63406405719119,24.59488399234449,25.384883992344488,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.07899999999999885,0.15799999999999947,0.21386143571373467,0.21386143571373467,0.6780751465628022,0.7965751465628067,0.996622703101522,1.0756227031015226,1.0756227031015226,1.7035100814097206,2.1305149436080355,2.598258904100104,3.366275921440574,3.974911233441018,4.570479879044329,5.324708805990163,6.669562873842281,7.935663875197918,8.54962042398909,9.366492995097959,10.754088712889143,11.941855167074735,13.064535709843344,14.479699722670897,15.86930588699039,17.962473088220964,18.939107424897212,20.319688365727806,21.800705121998575,22.999840630259495,24.291403839083173,0,LL,L,LL-L,homo-low
p12.rsml,0.05586143571374021,0.05586143571374021,0.05586143571374021,0.1441861208249826,0.2000475565387228,0.2559089922524605,0.5434733328790398,0.9463316893887171,1.4792124578952535,1.9355559401289923,3.938911598038257,6.0909059366209695,9.08670499028631,13.417033590145266,17.509556693552327,20.970755743510477,26.14460212006094,31.102628380007665,35.65805803736879,39.98649623780765,44.92976498514051,50.78059813204135,55.74159951455472,60.83261024949209,66.12991098816862,71.90418892967006,77.44087500504612,81.78374416735265,87.38699075157108,92.00701104243603,95.60611021684693,99.29594604239614,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.3008230376816249,0.3566844733953601,0.9734797999040876,1.612603225460294,2.3124779401065805,2.86320074073451,3.571855972013493,3.9907752473943248,4.521821156503419,5.784811526752503,6.572393420046053,7.451615245349793,9.257569516955396,10.849036290759487,13.000308096024765,15.026502459924721,16.452759266223396,18.19891280533511,20.55511481793952,22.929597942626337,25.204135704643356,27.451608120587956,30.076333490949366,32.69131658511774,34.563252220723925,35.997721656311974,38.30383217833262,40.069661369438975,41.61398769668281,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35549999999999926,0.4438246851112416,0.532149370222484,0.7819693053757879,1.0054150482307311,1.0612764839444713,1.1171379196582065,1.1961379196582071,1.4726379196582058,1.6853519295400203,1.882851929540022,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389850166959087,1.2828110078274926,2.230604354181922,2.9637230293202674,3.4983815152352244,4.021560602758654,4.258560602758654,4.732560602758654,5.212703137758346,5.646835976762468,5.771745944339118,6.208037704518015,6.350456979898843,6.7059569798988425,6.90736825068576,7.194932591312339,7.814214810051754,8.334253049945318,9.295339359995221,10.551420688486001,11.568172795295371,12.285827227686166,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45189210710196,0.5768020746786131,0.7192213500594389,0.8616406254402675,0.9499653105515083,1.1918279827634044,1.4381526678746481,1.9408960104065465,2.575126217028656,3.1561002723623823,3.8669611121023273,4.334283711948718,4.622655953598674,5.260270310736049,5.771569051181013,6.478166532070949,6.946311151875571,7.632399168511262,8.416143129003332,8.884287748807957,9.35608648925292,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.24981993515330225,0.4996398703066056,1.5806910331504898,2.8878377290952644,4.56260502634844,6.126105811889996,8.51105960432772,11.49213607059095,14.664539935788213,18.424067416028787,23.615086711483933,29.40703411938736,34.0165953660652,39.56479426156155,46.989430524213624,53.0033189952213,58.59236336834334,64.48109187201449,70.4012221894238,76.30275993111464,81.2460093554594,87.17211589622893,92.31377444463496,97.04216157378872,101.08418516369463,105.61581077572201,108.90106975855214,114.77987354977596,118.88478021292345,2,HL,L,HL-L,hetero-high
