,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,0.3288199351533012,1.0584693053757848,2.5526921768032604,4.248027602650914,6.419079957796008,9.541032677551971,13.798714259275775,18.299514775152748,22.547151227962402,29.23055169766549,37.292108638784214,45.336271880218106,52.36127186067242,63.899189947477424,76.15651259656673,89.67267364789517,102.90655253453194,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12490996757664972,0.5373020746786187,0.9323020746786175,1.0998863818198306,2.0327380587753447,2.846199315513363,4.433442010956215,5.790188066534863,7.083256761676003,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950000000000031,0.07900000000000063,0.36383855076165506,0.613658485914959,0.9488271001973776,1.362995714479802,2.178941457334749,3.390053930610327,4.885646414431596,7.2598620537111564,8.87569596669527,10.642811307014885,13.222803258283275,15.790248640179893,18.709681316237887,21.638555434752575,26.2741482113048,31.53388740892227,37.12306948283621,41.86170610384724,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03949999999999676,0.07900000000000063,0.15800000000000125,0.23699999999999477,0.41364937022247955,0.5019740553337204,0.6297987404449631,0.748298740444964,1.1159306041248909,1.339116724949868,0,LL,L,LL-L,homo-low
p12.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05586143571373518,0.11172287142747539,0.9290504325313809,1.5712880234345041,2.4862093923153554,3.9028730926259962,6.528015479182675,9.723850680281938,13.09685083251905,16.56559992272473,22.141049589938405,28.701773690879595,35.25074203201537,41.315981038103466,50.589554238581535,61.16454186159923,71.71117805915303,81.74591061144285,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950000000000031,0.47400000000000375,0.5529999999999973,0.9062987404449668,1.6667802770689164,2.8799057783053543,4.293904595313487,5.504511340543833,7.998998056374921,11.15817074094267,14.063059312911594,17.532026490077957,22.62661516092194,27.800517320661523,32.820552791007266,37.81550597889503,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11850000000000449,0.31854755653871725,0.7443603895900026,1.2763109946432638,1.5880814226094544,2.3467433362855425,3.2735209942625483,4.52766760238337,5.4632701074607795,7.29365783136833,9.608390825913485,11.818321231883509,15.265811331892728,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3641720060630685,0.7174707465080364,0.914970746508038,1.365340039422196,1.5628400394221975,1.8827513102091142,2.375981212939069,3.041050381350224,3.578062423784609,4.210037945548164,5.14747109568942,6.249098802265998,7.183195928933894,8.144463352379088,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900000000000063,0.5327299027299527,1.2079778576468791,2.29166639355799,4.620964041098852,8.174653078411755,12.384473107970605,15.87558784274042,23.13096526757468,31.216822789438577,40.28095895302271,47.987061801492025,60.4412226345133,74.45463374627253,88.9617542293338,102.47889515373271,119.67902097613356,139.12135801624143,157.59351298014025,174.5992024399671,2,HL,L,HL-L,hetero-high
p21.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08832468511124239,0.17664937022248478,0.35329874044496956,0.6821186755982741,1.1053523529619702,1.8725294544852706,2.4960703104176547,3.4071755069766176,4.257505271867081,5.523806652771852,6.720238504868248,7.595895040134799,8.859078565683323,10.33252782586051,11.574713881485676,12.947508981038471,0,LL,L,LL-L,homo-low
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11172287142747539,0.5082842936166052,1.2370168894407039,1.9956788031167911,3.540817020258876,6.120745483599279,8.78213796568653,11.371595831727282,15.986395143372478,21.36194497482489,27.06203564573737,32.993109140447174,41.9601546828537,51.646898168459174,62.31490084687892,72.33814521793332,88.03233364488014,101.52734433000987,115.62230141810744,128.63935744850212,2,HL,L,HL-L,hetero-high
p25.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14418612082498353,0.34725654282590335,1.3085526139355754,2.660468902245912,4.25913196607732,5.487599900017967,7.563200528985244,10.515332360406061,13.61734414433492,16.302416009505016,20.797793723774127,25.91774021329236,31.01692004391127,35.146672529122874,42.403474492753446,49.65738495186417,56.76224297963441,64.73934420956658,3,HH,L,HH-L,homo-high
