,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p11.rsml,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0.7001489527597624,0,LL,L,LL-L,homo-low
p12.rsml,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,0.3379654057291721,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p21.rsml,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,0.9953424679590688,1,LH,L,LH-L,hetero-low
p23.rsml,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0.5344159052333088,0,LL,L,LL-L,homo-low
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p25.rsml,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,0.2459837242767914,3,HH,L,HH-L,homo-high
p26.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
