plate number,Genotype,N condition LEFT,N condition RIGHT,editor,decision to trace (y/n),expertized (y/n),uploaded (y/n),reviewer,reviewed (y/n),abnormalty noted (reason not to trace),count
Example_decided_to_trace,,KNO3 5mM,KNO3 5mM,editor_name,,,,,,,
Example_decided_not_to_trace,,KCl 5mM,KCl 5mM,editor_name,,,,,,,
250526CA04,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA05,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA06,Col-0,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA07,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,2 primaries on one side,
250526CA08,nrtquad,KCl 5mM,KCl 5mM,Cannelle,?,,,,,,
250526CA09,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,?,,,,,,
250526CA10,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA11,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA12,Col-0,KNO3 5mM,KCl 5mM,Cannelle,n,n,,,,fungi,
250526CA13,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA14,nrtquad,KCl 5mM,KCl 5mM,Cannelle,,,,,,,
250526CA15,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,2 primaries on one side,
250526CA16,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,,
250526CA17,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA18,Col-0,KNO3 5mM,KCl 5mM,Cannelle,?,,,,,left root not showing up,
250526CA19,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,2 primaries and one in the middle,
250526CA20,nrtquad,KCl 5mM,KCl 5mM,Cannelle,n,n,,,,primary dead,
250526CA21,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA22,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA23,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA24,Col-0,KNO3 5mM,KCl 5mM,Cannelle,n,n,,,,2 primaries,
250526CA25,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,primary dead,
250526CA26,nrtquad,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA27,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA28,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,2 primaries,
250526CA29,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA30,Col-0,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA31,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA32,nrtquad,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA33,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA34,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA35,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA36,Col-0,KNO3 5mM,KCl 5mM,Cannelle,n,n,,,,2 primaries,
250526CA37,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA38,nrtquad,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,looks like left has another primary but smaller,
250526CA39,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA40,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,2 primaries,
250526CA44,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA45,Col-0,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA46,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,fungi,
250526CA47,nrtquad,KCl 5mM,KCl 5mM,Cannelle,?,,,CiCi,,right half not there...,
250526CA48,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,n,n,,,,primary dead,
250526CA49,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA50,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
